#Date/Time of Update: 2018-02-14 1:48:43 PM,#Game ID,#Game Date,#Game Time,#Away Team ID,#Away Team Abbr.,#Away Team City,#Away Team Name,#Home Team ID,#Home Team Abbr.,#Home Team City,#Home Team Name,#Location,#Team ID,#Team Abbr.,#Team City,#Team Name,#Fg2PtAtt,#Fg2PtAttPerGame,#Fg2PtMade,#Fg2PtMadePerGame,#Fg2PtPct,#Fg3PtAtt,#Fg3PtAttPerGame,#Fg3PtMade,#Fg3PtMadePerGame,#Fg3PtPct,#FgAtt,#FgAttPerGame,#FgMade,#FgMadePerGame,#FgPct,#FtAtt,#FtAttPerGame,#FtMade,#FtMadePerGame,#FtPct,#OffReb,#OffRebPerGame,#DefReb,#DefRebPerGame,#Reb,#RebPerGame,#Ast,#AstPerGame,#Pts,#PtsPerGame,#Tov,#TovPerGame,#Stl,#StlPerGame,#Blk,#BlkPerGame,#BlkAgainst,#BlkAgainstPerGame,#PtsAgainst,#PtsAgainstPerGame,#Fouls,#FoulsPerGame,#FoulPers,#FoulPersPerGame,#FoulTech,#FoulTechPerGame,#PlusMinus,#PlusMinusPerGame,#FoulsDrawn,#FoulsDrawnPerGame,#FoulPersDrawn,#FoulPersDrawnPerGame,#FoulTechDrawn,#FoulTechDrawnPerGame,#FoulFlag1,#FoulFlag1PerGame,#FoulFlag1Drawn,#FoulFlag1DrawnPerGame,#FoulFlag2,#FoulFlag2PerGame,#FoulFlag2Drawn,#FoulFlag2DrawnPerGame,#Ejections,#Wins,#Losses,#WinPct,#GamesBack', 
b',42072,2017-10-18,7:00PM,93,CHA,Charlotte,Hornets,88,DET,Detroit,Pistons,Palace of Auburn Hills,93,CHA,Charlotte,Hornets,43,43.0,20,20.0,46.5,30,30.0,9,9.0,30.0,73,73.0,29,29.0,39.7,29,29.0,23,23.0,79.3,11,11.0,45,45.0,56,56.0,16,16.0,90,90.0,17,17.0,4,4.0,3,3.0,3,3.0,102,102.0,16,16.0,15,15.0,15,1.0,-12,-12.0,21,21.0,21,21.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,1,0.000,0.0', 
b',42089,2017-10-20,7:00PM,91,ATL,Atlanta,Hawks,93,CHA,Charlotte,Hornets,Spectrum Center,93,CHA,Charlotte,Hornets,50,50.0,26,26.0,52.0,36,36.0,11,11.0,30.6,86,86.0,37,37.0,43.0,30,30.0,24,24.0,80.0,20,20.0,46,46.0,67,67.0,17,17.0,109,109.0,21,21.0,5,5.0,4,4.0,4,4.0,91,91.0,19,19.0,18,18.0,18,0.0,18,18.0,29,29.0,29,29.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,1,0,1.000,0.0', 
b',42112,2017-10-23,8:00PM,93,CHA,Charlotte,Hornets,90,MIL,Milwaukee,Bucks,BMO Harris Bradley Center,93,CHA,Charlotte,Hornets,52,52.0,26,26.0,50.0,26,26.0,7,7.0,26.9,78,78.0,33,33.0,42.3,36,36.0,21,21.0,58.3,19,19.0,38,38.0,60,60.0,17,17.0,94,94.0,14,14.0,3,3.0,5,5.0,4,4.0,103,103.0,22,22.0,21,21.0,21,0.0,-9,-9.0,27,27.0,27,27.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,1,0.000,0.0', 
b',42124,2017-10-25,7:00PM,99,DEN,Denver,Nuggets,93,CHA,Charlotte,Hornets,Spectrum Center,93,CHA,Charlotte,Hornets,50,50.0,25,25.0,50.0,30,30.0,13,13.0,43.3,80,80.0,38,38.0,47.5,26,26.0,21,21.0,80.8,13,13.0,44,44.0,57,57.0,18,18.0,110,110.0,14,14.0,5,5.0,5,5.0,1,1.0,93,93.0,16,16.0,16,16.0,16,0.0,17,17.0,23,23.0,23,23.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,1,0,1.000,0.0', 
b',42139,2017-10-27,7:00PM,109,HOU,Houston,Rockets,93,CHA,Charlotte,Hornets,Spectrum Center,93,CHA,Charlotte,Hornets,59,59.0,22,22.0,37.3,29,29.0,11,11.0,37.9,88,88.0,33,33.0,37.5,28,28.0,16,16.0,57.1,22,22.0,36,36.0,58,58.0,16,16.0,93,93.0,9,9.0,6,6.0,5,5.0,6,6.0,109,109.0,14,14.0,14,14.0,14,0.0,-16,-16.0,26,26.0,26,26.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,1,0.000,0.0', 
b',42156,2017-10-29,6:00PM,95,ORL,Orlando,Magic,93,CHA,Charlotte,Hornets,Spectrum Center,93,CHA,Charlotte,Hornets,80,80.0,47,47.0,58.8,18,18.0,6,6.0,33.3,98,98.0,53,53.0,54.1,17,17.0,8,8.0,47.1,23,23.0,48,48.0,71,71.0,31,31.0,120,120.0,16,16.0,6,6.0,7,7.0,5,5.0,113,113.0,24,24.0,24,24.0,24,0.0,7,7.0,20,20.0,20,20.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,1,0,1.000,0.0', 
b',42164,2017-10-30,8:00PM,93,CHA,Charlotte,Hornets,107,MEM,Memphis,Grizzlies,FedEx Forum,93,CHA,Charlotte,Hornets,72,72.0,30,30.0,41.7,17,17.0,7,7.0,41.2,89,89.0,37,37.0,41.6,29,29.0,23,23.0,79.3,19,19.0,47,47.0,66,66.0,15,15.0,104,104.0,11,11.0,3,3.0,7,7.0,8,8.0,99,99.0,24,24.0,22,22.0,22,3.0,5,5.0,22,22.0,22,22.0,1,1.0,0,0.0,0,0.0,0,0.0,0,0.0,0,1,0,1.000,0.0', 
b',42176,2017-11-01,7:00PM,90,MIL,Milwaukee,Bucks,93,CHA,Charlotte,Hornets,Spectrum Center,93,CHA,Charlotte,Hornets,59,59.0,31,31.0,52.5,25,25.0,14,14.0,56.0,84,84.0,45,45.0,53.6,29,29.0,22,22.0,75.9,13,13.0,34,34.0,47,47.0,21,21.0,126,126.0,11,11.0,5,5.0,3,3.0,3,3.0,121,121.0,19,19.0,18,18.0,18,0.0,5,5.0,25,25.0,25,25.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,1,0,1.000,0.0', 
b',42195,2017-11-03,8:30PM,93,CHA,Charlotte,Hornets,106,SAS,San Antonio,Spurs,AT&T Center,93,CHA,Charlotte,Hornets,56,56.0,25,25.0,44.6,24,24.0,8,8.0,33.3,80,80.0,33,33.0,41.2,42,42.0,27,27.0,64.3,22,22.0,38,38.0,60,60.0,16,16.0,101,101.0,12,12.0,11,11.0,1,1.0,6,6.0,108,108.0,22,22.0,20,20.0,20,2.0,-7,-7.0,26,26.0,26,26.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,1,0.000,0.0', 
b',42212,2017-11-05,8:00PM,93,CHA,Charlotte,Hornets,100,MIN,Minnesota,Timberwolves,Target Center,93,CHA,Charlotte,Hornets,59,59.0,28,28.0,47.5,28,28.0,9,9.0,32.1,87,87.0,37,37.0,42.5,21,21.0,11,11.0,52.4,14,14.0,32,32.0,47,47.0,24,24.0,94,94.0,11,11.0,8,8.0,3,3.0,4,4.0,112,112.0,26,26.0,24,24.0,24,1.0,-18,-18.0,19,19.0,19,19.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,1,0.000,0.0', 
b',42221,2017-11-07,7:30PM,93,CHA,Charlotte,Hornets,83,NYK,New York,Knicks,Madison Square Garden,93,CHA,Charlotte,Hornets,54,54.0,27,27.0,50.0,37,37.0,15,15.0,40.5,91,91.0,42,42.0,46.2,17,17.0,14,14.0,82.4,21,21.0,24,24.0,46,46.0,24,24.0,113,113.0,13,13.0,8,8.0,2,2.0,5,5.0,118,118.0,22,22.0,22,22.0,22,0.0,-5,-5.0,19,19.0,19,19.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,1,0.000,0.0', 
b',42239,2017-11-10,7:30PM,93,CHA,Charlotte,Hornets,82,BOS,Boston,Celtics,TD Garden,93,CHA,Charlotte,Hornets,58,58.0,25,25.0,43.1,22,22.0,6,6.0,27.3,80,80.0,31,31.0,38.8,33,33.0,19,19.0,57.6,22,22.0,43,43.0,65,65.0,20,20.0,87,87.0,14,14.0,5,5.0,7,7.0,5,5.0,90,90.0,22,22.0,21,21.0,21,1.0,-3,-3.0,26,26.0,26,26.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,1,0.000,0.0', 
b',42277,2017-11-15,8:00PM,86,CLE,Cleveland,Cavaliers,93,CHA,Charlotte,Hornets,Spectrum Center,93,CHA,Charlotte,Hornets,60,60.0,35,35.0,58.3,26,26.0,6,6.0,23.1,86,86.0,41,41.0,47.7,28,28.0,19,19.0,67.9,17,17.0,35,35.0,52,52.0,21,21.0,107,107.0,13,13.0,7,7.0,7,7.0,4,4.0,115,115.0,19,19.0,19,19.0,19,0.0,-8,-8.0,24,24.0,24,24.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,1,0.000,0.0', 
b',42292,2017-11-17,8:00PM,93,CHA,Charlotte,Hornets,89,CHI,Chicago,Bulls,KeyBank Center,93,CHA,Charlotte,Hornets,60,60.0,32,32.0,53.3,21,21.0,10,10.0,47.6,81,81.0,42,42.0,51.8,34,34.0,26,26.0,76.5,15,15.0,38,38.0,53,53.0,19,19.0,120,120.0,12,12.0,3,3.0,2,2.0,3,3.0,123,123.0,16,16.0,15,15.0,15,0.0,-3,-3.0,23,23.0,23,23.0,1,1.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,1,0.000,0.0', 
b',42297,2017-11-18,7:00PM,102,LAC,Los Angeles,Clippers,93,CHA,Charlotte,Hornets,Spectrum Center,93,CHA,Charlotte,Hornets,61,61.0,23,23.0,37.7,26,26.0,11,11.0,42.3,87,87.0,34,34.0,39.1,29,29.0,23,23.0,79.3,17,17.0,41,41.0,59,59.0,20,20.0,102,102.0,8,8.0,7,7.0,9,9.0,6,6.0,87,87.0,17,17.0,16,16.0,16,1.0,15,15.0,22,22.0,22,22.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,1,0,1.000,0.0', 
b',42311,2017-11-20,7:00PM,100,MIN,Minnesota,Timberwolves,93,CHA,Charlotte,Hornets,Spectrum Center,93,CHA,Charlotte,Hornets,59,59.0,31,31.0,52.5,26,26.0,11,11.0,42.3,85,85.0,42,42.0,49.4,29,29.0,23,23.0,79.3,17,17.0,43,43.0,60,60.0,22,22.0,118,118.0,17,17.0,5,5.0,7,7.0,6,6.0,102,102.0,19,19.0,18,18.0,18,1.0,16,16.0,21,21.0,21,21.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,1,0,1.000,0.0', 
b',42323,2017-11-22,7:00PM,94,WAS,Washington,Wizards,93,CHA,Charlotte,Hornets,Spectrum Center,93,CHA,Charlotte,Hornets,63,63.0,33,33.0,52.4,28,28.0,10,10.0,35.7,91,91.0,43,43.0,47.2,40,40.0,33,33.0,82.5,19,19.0,41,41.0,60,60.0,23,23.0,129,129.0,11,11.0,5,5.0,5,5.0,6,6.0,124,124.0,21,21.0,20,20.0,20,1.0,5,5.0,29,29.0,29,29.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,1,0,1.000,0.0', 
