#Date/Time of Update: 2018-02-14 1:48:43 PM,#Game ID,#Game Date,#Game Time,#Away Team ID,#Away Team Abbr.,#Away Team City,#Away Team Name,#Home Team ID,#Home Team Abbr.,#Home Team City,#Home Team Name,#Location,#Team ID,#Team Abbr.,#Team City,#Team Name,#Fg2PtAtt,#Fg2PtAttPerGame,#Fg2PtMade,#Fg2PtMadePerGame,#Fg2PtPct,#Fg3PtAtt,#Fg3PtAttPerGame,#Fg3PtMade,#Fg3PtMadePerGame,#Fg3PtPct,#FgAtt,#FgAttPerGame,#FgMade,#FgMadePerGame,#FgPct,#FtAtt,#FtAttPerGame,#FtMade,#FtMadePerGame,#FtPct,#OffReb,#OffRebPerGame,#DefReb,#DefRebPerGame,#Reb,#RebPerGame,#Ast,#AstPerGame,#Pts,#PtsPerGame,#Tov,#TovPerGame,#Stl,#StlPerGame,#Blk,#BlkPerGame,#BlkAgainst,#BlkAgainstPerGame,#PtsAgainst,#PtsAgainstPerGame,#Fouls,#FoulsPerGame,#FoulPers,#FoulPersPerGame,#FoulTech,#FoulTechPerGame,#PlusMinus,#PlusMinusPerGame,#FoulsDrawn,#FoulsDrawnPerGame,#FoulPersDrawn,#FoulPersDrawnPerGame,#FoulTechDrawn,#FoulTechDrawnPerGame,#FoulFlag1,#FoulFlag1PerGame,#FoulFlag1Drawn,#FoulFlag1DrawnPerGame,#FoulFlag2,#FoulFlag2PerGame,#FoulFlag2Drawn,#FoulFlag2DrawnPerGame,#Ejections,#Wins,#Losses,#WinPct,#GamesBack', 
b',42083,2017-10-19,7:30PM,89,CHI,Chicago,Bulls,81,TOR,Toronto,Raptors,Air Canada Center,89,CHI,Chicago,Bulls,56,56.0,26,26.0,46.4,33,33.0,11,11.0,33.3,89,89.0,37,37.0,41.6,19,19.0,16,16.0,84.2,17,17.0,30,30.0,47,47.0,22,22.0,101,101.0,19,19.0,7,7.0,2,2.0,4,4.0,117,117.0,23,23.0,23,23.0,23,0.0,-16,-16.0,19,19.0,19,19.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,1,0.000,0.0', 
b',42102,2017-10-21,8:00PM,106,SAS,San Antonio,Spurs,89,CHI,Chicago,Bulls,KeyBank Center,89,CHI,Chicago,Bulls,54,54.0,23,23.0,42.6,28,28.0,8,8.0,28.6,82,82.0,31,31.0,37.8,9,9.0,7,7.0,77.8,11,11.0,40,40.0,51,51.0,18,18.0,77,77.0,19,19.0,3,3.0,5,5.0,3,3.0,87,87.0,15,15.0,15,15.0,15,0.0,-10,-10.0,14,14.0,14,14.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,1,0.000,0.0', 
b',42119,2017-10-24,7:00PM,89,CHI,Chicago,Bulls,86,CLE,Cleveland,Cavaliers,Quicken Loans Arena,89,CHI,Chicago,Bulls,55,55.0,25,25.0,45.4,33,33.0,17,17.0,51.5,88,88.0,42,42.0,47.7,13,13.0,11,11.0,84.6,14,14.0,31,31.0,45,45.0,28,28.0,112,112.0,9,9.0,3,3.0,3,3.0,3,3.0,119,119.0,20,20.0,20,20.0,20,0.0,-7,-7.0,14,14.0,14,14.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,1,0.000,0.0', 
b',42134,2017-10-26,8:00PM,91,ATL,Atlanta,Hawks,89,CHI,Chicago,Bulls,KeyBank Center,89,CHI,Chicago,Bulls,54,54.0,24,24.0,44.4,32,32.0,7,7.0,21.9,86,86.0,31,31.0,36.0,29,29.0,22,22.0,75.9,24,24.0,43,43.0,69,69.0,20,20.0,91,91.0,13,13.0,5,5.0,4,4.0,5,5.0,86,86.0,15,15.0,15,15.0,15,0.0,5,5.0,23,23.0,23,23.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,1,0,1.000,0.0', 
b',42147,2017-10-28,8:00PM,96,OKL,Oklahoma City,Thunder,89,CHI,Chicago,Bulls,KeyBank Center,89,CHI,Chicago,Bulls,41,41.0,12,12.0,29.3,37,37.0,10,10.0,27.0,78,78.0,22,22.0,28.2,20,20.0,15,15.0,75.0,17,17.0,36,36.0,54,54.0,16,16.0,69,69.0,19,19.0,9,9.0,5,5.0,8,8.0,101,101.0,16,16.0,16,16.0,16,0.0,-32,-32.0,17,17.0,17,17.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,1,0.000,0.0', 
b',42179,2017-11-01,7:30PM,89,CHI,Chicago,Bulls,92,MIA,Miami,Heat,American Airlines Arena,89,CHI,Chicago,Bulls,61,61.0,29,29.0,47.5,28,28.0,7,7.0,25.0,89,89.0,36,36.0,40.4,19,19.0,12,12.0,63.2,14,14.0,47,47.0,61,61.0,20,20.0,91,91.0,12,12.0,7,7.0,6,6.0,0,0.0,97,97.0,19,19.0,19,19.0,19,0.0,-6,-6.0,19,19.0,19,19.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,1,0.000,0.0', 
b',42191,2017-11-03,7:00PM,89,CHI,Chicago,Bulls,95,ORL,Orlando,Magic,Amway Center,89,CHI,Chicago,Bulls,56,56.0,26,26.0,46.4,29,29.0,14,14.0,48.3,85,85.0,40,40.0,47.1,12,12.0,11,11.0,91.7,13,13.0,42,42.0,56,56.0,23,23.0,105,105.0,14,14.0,6,6.0,2,2.0,2,2.0,83,83.0,13,13.0,13,13.0,13,0.0,22,22.0,11,11.0,11,11.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,1,0,1.000,0.0', 
b',43372,2017-11-04,8:00PM,110,NOP,New Orleans,Pelicans,89,CHI,Chicago,Bulls,KeyBank Center,89,CHI,Chicago,Bulls,57,57.0,24,24.0,42.1,42,42.0,11,11.0,26.2,99,99.0,35,35.0,35.4,12,12.0,9,9.0,75.0,17,17.0,45,45.0,63,63.0,23,23.0,90,90.0,17,17.0,10,10.0,5,5.0,4,4.0,96,96.0,20,20.0,19,19.0,19,0.0,-6,-6.0,9,9.0,9,9.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,1,0.000,0.0', 
b',42222,2017-11-07,7:30PM,89,CHI,Chicago,Bulls,81,TOR,Toronto,Raptors,Air Canada Center,89,CHI,Chicago,Bulls,51,51.0,29,29.0,56.9,29,29.0,11,11.0,37.9,80,80.0,40,40.0,50.0,28,28.0,23,23.0,82.1,13,13.0,31,31.0,44,44.0,26,26.0,114,114.0,13,13.0,10,10.0,2,2.0,0,0.0,119,119.0,23,23.0,23,23.0,23,0.0,-5,-5.0,22,22.0,22,22.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,1,0.000,0.0', 
b',42240,2017-11-10,8:00PM,87,IND,Indiana,Pacers,89,CHI,Chicago,Bulls,KeyBank Center,89,CHI,Chicago,Bulls,66,66.0,30,30.0,45.4,27,27.0,7,7.0,25.9,93,93.0,37,37.0,39.8,9,9.0,6,6.0,66.7,14,14.0,33,33.0,47,47.0,24,24.0,87,87.0,12,12.0,10,10.0,3,3.0,3,3.0,105,105.0,13,13.0,13,13.0,13,0.0,-18,-18.0,17,17.0,17,17.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,1,0.000,0.0', 
