#Date/Time of Update: 2018-02-14 1:48:43 PM,#Game ID,#Game Date,#Game Time,#Away Team ID,#Away Team Abbr.,#Away Team City,#Away Team Name,#Home Team ID,#Home Team Abbr.,#Home Team City,#Home Team Name,#Location,#Team ID,#Team Abbr.,#Team City,#Team Name,#Fg2PtAtt,#Fg2PtAttPerGame,#Fg2PtMade,#Fg2PtMadePerGame,#Fg2PtPct,#Fg3PtAtt,#Fg3PtAttPerGame,#Fg3PtMade,#Fg3PtMadePerGame,#Fg3PtPct,#FgAtt,#FgAttPerGame,#FgMade,#FgMadePerGame,#FgPct,#FtAtt,#FtAttPerGame,#FtMade,#FtMadePerGame,#FtPct,#OffReb,#OffRebPerGame,#DefReb,#DefRebPerGame,#Reb,#RebPerGame,#Ast,#AstPerGame,#Pts,#PtsPerGame,#Tov,#TovPerGame,#Stl,#StlPerGame,#Blk,#BlkPerGame,#BlkAgainst,#BlkAgainstPerGame,#PtsAgainst,#PtsAgainstPerGame,#Fouls,#FoulsPerGame,#FoulPers,#FoulPersPerGame,#FoulTech,#FoulTechPerGame,#PlusMinus,#PlusMinusPerGame,#FoulsDrawn,#FoulsDrawnPerGame,#FoulPersDrawn,#FoulPersDrawnPerGame,#FoulTechDrawn,#FoulTechDrawnPerGame,#FoulFlag1,#FoulFlag1PerGame,#FoulFlag1Drawn,#FoulFlag1DrawnPerGame,#FoulFlag2,#FoulFlag2PerGame,#FoulFlag2Drawn,#FoulFlag2DrawnPerGame,#Ejections,#Wins,#Losses,#WinPct,#GamesBack', 
b',42070,2017-10-17,8:00PM,82,BOS,Boston,Celtics,86,CLE,Cleveland,Cavaliers,Quicken Loans Arena,86,CLE,Cleveland,Cavaliers,61,61.0,33,33.0,54.1,22,22.0,5,5.0,22.7,83,83.0,38,38.0,45.8,25,25.0,21,21.0,84.0,12,12.0,43,43.0,55,55.0,19,19.0,102,102.0,17,17.0,3,3.0,4,4.0,4,4.0,99,99.0,27,27.0,25,25.0,25,0.0,3,3.0,24,24.0,24,24.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,1,0,1.000,0.0', 
b',42087,2017-10-20,7:00PM,86,CLE,Cleveland,Cavaliers,90,MIL,Milwaukee,Bucks,BMO Harris Bradley Center,86,CLE,Cleveland,Cavaliers,55,55.0,33,33.0,60.0,26,26.0,11,11.0,42.3,81,81.0,44,44.0,54.3,17,17.0,17,17.0,100.0,11,11.0,35,35.0,48,48.0,25,25.0,116,116.0,16,16.0,8,8.0,3,3.0,2,2.0,97,97.0,10,10.0,10,10.0,10,0.0,19,19.0,17,17.0,17,17.0,0,0.0,0,0.0,1,1.0,0,0.0,0,0.0,0,1,0,1.000,0.0', 
b',42099,2017-10-21,8:00PM,95,ORL,Orlando,Magic,86,CLE,Cleveland,Cavaliers,Quicken Loans Arena,86,CLE,Cleveland,Cavaliers,61,61.0,26,26.0,42.6,25,25.0,7,7.0,28.0,86,86.0,33,33.0,38.4,27,27.0,20,20.0,74.1,20,20.0,35,35.0,55,55.0,15,15.0,93,93.0,16,16.0,4,4.0,7,7.0,6,6.0,114,114.0,14,14.0,14,14.0,14,0.0,-21,-21.0,28,28.0,28,28.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,1,0.000,0.0', 
b',42119,2017-10-24,7:00PM,89,CHI,Chicago,Bulls,86,CLE,Cleveland,Cavaliers,Quicken Loans Arena,86,CLE,Cleveland,Cavaliers,45,45.0,27,27.0,60.0,38,38.0,16,16.0,42.1,83,83.0,43,43.0,51.8,22,22.0,17,17.0,77.3,14,14.0,34,34.0,48,48.0,28,28.0,119,119.0,9,9.0,5,5.0,3,3.0,3,3.0,112,112.0,14,14.0,14,14.0,14,0.0,7,7.0,20,20.0,20,20.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,1,0,1.000,0.0', 
b',42127,2017-10-25,7:30PM,86,CLE,Cleveland,Cavaliers,84,BRO,Brooklyn,Nets,Barclays Center,86,CLE,Cleveland,Cavaliers,46,46.0,27,27.0,58.7,35,35.0,12,12.0,34.3,81,81.0,39,39.0,48.2,26,26.0,17,17.0,65.4,20,20.0,41,41.0,61,61.0,21,21.0,107,107.0,21,21.0,5,5.0,7,7.0,3,3.0,112,112.0,17,17.0,17,17.0,17,0.0,-5,-5.0,22,22.0,22,22.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,1,0.000,0.0', 
b',42146,2017-10-28,7:00PM,86,CLE,Cleveland,Cavaliers,110,NOP,New Orleans,Pelicans,Smoothie King Center,86,CLE,Cleveland,Cavaliers,46,46.0,24,24.0,52.2,32,32.0,12,12.0,37.5,78,78.0,36,36.0,46.2,23,23.0,17,17.0,73.9,9,9.0,34,34.0,43,43.0,19,19.0,101,101.0,18,18.0,8,8.0,2,2.0,4,4.0,123,123.0,20,20.0,19,19.0,19,1.0,-22,-22.0,20,20.0,20,20.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,1,0.000,0.0', 
b',42159,2017-10-29,7:00PM,83,NYK,New York,Knicks,86,CLE,Cleveland,Cavaliers,Quicken Loans Arena,86,CLE,Cleveland,Cavaliers,48,48.0,21,21.0,43.8,33,33.0,10,10.0,30.3,81,81.0,31,31.0,38.3,27,27.0,23,23.0,85.2,13,13.0,35,35.0,48,48.0,20,20.0,95,95.0,15,15.0,5,5.0,5,5.0,6,6.0,114,114.0,23,23.0,23,23.0,23,0.0,-19,-19.0,26,26.0,26,26.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,1,0.000,0.0', 
b',42174,2017-11-01,7:00PM,87,IND,Indiana,Pacers,86,CLE,Cleveland,Cavaliers,Quicken Loans Arena,86,CLE,Cleveland,Cavaliers,55,55.0,36,36.0,65.4,31,31.0,7,7.0,22.6,86,86.0,43,43.0,50.0,20,20.0,14,14.0,70.0,13,13.0,33,33.0,46,46.0,25,25.0,107,107.0,16,16.0,6,6.0,3,3.0,1,1.0,124,124.0,19,19.0,19,19.0,19,0.0,-17,-17.0,23,23.0,23,23.0,0,0.0,0,0.0,1,1.0,0,0.0,0,0.0,0,0,1,0.000,0.0', 
b',42189,2017-11-03,7:00PM,86,CLE,Cleveland,Cavaliers,94,WAS,Washington,Wizards,Capital One Arena,86,CLE,Cleveland,Cavaliers,55,55.0,34,34.0,61.8,27,27.0,12,12.0,44.4,82,82.0,46,46.0,56.1,28,28.0,26,26.0,92.9,10,10.0,29,29.0,39,39.0,20,20.0,130,130.0,14,14.0,11,11.0,4,4.0,2,2.0,122,122.0,27,27.0,27,27.0,27,0.0,8,8.0,24,24.0,24,24.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,1,0,1.000,0.0', 
b',42205,2017-11-05,3:00PM,91,ATL,Atlanta,Hawks,86,CLE,Cleveland,Cavaliers,Quicken Loans Arena,86,CLE,Cleveland,Cavaliers,60,60.0,32,32.0,53.3,36,36.0,10,10.0,27.8,96,96.0,42,42.0,43.8,23,23.0,21,21.0,91.3,21,21.0,34,34.0,55,55.0,27,27.0,115,115.0,13,13.0,6,6.0,6,6.0,6,6.0,117,117.0,29,29.0,29,29.0,29,0.0,-2,-2.0,20,20.0,20,20.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,1,0.000,0.0', 
