#Date/Time of Update: 2018-02-14 1:48:43 PM,#Game ID,#Game Date,#Game Time,#Away Team ID,#Away Team Abbr.,#Away Team City,#Away Team Name,#Home Team ID,#Home Team Abbr.,#Home Team City,#Home Team Name,#Location,#Team ID,#Team Abbr.,#Team City,#Team Name,#Fg2PtAtt,#Fg2PtAttPerGame,#Fg2PtMade,#Fg2PtMadePerGame,#Fg2PtPct,#Fg3PtAtt,#Fg3PtAttPerGame,#Fg3PtMade,#Fg3PtMadePerGame,#Fg3PtPct,#FgAtt,#FgAttPerGame,#FgMade,#FgMadePerGame,#FgPct,#FtAtt,#FtAttPerGame,#FtMade,#FtMadePerGame,#FtPct,#OffReb,#OffRebPerGame,#DefReb,#DefRebPerGame,#Reb,#RebPerGame,#Ast,#AstPerGame,#Pts,#PtsPerGame,#Tov,#TovPerGame,#Stl,#StlPerGame,#Blk,#BlkPerGame,#BlkAgainst,#BlkAgainstPerGame,#PtsAgainst,#PtsAgainstPerGame,#Fouls,#FoulsPerGame,#FoulPers,#FoulPersPerGame,#FoulTech,#FoulTechPerGame,#PlusMinus,#PlusMinusPerGame,#FoulsDrawn,#FoulsDrawnPerGame,#FoulPersDrawn,#FoulPersDrawnPerGame,#FoulTechDrawn,#FoulTechDrawnPerGame,#FoulFlag1,#FoulFlag1PerGame,#FoulFlag1Drawn,#FoulFlag1DrawnPerGame,#FoulFlag2,#FoulFlag2PerGame,#FoulFlag2Drawn,#FoulFlag2DrawnPerGame,#Ejections,#Wins,#Losses,#WinPct,#GamesBack', 
b',42078,2017-10-18,8:30PM,91,ATL,Atlanta,Hawks,108,DAL,Dallas,Mavericks,American Airlines Center,108,DAL,Dallas,Mavericks,41,41.0,21,21.0,51.2,45,45.0,17,17.0,37.8,86,86.0,38,38.0,44.2,21,21.0,18,18.0,85.7,12,12.0,34,34.0,46,46.0,27,27.0,111,111.0,15,15.0,5,5.0,4,4.0,6,6.0,117,117.0,19,19.0,19,19.0,19,0.0,-6,-6.0,18,18.0,18,18.0,1,1.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,1,0.000,0.0', 
b',42093,2017-10-20,8:30PM,103,SAC,Sacramento,Kings,108,DAL,Dallas,Mavericks,American Airlines Center,108,DAL,Dallas,Mavericks,42,42.0,20,20.0,47.6,33,33.0,11,11.0,33.3,75,75.0,31,31.0,41.3,21,21.0,15,15.0,71.4,9,9.0,31,31.0,41,41.0,19,19.0,88,88.0,12,12.0,8,8.0,7,7.0,3,3.0,93,93.0,15,15.0,13,13.0,13,0.0,-5,-5.0,18,18.0,18,18.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,1,0.000,0.0', 
b',42100,2017-10-21,8:00PM,108,DAL,Dallas,Mavericks,109,HOU,Houston,Rockets,Toyota Center,108,DAL,Dallas,Mavericks,53,53.0,18,18.0,34.0,31,31.0,13,13.0,41.9,84,84.0,31,31.0,36.9,21,21.0,16,16.0,76.2,10,10.0,37,37.0,47,47.0,19,19.0,91,91.0,14,14.0,6,6.0,0,0.0,4,4.0,107,107.0,20,20.0,19,19.0,19,1.0,-16,-16.0,24,24.0,24,24.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,1,0.000,0.0', 
b',42114,2017-10-23,8:30PM,101,GSW,Golden State,Warriors,108,DAL,Dallas,Mavericks,American Airlines Center,108,DAL,Dallas,Mavericks,67,67.0,29,29.0,43.3,29,29.0,9,9.0,31.0,96,96.0,38,38.0,39.6,30,30.0,18,18.0,60.0,26,26.0,29,29.0,55,55.0,21,21.0,103,103.0,12,12.0,11,11.0,0,0.0,8,8.0,133,133.0,20,20.0,20,20.0,20,0.0,-30,-30.0,23,23.0,23,23.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,1,0.000,0.0', 
b',42130,2017-10-25,8:30PM,107,MEM,Memphis,Grizzlies,108,DAL,Dallas,Mavericks,American Airlines Center,108,DAL,Dallas,Mavericks,48,48.0,25,25.0,52.1,26,26.0,11,11.0,42.3,74,74.0,36,36.0,48.6,29,29.0,20,20.0,69.0,13,13.0,33,33.0,46,46.0,20,20.0,103,103.0,11,11.0,6,6.0,4,4.0,2,2.0,94,94.0,21,21.0,20,20.0,20,0.0,9,9.0,22,22.0,22,22.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,1,0,1.000,0.0', 
b',42135,2017-10-26,8:00PM,108,DAL,Dallas,Mavericks,107,MEM,Memphis,Grizzlies,FedEx Forum,108,DAL,Dallas,Mavericks,60,60.0,22,22.0,36.7,34,34.0,10,10.0,29.4,94,94.0,32,32.0,34.0,20,20.0,17,17.0,85.0,24,24.0,36,36.0,61,61.0,20,20.0,91,91.0,14,14.0,10,10.0,3,3.0,6,6.0,96,96.0,25,25.0,22,22.0,22,3.0,-5,-5.0,23,23.0,23,23.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,1,0.000,0.0', 
b',42150,2017-10-28,8:30PM,85,PHI,Philadelphia,76ers,108,DAL,Dallas,Mavericks,American Airlines Center,108,DAL,Dallas,Mavericks,34,34.0,19,19.0,55.9,40,40.0,19,19.0,47.5,74,74.0,38,38.0,51.4,19,19.0,15,15.0,79.0,8,8.0,32,32.0,40,40.0,22,22.0,110,110.0,17,17.0,7,7.0,2,2.0,1,1.0,112,112.0,15,15.0,15,15.0,15,0.0,-2,-2.0,21,21.0,21,21.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,1,0.000,0.0', 
b',42167,2017-10-30,9:00PM,108,DAL,Dallas,Mavericks,98,UTA,Utah,Jazz,Vivint Smart Home Arena,108,DAL,Dallas,Mavericks,52,52.0,22,22.0,42.3,24,24.0,12,12.0,50.0,76,76.0,34,34.0,44.7,11,11.0,9,9.0,81.8,14,14.0,35,35.0,49,49.0,17,17.0,89,89.0,24,24.0,4,4.0,2,2.0,8,8.0,104,104.0,16,16.0,16,16.0,16,0.0,-15,-15.0,17,17.0,17,17.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,1,0.000,0.0', 
b',42185,2017-11-01,10:30PM,108,DAL,Dallas,Mavericks,102,LAC,Los Angeles,Clippers,Staples Center,108,DAL,Dallas,Mavericks,53,53.0,23,23.0,43.4,36,36.0,12,12.0,33.3,89,89.0,35,35.0,39.3,20,20.0,16,16.0,80.0,14,14.0,29,29.0,43,43.0,20,20.0,98,98.0,14,14.0,8,8.0,4,4.0,5,5.0,119,119.0,24,24.0,22,22.0,22,1.0,-21,-21.0,20,20.0,20,20.0,1,1.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,1,0.000,0.0', 
b',42194,2017-11-03,8:30PM,110,NOP,New Orleans,Pelicans,108,DAL,Dallas,Mavericks,American Airlines Center,108,DAL,Dallas,Mavericks,54,54.0,25,25.0,46.3,34,34.0,9,9.0,26.5,88,88.0,34,34.0,38.6,22,22.0,17,17.0,77.3,11,11.0,39,39.0,51,51.0,19,19.0,94,94.0,15,15.0,4,4.0,7,7.0,4,4.0,99,99.0,25,25.0,24,24.0,24,2.0,-5,-5.0,22,22.0,22,22.0,0,0.0,0,0.0,1,1.0,0,0.0,0,0.0,0,0,1,0.000,0.0', 
b',42202,2017-11-04,8:00PM,108,DAL,Dallas,Mavericks,100,MIN,Minnesota,Timberwolves,Target Center,108,DAL,Dallas,Mavericks,59,59.0,30,30.0,50.8,27,27.0,10,10.0,37.0,86,86.0,40,40.0,46.5,12,12.0,9,9.0,75.0,9,9.0,24,24.0,33,33.0,18,18.0,99,99.0,16,16.0,7,7.0,2,2.0,8,8.0,112,112.0,19,19.0,19,19.0,19,0.0,-13,-13.0,20,20.0,20,20.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,1,0.000,0.0', 
b',42220,2017-11-07,7:00PM,108,DAL,Dallas,Mavericks,94,WAS,Washington,Wizards,Capital One Arena,108,DAL,Dallas,Mavericks,61,61.0,32,32.0,52.5,30,30.0,11,11.0,36.7,91,91.0,43,43.0,47.2,20,20.0,16,16.0,80.0,15,15.0,42,42.0,57,57.0,26,26.0,113,113.0,11,11.0,6,6.0,8,8.0,5,5.0,99,99.0,26,26.0,23,23.0,23,2.0,14,14.0,19,19.0,19,19.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,1,0,1.000,0.0', 
b',42251,2017-11-11,8:30PM,86,CLE,Cleveland,Cavaliers,108,DAL,Dallas,Mavericks,American Airlines Center,108,DAL,Dallas,Mavericks,58,58.0,29,29.0,50.0,34,34.0,10,10.0,29.4,92,92.0,39,39.0,42.4,21,21.0,16,16.0,76.2,13,13.0,36,36.0,49,49.0,21,21.0,104,104.0,10,10.0,7,7.0,3,3.0,3,3.0,111,111.0,26,26.0,26,26.0,26,0.0,-7,-7.0,18,18.0,18,18.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,1,0.000,0.0', 
