#Date/Time of Update: 2018-02-14 1:48:43 PM,#Game ID,#Game Date,#Game Time,#Away Team ID,#Away Team Abbr.,#Away Team City,#Away Team Name,#Home Team ID,#Home Team Abbr.,#Home Team City,#Home Team Name,#Location,#Team ID,#Team Abbr.,#Team City,#Team Name,#Fg2PtAtt,#Fg2PtAttPerGame,#Fg2PtMade,#Fg2PtMadePerGame,#Fg2PtPct,#Fg3PtAtt,#Fg3PtAttPerGame,#Fg3PtMade,#Fg3PtMadePerGame,#Fg3PtPct,#FgAtt,#FgAttPerGame,#FgMade,#FgMadePerGame,#FgPct,#FtAtt,#FtAttPerGame,#FtMade,#FtMadePerGame,#FtPct,#OffReb,#OffRebPerGame,#DefReb,#DefRebPerGame,#Reb,#RebPerGame,#Ast,#AstPerGame,#Pts,#PtsPerGame,#Tov,#TovPerGame,#Stl,#StlPerGame,#Blk,#BlkPerGame,#BlkAgainst,#BlkAgainstPerGame,#PtsAgainst,#PtsAgainstPerGame,#Fouls,#FoulsPerGame,#FoulPers,#FoulPersPerGame,#FoulTech,#FoulTechPerGame,#PlusMinus,#PlusMinusPerGame,#FoulsDrawn,#FoulsDrawnPerGame,#FoulPersDrawn,#FoulPersDrawnPerGame,#FoulTechDrawn,#FoulTechDrawnPerGame,#FoulFlag1,#FoulFlag1PerGame,#FoulFlag1Drawn,#FoulFlag1DrawnPerGame,#FoulFlag2,#FoulFlag2PerGame,#FoulFlag2Drawn,#FoulFlag2DrawnPerGame,#Ejections,#Wins,#Losses,#WinPct,#GamesBack', 
b',42079,2017-10-18,9:00PM,99,DEN,Denver,Nuggets,98,UTA,Utah,Jazz,Vivint Smart Home Arena,99,DEN,Denver,Nuggets,50,50.0,23,23.0,46.0,27,27.0,13,13.0,48.2,77,77.0,36,36.0,46.8,12,12.0,11,11.0,91.7,11,11.0,32,32.0,43,43.0,21,21.0,96,96.0,21,21.0,4,4.0,3,3.0,5,5.0,106,106.0,19,19.0,18,18.0,18,0.0,-10,-10.0,18,18.0,18,18.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,1,0.000,0.0', 
b',42104,2017-10-21,9:00PM,103,SAC,Sacramento,Kings,99,DEN,Denver,Nuggets,Pepsi Center,99,DEN,Denver,Nuggets,55,55.0,27,27.0,49.1,30,30.0,10,10.0,33.3,85,85.0,37,37.0,43.5,20,20.0,12,12.0,60.0,24,24.0,42,42.0,67,67.0,25,25.0,96,96.0,16,16.0,7,7.0,2,2.0,3,3.0,79,79.0,20,20.0,19,19.0,19,0.0,17,17.0,21,21.0,21,21.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,1,0,1.000,0.0', 
b',42116,2017-10-23,9:00PM,94,WAS,Washington,Wizards,99,DEN,Denver,Nuggets,Pepsi Center,99,DEN,Denver,Nuggets,57,57.0,31,31.0,54.4,23,23.0,8,8.0,34.8,80,80.0,39,39.0,48.8,23,23.0,18,18.0,78.3,15,15.0,37,37.0,52,52.0,27,27.0,104,104.0,23,23.0,5,5.0,2,2.0,3,3.0,109,109.0,23,23.0,22,22.0,22,1.0,-5,-5.0,24,24.0,24,24.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,1,0.000,0.0', 
b',42124,2017-10-25,7:00PM,99,DEN,Denver,Nuggets,93,CHA,Charlotte,Hornets,Spectrum Center,99,DEN,Denver,Nuggets,68,68.0,30,30.0,44.1,31,31.0,8,8.0,25.8,99,99.0,38,38.0,38.4,15,15.0,9,9.0,60.0,23,23.0,34,34.0,57,57.0,18,18.0,93,93.0,13,13.0,6,6.0,1,1.0,5,5.0,110,110.0,23,23.0,23,23.0,23,0.0,-17,-17.0,16,16.0,16,16.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,1,0.000,0.0', 
b',42142,2017-10-27,7:30PM,99,DEN,Denver,Nuggets,91,ATL,Atlanta,Hawks,Philips Arena,99,DEN,Denver,Nuggets,71,71.0,38,38.0,53.5,20,20.0,4,4.0,20.0,91,91.0,42,42.0,46.2,23,23.0,17,17.0,73.9,23,23.0,39,39.0,62,62.0,24,24.0,105,105.0,11,11.0,8,8.0,4,4.0,4,4.0,100,100.0,12,12.0,12,12.0,12,0.0,5,5.0,21,21.0,21,21.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,1,0,1.000,0.0', 
b',42157,2017-10-29,6:00PM,99,DEN,Denver,Nuggets,84,BRO,Brooklyn,Nets,Barclays Center,99,DEN,Denver,Nuggets,74,74.0,36,36.0,48.6,20,20.0,11,11.0,55.0,94,94.0,47,47.0,50.0,22,22.0,19,19.0,86.4,7,7.0,42,42.0,49,49.0,23,23.0,124,124.0,6,6.0,7,7.0,7,7.0,4,4.0,111,111.0,22,22.0,22,22.0,22,0.0,13,13.0,18,18.0,18,18.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,1,0,1.000,0.0', 
b',42162,2017-10-30,7:30PM,99,DEN,Denver,Nuggets,83,NYK,New York,Knicks,Madison Square Garden,99,DEN,Denver,Nuggets,44,44.0,17,17.0,38.6,41,41.0,18,18.0,43.9,85,85.0,35,35.0,41.2,31,31.0,22,22.0,71.0,19,19.0,24,24.0,43,43.0,20,20.0,110,110.0,13,13.0,13,13.0,5,5.0,10,10.0,116,116.0,22,22.0,22,22.0,22,0.0,-6,-6.0,27,27.0,27,27.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,1,0.000,0.0', 
b',42184,2017-11-01,9:00PM,81,TOR,Toronto,Raptors,99,DEN,Denver,Nuggets,Pepsi Center,99,DEN,Denver,Nuggets,56,56.0,31,31.0,55.4,32,32.0,16,16.0,50.0,88,88.0,47,47.0,53.4,29,29.0,19,19.0,65.5,20,20.0,37,37.0,57,57.0,35,35.0,129,129.0,12,12.0,9,9.0,4,4.0,4,4.0,111,111.0,20,20.0,20,20.0,20,0.0,18,18.0,25,25.0,25,25.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,1,0,1.000,0.0', 
b',42197,2017-11-03,9:00PM,92,MIA,Miami,Heat,99,DEN,Denver,Nuggets,Pepsi Center,99,DEN,Denver,Nuggets,57,57.0,27,27.0,47.4,23,23.0,9,9.0,39.1,80,80.0,36,36.0,45.0,25,25.0,14,14.0,56.0,20,20.0,31,31.0,52,52.0,17,17.0,95,95.0,17,17.0,9,9.0,6,6.0,6,6.0,94,94.0,17,17.0,16,16.0,16,2.0,1,1.0,24,24.0,24,24.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,1,0,1.000,0.0', 
b',42204,2017-11-04,9:00PM,101,GSW,Golden State,Warriors,99,DEN,Denver,Nuggets,Pepsi Center,99,DEN,Denver,Nuggets,63,63.0,34,34.0,54.0,24,24.0,6,6.0,25.0,87,87.0,40,40.0,46.0,27,27.0,22,22.0,81.5,16,16.0,38,38.0,54,54.0,26,26.0,108,108.0,17,17.0,9,9.0,6,6.0,4,4.0,127,127.0,18,18.0,18,18.0,18,0.0,-19,-19.0,23,23.0,23,23.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,1,0.000,0.0', 
