#Date/Time of Update: 2018-02-14 1:48:43 PM,#Game ID,#Game Date,#Game Time,#Away Team ID,#Away Team Abbr.,#Away Team City,#Away Team Name,#Home Team ID,#Home Team Abbr.,#Home Team City,#Home Team Name,#Location,#Team ID,#Team Abbr.,#Team City,#Team Name,#Fg2PtAtt,#Fg2PtAttPerGame,#Fg2PtMade,#Fg2PtMadePerGame,#Fg2PtPct,#Fg3PtAtt,#Fg3PtAttPerGame,#Fg3PtMade,#Fg3PtMadePerGame,#Fg3PtPct,#FgAtt,#FgAttPerGame,#FgMade,#FgMadePerGame,#FgPct,#FtAtt,#FtAttPerGame,#FtMade,#FtMadePerGame,#FtPct,#OffReb,#OffRebPerGame,#DefReb,#DefRebPerGame,#Reb,#RebPerGame,#Ast,#AstPerGame,#Pts,#PtsPerGame,#Tov,#TovPerGame,#Stl,#StlPerGame,#Blk,#BlkPerGame,#BlkAgainst,#BlkAgainstPerGame,#PtsAgainst,#PtsAgainstPerGame,#Fouls,#FoulsPerGame,#FoulPers,#FoulPersPerGame,#FoulTech,#FoulTechPerGame,#PlusMinus,#PlusMinusPerGame,#FoulsDrawn,#FoulsDrawnPerGame,#FoulPersDrawn,#FoulPersDrawnPerGame,#FoulTechDrawn,#FoulTechDrawnPerGame,#FoulFlag1,#FoulFlag1PerGame,#FoulFlag1Drawn,#FoulFlag1DrawnPerGame,#FoulFlag2,#FoulFlag2PerGame,#FoulFlag2Drawn,#FoulFlag2DrawnPerGame,#Ejections,#Wins,#Losses,#WinPct,#GamesBack', 
b',42072,2017-10-18,7:00PM,93,CHA,Charlotte,Hornets,88,DET,Detroit,Pistons,Palace of Auburn Hills,88,DET,Detroit,Pistons,70,70.0,32,32.0,45.7,26,26.0,9,9.0,34.6,96,96.0,41,41.0,42.7,12,12.0,11,11.0,91.7,11,11.0,39,39.0,50,50.0,24,24.0,102,102.0,8,8.0,14,14.0,3,3.0,3,3.0,90,90.0,22,22.0,21,21.0,21,1.0,12,12.0,15,15.0,15,15.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,1,0,1.000,0.0', 
b',42086,2017-10-20,7:00PM,88,DET,Detroit,Pistons,94,WAS,Washington,Wizards,Capital One Arena,88,DET,Detroit,Pistons,64,64.0,33,33.0,51.6,23,23.0,10,10.0,43.5,87,87.0,43,43.0,49.4,20,20.0,15,15.0,75.0,14,14.0,29,29.0,43,43.0,19,19.0,111,111.0,19,19.0,12,12.0,1,1.0,7,7.0,115,115.0,32,32.0,32,32.0,32,0.0,-4,-4.0,18,18.0,18,18.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,1,0.000,0.0', 
b',42101,2017-10-21,8:00PM,88,DET,Detroit,Pistons,83,NYK,New York,Knicks,Madison Square Garden,88,DET,Detroit,Pistons,61,61.0,35,35.0,57.4,30,30.0,9,9.0,30.0,91,91.0,44,44.0,48.4,15,15.0,14,14.0,93.3,17,17.0,29,29.0,47,47.0,21,21.0,111,111.0,12,12.0,5,5.0,2,2.0,2,2.0,107,107.0,25,25.0,25,25.0,25,0.0,4,4.0,21,21.0,21,21.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,1,0,1.000,0.0', 
b',42110,2017-10-23,7:00PM,85,PHI,Philadelphia,76ers,88,DET,Detroit,Pistons,Palace of Auburn Hills,88,DET,Detroit,Pistons,55,55.0,27,27.0,49.1,30,30.0,6,6.0,20.0,85,85.0,33,33.0,38.8,19,19.0,14,14.0,73.7,15,15.0,31,31.0,46,46.0,14,14.0,86,86.0,14,14.0,5,5.0,2,2.0,0,0.0,97,97.0,22,22.0,21,21.0,21,0.0,-11,-11.0,24,24.0,24,24.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,1,0.000,0.0', 
b',42125,2017-10-25,7:00PM,100,MIN,Minnesota,Timberwolves,88,DET,Detroit,Pistons,Palace of Auburn Hills,88,DET,Detroit,Pistons,58,58.0,33,33.0,56.9,34,34.0,15,15.0,44.1,92,92.0,48,48.0,52.2,17,17.0,11,11.0,64.7,18,18.0,37,37.0,55,55.0,32,32.0,122,122.0,15,15.0,7,7.0,3,3.0,4,4.0,101,101.0,22,22.0,22,22.0,22,0.0,21,21.0,19,19.0,19,19.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,1,0,1.000,0.0', 
b',42153,2017-10-28,10:30PM,88,DET,Detroit,Pistons,102,LAC,Los Angeles,Clippers,Staples Center,88,DET,Detroit,Pistons,60,60.0,27,27.0,45.0,28,28.0,9,9.0,32.1,88,88.0,36,36.0,40.9,21,21.0,14,14.0,66.7,21,21.0,40,40.0,61,61.0,16,16.0,95,95.0,12,12.0,11,11.0,6,6.0,6,6.0,87,87.0,21,21.0,20,20.0,20,0.0,8,8.0,18,18.0,18,18.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,1,0,1.000,0.0', 
b',42160,2017-10-29,8:30PM,88,DET,Detroit,Pistons,101,GSW,Golden State,Warriors,Oracle Arena,88,DET,Detroit,Pistons,66,66.0,31,31.0,47.0,27,27.0,12,12.0,44.4,93,93.0,43,43.0,46.2,17,17.0,17,17.0,100.0,19,19.0,22,22.0,42,42.0,22,22.0,115,115.0,13,13.0,16,16.0,0,0.0,11,11.0,107,107.0,11,11.0,9,9.0,9,1.0,8,8.0,14,14.0,14,14.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,1,0,1.000,0.0', 
b',42173,2017-10-31,10:30PM,88,DET,Detroit,Pistons,105,LAL,Los Angeles,Lakers,Staples Center,88,DET,Detroit,Pistons,61,61.0,31,31.0,50.8,33,33.0,10,10.0,30.3,94,94.0,41,41.0,43.6,3,3.0,1,1.0,33.3,12,12.0,34,34.0,47,47.0,21,21.0,93,93.0,13,13.0,7,7.0,3,3.0,5,5.0,113,113.0,12,12.0,11,11.0,11,0.0,-20,-20.0,14,14.0,14,14.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,1,0.000,0.0', 
b',42188,2017-11-03,7:00PM,90,MIL,Milwaukee,Bucks,88,DET,Detroit,Pistons,Palace of Auburn Hills,88,DET,Detroit,Pistons,52,52.0,29,29.0,55.8,26,26.0,8,8.0,30.8,78,78.0,37,37.0,47.4,28,28.0,23,23.0,82.1,14,14.0,34,34.0,49,49.0,21,21.0,105,105.0,12,12.0,10,10.0,4,4.0,6,6.0,96,96.0,12,12.0,11,11.0,11,1.0,9,9.0,24,24.0,24,24.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,1,0,1.000,0.0', 
b',42201,2017-11-04,7:00PM,103,SAC,Sacramento,Kings,88,DET,Detroit,Pistons,Palace of Auburn Hills,88,DET,Detroit,Pistons,55,55.0,27,27.0,49.1,24,24.0,13,13.0,54.2,79,79.0,40,40.0,50.6,22,22.0,15,15.0,68.2,16,16.0,32,32.0,48,48.0,28,28.0,108,108.0,15,15.0,10,10.0,3,3.0,1,1.0,99,99.0,20,20.0,19,19.0,19,1.0,9,9.0,23,23.0,23,23.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,1,0,1.000,0.0', 
