#Date/Time of Update: 2018-02-14 1:48:43 PM,#Game ID,#Game Date,#Game Time,#Away Team ID,#Away Team Abbr.,#Away Team City,#Away Team Name,#Home Team ID,#Home Team Abbr.,#Home Team City,#Home Team Name,#Location,#Team ID,#Team Abbr.,#Team City,#Team Name,#Fg2PtAtt,#Fg2PtAttPerGame,#Fg2PtMade,#Fg2PtMadePerGame,#Fg2PtPct,#Fg3PtAtt,#Fg3PtAttPerGame,#Fg3PtMade,#Fg3PtMadePerGame,#Fg3PtPct,#FgAtt,#FgAttPerGame,#FgMade,#FgMadePerGame,#FgPct,#FtAtt,#FtAttPerGame,#FtMade,#FtMadePerGame,#FtPct,#OffReb,#OffRebPerGame,#DefReb,#DefRebPerGame,#Reb,#RebPerGame,#Ast,#AstPerGame,#Pts,#PtsPerGame,#Tov,#TovPerGame,#Stl,#StlPerGame,#Blk,#BlkPerGame,#BlkAgainst,#BlkAgainstPerGame,#PtsAgainst,#PtsAgainstPerGame,#Fouls,#FoulsPerGame,#FoulPers,#FoulPersPerGame,#FoulTech,#FoulTechPerGame,#PlusMinus,#PlusMinusPerGame,#FoulsDrawn,#FoulsDrawnPerGame,#FoulPersDrawn,#FoulPersDrawnPerGame,#FoulTechDrawn,#FoulTechDrawnPerGame,#FoulFlag1,#FoulFlag1PerGame,#FoulFlag1Drawn,#FoulFlag1DrawnPerGame,#FoulFlag2,#FoulFlag2PerGame,#FoulFlag2Drawn,#FoulFlag2DrawnPerGame,#Ejections,#Wins,#Losses,#WinPct,#GamesBack', 
b',42071,2017-10-17,10:30PM,109,HOU,Houston,Rockets,101,GSW,Golden State,Warriors,Oracle Arena,101,GSW,Golden State,Warriors,50,50.0,27,27.0,54.0,30,30.0,16,16.0,53.3,80,80.0,43,43.0,53.8,21,21.0,19,19.0,90.5,6,6.0,36,36.0,42,42.0,34,34.0,121,121.0,17,17.0,5,5.0,9,9.0,5,5.0,122,122.0,25,25.0,25,25.0,25,0.0,-1,-1.0,16,16.0,16,16.0,1,1.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,1,0.000,0.0', 
b',42094,2017-10-20,9:30PM,101,GSW,Golden State,Warriors,110,NOP,New Orleans,Pelicans,Smoothie King Center,101,GSW,Golden State,Warriors,51,51.0,29,29.0,56.9,40,40.0,18,18.0,45.0,91,91.0,47,47.0,51.6,20,20.0,16,16.0,80.0,12,12.0,40,40.0,52,52.0,31,31.0,128,128.0,18,18.0,5,5.0,8,8.0,2,2.0,120,120.0,24,24.0,23,23.0,23,2.0,8,8.0,19,19.0,19,19.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,1,0,1.000,0.0', 
b',42098,2017-10-21,8:00PM,101,GSW,Golden State,Warriors,107,MEM,Memphis,Grizzlies,FedEx Forum,101,GSW,Golden State,Warriors,46,46.0,21,21.0,45.6,38,38.0,12,12.0,31.6,84,84.0,33,33.0,39.3,27,27.0,23,23.0,85.2,18,18.0,36,36.0,55,55.0,20,20.0,101,101.0,17,17.0,10,10.0,7,7.0,4,4.0,111,111.0,31,31.0,28,28.0,28,4.0,-10,-10.0,25,25.0,25,25.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,1,0.000,0.0', 
b',42114,2017-10-23,8:30PM,101,GSW,Golden State,Warriors,108,DAL,Dallas,Mavericks,American Airlines Center,101,GSW,Golden State,Warriors,47,47.0,33,33.0,70.2,39,39.0,15,15.0,38.5,86,86.0,48,48.0,55.8,26,26.0,22,22.0,84.6,13,13.0,44,44.0,57,57.0,33,33.0,133,133.0,16,16.0,6,6.0,8,8.0,0,0.0,103,103.0,24,24.0,23,23.0,23,0.0,30,30.0,20,20.0,20,20.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,1,0,1.000,0.0', 
b',42132,2017-10-25,10:30PM,81,TOR,Toronto,Raptors,101,GSW,Golden State,Warriors,Oracle Arena,101,GSW,Golden State,Warriors,51,51.0,31,31.0,60.8,26,26.0,12,12.0,46.2,77,77.0,43,43.0,55.8,22,22.0,19,19.0,86.4,9,9.0,32,32.0,41,41.0,32,32.0,117,117.0,17,17.0,10,10.0,7,7.0,6,6.0,112,112.0,15,15.0,15,15.0,15,0.0,5,5.0,16,16.0,16,16.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,1,0,1.000,0.0', 
b',42145,2017-10-27,10:30PM,94,WAS,Washington,Wizards,101,GSW,Golden State,Warriors,Oracle Arena,101,GSW,Golden State,Warriors,57,57.0,36,36.0,63.2,38,38.0,10,10.0,26.3,95,95.0,46,46.0,48.4,20,20.0,18,18.0,90.0,20,20.0,39,39.0,59,59.0,33,33.0,120,120.0,17,17.0,7,7.0,13,13.0,6,6.0,117,117.0,23,23.0,20,20.0,20,4.0,3,3.0,21,21.0,21,21.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,1,0,1.000,0.0', 
b',42160,2017-10-29,8:30PM,88,DET,Detroit,Pistons,101,GSW,Golden State,Warriors,Oracle Arena,101,GSW,Golden State,Warriors,50,50.0,34,34.0,68.0,27,27.0,10,10.0,37.0,77,77.0,44,44.0,57.1,12,12.0,9,9.0,75.0,14,14.0,30,30.0,44,44.0,29,29.0,107,107.0,25,25.0,3,3.0,11,11.0,0,0.0,115,115.0,14,14.0,14,14.0,14,0.0,-8,-8.0,9,9.0,9,9.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,1,0.000,0.0', 
b',42169,2017-10-30,10:30PM,101,GSW,Golden State,Warriors,102,LAC,Los Angeles,Clippers,Staples Center,101,GSW,Golden State,Warriors,60,60.0,38,38.0,63.3,29,29.0,14,14.0,48.3,89,89.0,52,52.0,58.4,30,30.0,23,23.0,76.7,18,18.0,34,34.0,52,52.0,37,37.0,141,141.0,12,12.0,8,8.0,8,8.0,3,3.0,113,113.0,25,25.0,23,23.0,23,0.0,28,28.0,20,20.0,20,20.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,1,0,1.000,0.0', 
b',42186,2017-11-02,8:00PM,101,GSW,Golden State,Warriors,106,SAS,San Antonio,Spurs,AT&T Center,101,GSW,Golden State,Warriors,55,55.0,29,29.0,52.7,28,28.0,14,14.0,50.0,83,83.0,43,43.0,51.8,16,16.0,12,12.0,75.0,10,10.0,38,38.0,48,48.0,30,30.0,112,112.0,14,14.0,11,11.0,11,11.0,7,7.0,92,92.0,21,21.0,20,20.0,20,1.0,20,20.0,10,10.0,10,10.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,1,0,1.000,0.0', 
b',42204,2017-11-04,9:00PM,101,GSW,Golden State,Warriors,99,DEN,Denver,Nuggets,Pepsi Center,101,GSW,Golden State,Warriors,51,51.0,32,32.0,62.8,40,40.0,18,18.0,45.0,91,91.0,50,50.0,55.0,17,17.0,9,9.0,52.9,10,10.0,36,36.0,46,46.0,38,38.0,127,127.0,13,13.0,13,13.0,4,4.0,6,6.0,108,108.0,23,23.0,23,23.0,23,0.0,19,19.0,18,18.0,18,18.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,1,0,1.000,0.0', 
b',42217,2017-11-06,10:30PM,92,MIA,Miami,Heat,101,GSW,Golden State,Warriors,Oracle Arena,101,GSW,Golden State,Warriors,55,55.0,21,21.0,38.2,32,32.0,11,11.0,34.4,87,87.0,32,32.0,36.8,24,24.0,22,22.0,91.7,17,17.0,43,43.0,60,60.0,20,20.0,97,97.0,14,14.0,12,12.0,10,10.0,6,6.0,80,80.0,22,22.0,21,21.0,21,1.0,17,17.0,20,20.0,20,20.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,1,0,1.000,0.0', 
b',42232,2017-11-08,10:30PM,100,MIN,Minnesota,Timberwolves,101,GSW,Golden State,Warriors,Oracle Arena,101,GSW,Golden State,Warriors,49,49.0,33,33.0,67.4,36,36.0,15,15.0,41.7,85,85.0,48,48.0,56.5,18,18.0,14,14.0,77.8,6,6.0,43,43.0,49,49.0,37,37.0,125,125.0,19,19.0,10,10.0,9,9.0,0,0.0,101,101.0,23,23.0,23,23.0,23,0.0,24,24.0,14,14.0,14,14.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,1,0,1.000,0.0', 
b',42253,2017-11-11,8:30PM,85,PHI,Philadelphia,76ers,101,GSW,Golden State,Warriors,Oracle Arena,101,GSW,Golden State,Warriors,55,55.0,34,34.0,61.8,27,27.0,14,14.0,51.8,82,82.0,48,48.0,58.5,26,26.0,25,25.0,96.2,7,7.0,39,39.0,46,46.0,31,31.0,135,135.0,23,23.0,15,15.0,11,11.0,2,2.0,114,114.0,25,25.0,23,23.0,23,1.0,21,21.0,19,19.0,19,19.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,1,0,1.000,0.0', 
b',42268,2017-11-13,10:30PM,95,ORL,Orlando,Magic,101,GSW,Golden State,Warriors,Oracle Arena,101,GSW,Golden State,Warriors,65,65.0,36,36.0,55.4,23,23.0,8,8.0,34.8,88,88.0,44,44.0,50.0,16,16.0,14,14.0,87.5,13,13.0,42,42.0,56,56.0,35,35.0,110,110.0,16,16.0,4,4.0,5,5.0,3,3.0,100,100.0,21,21.0,21,21.0,21,0.0,10,10.0,18,18.0,18,18.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,1,0,1.000,0.0', 
b',42284,2017-11-16,8:00PM,101,GSW,Golden State,Warriors,82,BOS,Boston,Celtics,TD Garden,101,GSW,Golden State,Warriors,50,50.0,23,23.0,46.0,32,32.0,10,10.0,31.2,82,82.0,33,33.0,40.2,19,19.0,12,12.0,63.2,8,8.0,42,42.0,50,50.0,22,22.0,88,88.0,15,15.0,9,9.0,10,10.0,5,5.0,92,92.0,24,24.0,24,24.0,24,0.0,-4,-4.0,15,15.0,15,15.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,1,0.000,0.0', 
b',42299,2017-11-18,7:30PM,101,GSW,Golden State,Warriors,85,PHI,Philadelphia,76ers,Wells Fargo Center,101,GSW,Golden State,Warriors,69,69.0,43,43.0,62.3,23,23.0,7,7.0,30.4,92,92.0,50,50.0,54.4,20,20.0,17,17.0,85.0,15,15.0,39,39.0,54,54.0,25,25.0,124,124.0,12,12.0,5,5.0,6,6.0,5,5.0,116,116.0,19,19.0,18,18.0,18,1.0,8,8.0,22,22.0,22,22.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,1,0,1.000,0.0', 
b',42306,2017-11-19,6:00PM,101,GSW,Golden State,Warriors,84,BRO,Brooklyn,Nets,Barclays Center,101,GSW,Golden State,Warriors,66,66.0,36,36.0,54.6,24,24.0,10,10.0,41.7,90,90.0,46,46.0,51.1,23,23.0,16,16.0,69.6,11,11.0,52,52.0,63,63.0,29,29.0,118,118.0,15,15.0,8,8.0,14,14.0,2,2.0,111,111.0,28,28.0,27,27.0,27,1.0,7,7.0,21,21.0,21,21.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,1,0,1.000,0.0', 
