#Date/Time of Update: 2018-02-14 1:48:43 PM,#Game ID,#Game Date,#Game Time,#Away Team ID,#Away Team Abbr.,#Away Team City,#Away Team Name,#Home Team ID,#Home Team Abbr.,#Home Team City,#Home Team Name,#Location,#Team ID,#Team Abbr.,#Team City,#Team Name,#Fg2PtAtt,#Fg2PtAttPerGame,#Fg2PtMade,#Fg2PtMadePerGame,#Fg2PtPct,#Fg3PtAtt,#Fg3PtAttPerGame,#Fg3PtMade,#Fg3PtMadePerGame,#Fg3PtPct,#FgAtt,#FgAttPerGame,#FgMade,#FgMadePerGame,#FgPct,#FtAtt,#FtAttPerGame,#FtMade,#FtMadePerGame,#FtPct,#OffReb,#OffRebPerGame,#DefReb,#DefRebPerGame,#Reb,#RebPerGame,#Ast,#AstPerGame,#Pts,#PtsPerGame,#Tov,#TovPerGame,#Stl,#StlPerGame,#Blk,#BlkPerGame,#BlkAgainst,#BlkAgainstPerGame,#PtsAgainst,#PtsAgainstPerGame,#Fouls,#FoulsPerGame,#FoulPers,#FoulPersPerGame,#FoulTech,#FoulTechPerGame,#PlusMinus,#PlusMinusPerGame,#FoulsDrawn,#FoulsDrawnPerGame,#FoulPersDrawn,#FoulPersDrawnPerGame,#FoulTechDrawn,#FoulTechDrawnPerGame,#FoulFlag1,#FoulFlag1PerGame,#FoulFlag1Drawn,#FoulFlag1DrawnPerGame,#FoulFlag2,#FoulFlag2PerGame,#FoulFlag2Drawn,#FoulFlag2DrawnPerGame,#Ejections,#Wins,#Losses,#WinPct,#GamesBack', 
b',42071,2017-10-17,10:30PM,109,HOU,Houston,Rockets,101,GSW,Golden State,Warriors,Oracle Arena,109,HOU,Houston,Rockets,56,56.0,32,32.0,57.1,41,41.0,15,15.0,36.6,97,97.0,47,47.0,48.4,19,19.0,13,13.0,68.4,20,20.0,33,33.0,53,53.0,28,28.0,122,122.0,12,12.0,9,9.0,5,5.0,9,9.0,121,121.0,17,17.0,16,16.0,16,2.0,1,1.0,25,25.0,25,25.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,1,0,1.000,0.0', 
b',42081,2017-10-18,10:00PM,109,HOU,Houston,Rockets,103,SAC,Sacramento,Kings,Sleep Train Arena,109,HOU,Houston,Rockets,38,38.0,21,21.0,55.3,45,45.0,12,12.0,26.7,83,83.0,33,33.0,39.8,29,29.0,27,27.0,93.1,17,17.0,34,34.0,51,51.0,19,19.0,105,105.0,14,14.0,7,7.0,3,3.0,4,4.0,100,100.0,14,14.0,14,14.0,14,0.0,5,5.0,20,20.0,20,20.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,1,0,1.000,0.0', 
b',42100,2017-10-21,8:00PM,108,DAL,Dallas,Mavericks,109,HOU,Houston,Rockets,Toyota Center,109,HOU,Houston,Rockets,35,35.0,28,28.0,80.0,47,47.0,11,11.0,23.4,82,82.0,39,39.0,47.6,22,22.0,18,18.0,81.8,9,9.0,47,47.0,58,58.0,17,17.0,107,107.0,13,13.0,12,12.0,4,4.0,0,0.0,91,91.0,26,26.0,24,24.0,24,1.0,16,16.0,19,19.0,19,19.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,1,0,1.000,0.0', 
b',42113,2017-10-23,8:00PM,107,MEM,Memphis,Grizzlies,109,HOU,Houston,Rockets,Toyota Center,109,HOU,Houston,Rockets,39,39.0,23,23.0,59.0,38,38.0,9,9.0,23.7,77,77.0,32,32.0,41.6,23,23.0,17,17.0,73.9,13,13.0,33,33.0,46,46.0,25,25.0,90,90.0,17,17.0,5,5.0,2,2.0,2,2.0,98,98.0,34,34.0,31,31.0,31,2.0,-8,-8.0,21,21.0,21,21.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,1,0.000,0.0', 
b',42126,2017-10-25,7:00PM,109,HOU,Houston,Rockets,85,PHI,Philadelphia,76ers,Wells Fargo Center,109,HOU,Houston,Rockets,36,36.0,24,24.0,66.7,39,39.0,12,12.0,30.8,75,75.0,36,36.0,48.0,24,24.0,21,21.0,87.5,9,9.0,34,34.0,43,43.0,22,22.0,105,105.0,19,19.0,11,11.0,13,13.0,7,7.0,104,104.0,13,13.0,13,13.0,13,0.0,1,1.0,19,19.0,19,19.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,1,0,1.000,0.0', 
b',42139,2017-10-27,7:00PM,109,HOU,Houston,Rockets,93,CHA,Charlotte,Hornets,Spectrum Center,109,HOU,Houston,Rockets,28,28.0,16,16.0,57.1,57,57.0,22,22.0,38.6,85,85.0,38,38.0,44.7,13,13.0,11,11.0,84.6,13,13.0,45,45.0,58,58.0,21,21.0,109,109.0,15,15.0,5,5.0,6,6.0,5,5.0,93,93.0,27,27.0,26,26.0,26,0.0,16,16.0,14,14.0,14,14.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,1,0,1.000,0.0', 
b',43367,2017-10-28,8:00PM,109,HOU,Houston,Rockets,107,MEM,Memphis,Grizzlies,FedEx Forum,109,HOU,Houston,Rockets,39,39.0,15,15.0,38.5,38,38.0,14,14.0,36.8,77,77.0,29,29.0,37.7,21,21.0,17,17.0,81.0,11,11.0,38,38.0,51,51.0,18,18.0,89,89.0,17,17.0,4,4.0,3,3.0,6,6.0,103,103.0,23,23.0,23,23.0,23,0.0,-14,-14.0,20,20.0,20,20.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,1,0.000,0.0', 
b',42166,2017-10-30,8:00PM,85,PHI,Philadelphia,76ers,109,HOU,Houston,Rockets,Toyota Center,109,HOU,Houston,Rockets,36,36.0,20,20.0,55.6,47,47.0,13,13.0,27.7,83,83.0,33,33.0,39.8,38,38.0,28,28.0,73.7,18,18.0,28,28.0,46,46.0,17,17.0,107,107.0,15,15.0,12,12.0,3,3.0,4,4.0,115,115.0,23,23.0,23,23.0,23,0.0,-8,-8.0,31,31.0,31,31.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,1,0.000,0.0', 
b',42180,2017-11-01,8:00PM,109,HOU,Houston,Rockets,83,NYK,New York,Knicks,Madison Square Garden,109,HOU,Houston,Rockets,36,36.0,23,23.0,63.9,52,52.0,19,19.0,36.5,88,88.0,42,42.0,47.7,21,21.0,16,16.0,76.2,13,13.0,39,39.0,53,53.0,21,21.0,119,119.0,15,15.0,6,6.0,4,4.0,1,1.0,97,97.0,20,20.0,20,20.0,20,0.0,22,22.0,18,18.0,18,18.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,1,0,1.000,0.0', 
b',42192,2017-11-03,7:30PM,109,HOU,Houston,Rockets,91,ATL,Atlanta,Hawks,Philips Arena,109,HOU,Houston,Rockets,42,42.0,26,26.0,61.9,47,47.0,16,16.0,34.0,89,89.0,42,42.0,47.2,23,23.0,19,19.0,82.6,12,12.0,36,36.0,48,48.0,28,28.0,119,119.0,13,13.0,14,14.0,4,4.0,8,8.0,104,104.0,16,16.0,16,16.0,16,0.0,15,15.0,16,16.0,16,16.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,1,0,1.000,0.0', 
