#Date/Time of Update: 2018-02-14 1:48:43 PM,#Game ID,#Game Date,#Game Time,#Away Team ID,#Away Team Abbr.,#Away Team City,#Away Team Name,#Home Team ID,#Home Team Abbr.,#Home Team City,#Home Team Name,#Location,#Team ID,#Team Abbr.,#Team City,#Team Name,#Fg2PtAtt,#Fg2PtAttPerGame,#Fg2PtMade,#Fg2PtMadePerGame,#Fg2PtPct,#Fg3PtAtt,#Fg3PtAttPerGame,#Fg3PtMade,#Fg3PtMadePerGame,#Fg3PtPct,#FgAtt,#FgAttPerGame,#FgMade,#FgMadePerGame,#FgPct,#FtAtt,#FtAttPerGame,#FtMade,#FtMadePerGame,#FtPct,#OffReb,#OffRebPerGame,#DefReb,#DefRebPerGame,#Reb,#RebPerGame,#Ast,#AstPerGame,#Pts,#PtsPerGame,#Tov,#TovPerGame,#Stl,#StlPerGame,#Blk,#BlkPerGame,#BlkAgainst,#BlkAgainstPerGame,#PtsAgainst,#PtsAgainstPerGame,#Fouls,#FoulsPerGame,#FoulPers,#FoulPersPerGame,#FoulTech,#FoulTechPerGame,#PlusMinus,#PlusMinusPerGame,#FoulsDrawn,#FoulsDrawnPerGame,#FoulPersDrawn,#FoulPersDrawnPerGame,#FoulTechDrawn,#FoulTechDrawnPerGame,#FoulFlag1,#FoulFlag1PerGame,#FoulFlag1Drawn,#FoulFlag1DrawnPerGame,#FoulFlag2,#FoulFlag2PerGame,#FoulFlag2Drawn,#FoulFlag2DrawnPerGame,#Ejections,#Wins,#Losses,#WinPct,#GamesBack', 
b',42074,2017-10-18,7:00PM,84,BRO,Brooklyn,Nets,87,IND,Indiana,Pacers,Bankers Life Fieldhouse,87,IND,Indiana,Pacers,68,68.0,44,44.0,64.7,34,34.0,9,9.0,26.5,102,102.0,53,53.0,52.0,32,32.0,25,25.0,78.1,22,22.0,35,35.0,57,57.0,29,29.0,140,140.0,14,14.0,12,12.0,9,9.0,2,2.0,131,131.0,25,25.0,25,25.0,25,0.0,9,9.0,25,25.0,25,25.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,1,0,1.000,0.0', 
b',42088,2017-10-20,7:00PM,97,POR,Portland,Trail Blazers,87,IND,Indiana,Pacers,Bankers Life Fieldhouse,87,IND,Indiana,Pacers,60,60.0,31,31.0,51.7,18,18.0,4,4.0,22.2,78,78.0,35,35.0,44.9,33,33.0,22,22.0,66.7,14,14.0,35,35.0,49,49.0,15,15.0,96,96.0,12,12.0,1,1.0,4,4.0,6,6.0,114,114.0,18,18.0,18,18.0,18,0.0,-18,-18.0,25,25.0,25,25.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,1,0.000,0.0', 
b',42097,2017-10-21,8:00PM,87,IND,Indiana,Pacers,92,MIA,Miami,Heat,American Airlines Arena,87,IND,Indiana,Pacers,77,77.0,36,36.0,46.8,19,19.0,7,7.0,36.8,96,96.0,43,43.0,44.8,21,21.0,15,15.0,71.4,17,17.0,35,35.0,54,54.0,17,17.0,108,108.0,11,11.0,9,9.0,4,4.0,11,11.0,112,112.0,19,19.0,18,18.0,18,0.0,-4,-4.0,19,19.0,19,19.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,1,0.000,0.0', 
b',42121,2017-10-24,8:00PM,87,IND,Indiana,Pacers,100,MIN,Minnesota,Timberwolves,Target Center,87,IND,Indiana,Pacers,62,62.0,46,46.0,74.2,22,22.0,10,10.0,45.4,84,84.0,56,56.0,66.7,11,11.0,8,8.0,72.7,11,11.0,37,37.0,48,48.0,31,31.0,130,130.0,17,17.0,8,8.0,2,2.0,4,4.0,107,107.0,22,22.0,21,21.0,21,1.0,23,23.0,14,14.0,14,14.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,1,0,1.000,0.0', 
b',42128,2017-10-25,8:00PM,87,IND,Indiana,Pacers,96,OKL,Oklahoma City,Thunder,Chesapeake Energy Arena,87,IND,Indiana,Pacers,54,54.0,18,18.0,33.3,29,29.0,10,10.0,34.5,83,83.0,28,28.0,33.7,35,35.0,30,30.0,85.7,19,19.0,31,31.0,52,52.0,13,13.0,96,96.0,19,19.0,13,13.0,2,2.0,8,8.0,114,114.0,23,23.0,23,23.0,23,0.0,-18,-18.0,27,27.0,27,27.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,1,0.000,0.0', 
b',42155,2017-10-29,4:30PM,106,SAS,San Antonio,Spurs,87,IND,Indiana,Pacers,Bankers Life Fieldhouse,87,IND,Indiana,Pacers,55,55.0,26,26.0,47.3,22,22.0,10,10.0,45.4,77,77.0,36,36.0,46.8,20,20.0,15,15.0,75.0,14,14.0,40,40.0,54,54.0,21,21.0,97,97.0,19,19.0,9,9.0,3,3.0,8,8.0,94,94.0,20,20.0,20,20.0,20,0.0,3,3.0,11,11.0,11,11.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,1,0,1.000,0.0', 
b',42170,2017-10-31,7:00PM,103,SAC,Sacramento,Kings,87,IND,Indiana,Pacers,Bankers Life Fieldhouse,87,IND,Indiana,Pacers,56,56.0,24,24.0,42.9,29,29.0,12,12.0,41.4,85,85.0,36,36.0,42.4,22,22.0,17,17.0,77.3,17,17.0,39,39.0,56,56.0,25,25.0,101,101.0,14,14.0,8,8.0,7,7.0,5,5.0,83,83.0,17,17.0,17,17.0,17,0.0,18,18.0,18,18.0,18,18.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,1,0,1.000,0.0', 
b',42174,2017-11-01,7:00PM,87,IND,Indiana,Pacers,86,CLE,Cleveland,Cavaliers,Quicken Loans Arena,87,IND,Indiana,Pacers,64,64.0,33,33.0,51.6,26,26.0,16,16.0,61.5,90,90.0,49,49.0,54.4,13,13.0,10,10.0,76.9,11,11.0,36,36.0,47,47.0,35,35.0,124,124.0,11,11.0,9,9.0,1,1.0,3,3.0,107,107.0,23,23.0,23,23.0,23,0.0,17,17.0,19,19.0,19,19.0,0,0.0,1,1.0,0,0.0,0,0.0,0,0.0,0,1,0,1.000,0.0', 
b',42190,2017-11-03,7:00PM,87,IND,Indiana,Pacers,85,PHI,Philadelphia,76ers,Wells Fargo Center,87,IND,Indiana,Pacers,69,69.0,37,37.0,53.6,28,28.0,8,8.0,28.6,97,97.0,45,45.0,46.4,19,19.0,12,12.0,63.2,19,19.0,34,34.0,53,53.0,25,25.0,110,110.0,11,11.0,6,6.0,6,6.0,9,9.0,121,121.0,19,19.0,18,18.0,18,1.0,-11,-11.0,20,20.0,20,20.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,1,0.000,0.0', 
b',42211,2017-11-05,7:30PM,87,IND,Indiana,Pacers,83,NYK,New York,Knicks,Madison Square Garden,87,IND,Indiana,Pacers,54,54.0,25,25.0,46.3,25,25.0,12,12.0,48.0,79,79.0,37,37.0,46.8,17,17.0,15,15.0,88.2,7,7.0,33,33.0,41,41.0,24,24.0,101,101.0,12,12.0,6,6.0,2,2.0,7,7.0,108,108.0,17,17.0,17,17.0,17,0.0,-7,-7.0,21,21.0,21,21.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,1,0.000,0.0', 
b',42218,2017-11-07,7:00PM,110,NOP,New Orleans,Pelicans,87,IND,Indiana,Pacers,Bankers Life Fieldhouse,87,IND,Indiana,Pacers,69,69.0,35,35.0,50.7,24,24.0,9,9.0,37.5,93,93.0,44,44.0,47.3,18,18.0,15,15.0,83.3,17,17.0,31,31.0,49,49.0,19,19.0,112,112.0,10,10.0,4,4.0,4,4.0,5,5.0,117,117.0,22,22.0,22,22.0,22,0.0,-5,-5.0,17,17.0,17,17.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,1,0.000,0.0', 
b',42229,2017-11-08,7:00PM,87,IND,Indiana,Pacers,88,DET,Detroit,Pistons,Palace of Auburn Hills,87,IND,Indiana,Pacers,64,64.0,31,31.0,48.4,24,24.0,7,7.0,29.2,88,88.0,38,38.0,43.2,18,18.0,14,14.0,77.8,10,10.0,33,33.0,44,44.0,22,22.0,97,97.0,15,15.0,8,8.0,3,3.0,5,5.0,114,114.0,24,24.0,24,24.0,24,0.0,-17,-17.0,22,22.0,22,22.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,1,0.000,0.0', 
b',42240,2017-11-10,8:00PM,87,IND,Indiana,Pacers,89,CHI,Chicago,Bulls,KeyBank Center,87,IND,Indiana,Pacers,55,55.0,31,31.0,56.4,29,29.0,12,12.0,41.4,84,84.0,43,43.0,51.2,12,12.0,7,7.0,58.3,13,13.0,45,45.0,58,58.0,27,27.0,105,105.0,18,18.0,8,8.0,3,3.0,3,3.0,87,87.0,17,17.0,17,17.0,17,0.0,18,18.0,13,13.0,13,13.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,1,0,1.000,0.0', 
b',42259,2017-11-12,6:00PM,109,HOU,Houston,Rockets,87,IND,Indiana,Pacers,Bankers Life Fieldhouse,87,IND,Indiana,Pacers,61,61.0,29,29.0,47.5,22,22.0,8,8.0,36.4,83,83.0,37,37.0,44.6,21,21.0,13,13.0,61.9,17,17.0,34,34.0,51,51.0,18,18.0,95,95.0,13,13.0,5,5.0,7,7.0,6,6.0,118,118.0,16,16.0,15,15.0,15,1.0,-23,-23.0,20,20.0,20,20.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,1,0.000,0.0', 
b',42278,2017-11-15,8:00PM,87,IND,Indiana,Pacers,107,MEM,Memphis,Grizzlies,FedEx Forum,87,IND,Indiana,Pacers,61,61.0,31,31.0,50.8,24,24.0,12,12.0,50.0,85,85.0,43,43.0,50.6,20,20.0,18,18.0,90.0,10,10.0,33,33.0,43,43.0,29,29.0,116,116.0,12,12.0,6,6.0,6,6.0,10,10.0,113,113.0,18,18.0,17,17.0,17,1.0,3,3.0,19,19.0,19,19.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,1,0,1.000,0.0', 
b',42287,2017-11-17,7:00PM,88,DET,Detroit,Pistons,87,IND,Indiana,Pacers,Bankers Life Fieldhouse,87,IND,Indiana,Pacers,61,61.0,24,24.0,39.3,28,28.0,15,15.0,53.6,89,89.0,39,39.0,43.8,21,21.0,14,14.0,66.7,22,22.0,39,39.0,61,61.0,22,22.0,107,107.0,10,10.0,4,4.0,5,5.0,8,8.0,100,100.0,13,13.0,13,13.0,13,0.0,7,7.0,18,18.0,18,18.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,1,0,1.000,0.0', 
b',42304,2017-11-19,5:00PM,87,IND,Indiana,Pacers,92,MIA,Miami,Heat,American Airlines Arena,87,IND,Indiana,Pacers,62,62.0,40,40.0,64.5,23,23.0,11,11.0,47.8,85,85.0,51,51.0,60.0,8,8.0,7,7.0,87.5,10,10.0,34,34.0,44,44.0,33,33.0,120,120.0,12,12.0,9,9.0,7,7.0,2,2.0,95,95.0,14,14.0,14,14.0,14,0.0,25,25.0,11,11.0,11,11.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,1,0,1.000,0.0', 
b',42310,2017-11-20,7:00PM,87,IND,Indiana,Pacers,95,ORL,Orlando,Magic,Amway Center,87,IND,Indiana,Pacers,69,69.0,29,29.0,42.0,20,20.0,8,8.0,40.0,89,89.0,37,37.0,41.6,29,29.0,23,23.0,79.3,15,15.0,41,41.0,56,56.0,25,25.0,105,105.0,12,12.0,17,17.0,4,4.0,7,7.0,97,97.0,25,25.0,25,25.0,25,0.0,8,8.0,20,20.0,20,20.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,1,0,1.000,0.0', 
b',42340,2017-11-24,8:00PM,81,TOR,Toronto,Raptors,87,IND,Indiana,Pacers,Bankers Life Fieldhouse,87,IND,Indiana,Pacers,57,57.0,27,27.0,47.4,26,26.0,11,11.0,42.3,83,83.0,38,38.0,45.8,27,27.0,20,20.0,74.1,16,16.0,33,33.0,49,49.0,19,19.0,107,107.0,16,16.0,10,10.0,3,3.0,4,4.0,104,104.0,18,18.0,18,18.0,18,0.0,3,3.0,20,20.0,20,20.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,1,0,1.000,0.0', 
b',42351,2017-11-25,8:00PM,82,BOS,Boston,Celtics,87,IND,Indiana,Pacers,Bankers Life Fieldhouse,87,IND,Indiana,Pacers,55,55.0,31,31.0,56.4,23,23.0,7,7.0,30.4,78,78.0,38,38.0,48.7,15,15.0,15,15.0,100.0,13,13.0,29,29.0,42,42.0,20,20.0,98,98.0,19,19.0,9,9.0,2,2.0,4,4.0,108,108.0,14,14.0,14,14.0,14,0.0,-10,-10.0,13,13.0,13,13.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,1,0.000,0.0', 
b',42359,2017-11-27,7:00PM,95,ORL,Orlando,Magic,87,IND,Indiana,Pacers,Bankers Life Fieldhouse,87,IND,Indiana,Pacers,53,53.0,27,27.0,50.9,26,26.0,15,15.0,57.7,79,79.0,42,42.0,53.2,26,26.0,22,22.0,84.6,13,13.0,39,39.0,52,52.0,25,25.0,121,121.0,14,14.0,7,7.0,8,8.0,9,9.0,109,109.0,18,18.0,18,18.0,18,0.0,12,12.0,23,23.0,23,23.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,1,0,1.000,0.0', 
b',42378,2017-11-29,8:00PM,87,IND,Indiana,Pacers,109,HOU,Houston,Rockets,Toyota Center,87,IND,Indiana,Pacers,60,60.0,35,35.0,58.3,28,28.0,7,7.0,25.0,88,88.0,42,42.0,47.7,6,6.0,6,6.0,100.0,6,6.0,32,32.0,38,38.0,18,18.0,97,97.0,14,14.0,10,10.0,7,7.0,0,0.0,118,118.0,18,18.0,17,17.0,17,0.0,-21,-21.0,10,10.0,10,10.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,1,0.000,0.0', 
