#Date/Time of Update: 2018-02-14 1:48:43 PM,#Game ID,#Game Date,#Game Time,#Away Team ID,#Away Team Abbr.,#Away Team City,#Away Team Name,#Home Team ID,#Home Team Abbr.,#Home Team City,#Home Team Name,#Location,#Team ID,#Team Abbr.,#Team City,#Team Name,#Fg2PtAtt,#Fg2PtAttPerGame,#Fg2PtMade,#Fg2PtMadePerGame,#Fg2PtPct,#Fg3PtAtt,#Fg3PtAttPerGame,#Fg3PtMade,#Fg3PtMadePerGame,#Fg3PtPct,#FgAtt,#FgAttPerGame,#FgMade,#FgMadePerGame,#FgPct,#FtAtt,#FtAttPerGame,#FtMade,#FtMadePerGame,#FtPct,#OffReb,#OffRebPerGame,#DefReb,#DefRebPerGame,#Reb,#RebPerGame,#Ast,#AstPerGame,#Pts,#PtsPerGame,#Tov,#TovPerGame,#Stl,#StlPerGame,#Blk,#BlkPerGame,#BlkAgainst,#BlkAgainstPerGame,#PtsAgainst,#PtsAgainstPerGame,#Fouls,#FoulsPerGame,#FoulPers,#FoulPersPerGame,#FoulTech,#FoulTechPerGame,#PlusMinus,#PlusMinusPerGame,#FoulsDrawn,#FoulsDrawnPerGame,#FoulPersDrawn,#FoulPersDrawnPerGame,#FoulTechDrawn,#FoulTechDrawnPerGame,#FoulFlag1,#FoulFlag1PerGame,#FoulFlag1Drawn,#FoulFlag1DrawnPerGame,#FoulFlag2,#FoulFlag2PerGame,#FoulFlag2Drawn,#FoulFlag2DrawnPerGame,#Ejections,#Wins,#Losses,#WinPct,#GamesBack', 
b',42085,2017-10-19,10:30PM,102,LAC,Los Angeles,Clippers,105,LAL,Los Angeles,Lakers,Staples Center,102,LAC,Los Angeles,Clippers,74,74.0,30,30.0,40.5,33,33.0,12,12.0,36.4,107,107.0,42,42.0,39.2,13,13.0,12,12.0,92.3,26,26.0,43,43.0,69,69.0,23,23.0,108,108.0,14,14.0,12,12.0,3,3.0,7,7.0,92,92.0,20,20.0,20,20.0,20,0.0,16,16.0,15,15.0,15,15.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,1,0,1.000,0.0', 
b',42106,2017-10-21,10:30PM,104,PHX,Phoenix,Suns,102,LAC,Los Angeles,Clippers,Staples Center,102,LAC,Los Angeles,Clippers,62,62.0,36,36.0,58.1,26,26.0,12,12.0,46.2,88,88.0,48,48.0,54.6,30,30.0,22,22.0,73.3,15,15.0,42,42.0,57,57.0,26,26.0,130,130.0,12,12.0,12,12.0,2,2.0,3,3.0,88,88.0,32,32.0,32,32.0,32,0.0,42,42.0,27,27.0,27,27.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,1,0,1.000,0.0', 
b',42123,2017-10-24,10:30PM,98,UTA,Utah,Jazz,102,LAC,Los Angeles,Clippers,Staples Center,102,LAC,Los Angeles,Clippers,54,54.0,29,29.0,53.7,29,29.0,10,10.0,34.5,83,83.0,39,39.0,47.0,21,21.0,14,14.0,66.7,15,15.0,36,36.0,51,51.0,21,21.0,102,102.0,13,13.0,12,12.0,4,4.0,7,7.0,84,84.0,16,16.0,16,16.0,16,0.0,18,18.0,23,23.0,23,23.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,1,0,1.000,0.0', 
b',42137,2017-10-26,10:00PM,102,LAC,Los Angeles,Clippers,97,POR,Portland,Trail Blazers,Moda Center,102,LAC,Los Angeles,Clippers,49,49.0,27,27.0,55.1,28,28.0,9,9.0,32.1,77,77.0,36,36.0,46.8,36,36.0,23,23.0,63.9,23,23.0,34,34.0,57,57.0,11,11.0,104,104.0,11,11.0,4,4.0,5,5.0,4,4.0,103,103.0,19,19.0,19,19.0,19,0.0,1,1.0,26,26.0,26,26.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,1,0,1.000,0.0', 
b',42153,2017-10-28,10:30PM,88,DET,Detroit,Pistons,102,LAC,Los Angeles,Clippers,Staples Center,102,LAC,Los Angeles,Clippers,46,46.0,13,13.0,28.3,38,38.0,15,15.0,39.5,84,84.0,28,28.0,33.3,22,22.0,16,16.0,72.7,22,22.0,38,38.0,60,60.0,19,19.0,87,87.0,18,18.0,6,6.0,6,6.0,6,6.0,95,95.0,18,18.0,18,18.0,18,0.0,-8,-8.0,20,20.0,20,20.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,1,0.000,0.0', 
b',42169,2017-10-30,10:30PM,101,GSW,Golden State,Warriors,102,LAC,Los Angeles,Clippers,Staples Center,102,LAC,Los Angeles,Clippers,61,61.0,29,29.0,47.5,25,25.0,10,10.0,40.0,86,86.0,39,39.0,45.4,30,30.0,25,25.0,83.3,18,18.0,26,26.0,44,44.0,21,21.0,113,113.0,13,13.0,4,4.0,3,3.0,8,8.0,141,141.0,20,20.0,20,20.0,20,0.0,-28,-28.0,23,23.0,23,23.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,1,0.000,0.0', 
b',42185,2017-11-01,10:30PM,108,DAL,Dallas,Mavericks,102,LAC,Los Angeles,Clippers,Staples Center,102,LAC,Los Angeles,Clippers,49,49.0,28,28.0,57.1,28,28.0,13,13.0,46.4,77,77.0,41,41.0,53.2,29,29.0,24,24.0,82.8,12,12.0,44,44.0,56,56.0,27,27.0,119,119.0,16,16.0,9,9.0,5,5.0,4,4.0,98,98.0,23,23.0,20,20.0,20,2.0,21,21.0,22,22.0,22,22.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,1,0,1.000,0.0', 
b',42200,2017-11-04,3:30PM,107,MEM,Memphis,Grizzlies,102,LAC,Los Angeles,Clippers,Staples Center,102,LAC,Los Angeles,Clippers,57,57.0,34,34.0,59.6,26,26.0,4,4.0,15.4,83,83.0,38,38.0,45.8,31,31.0,24,24.0,77.4,22,22.0,29,29.0,51,51.0,18,18.0,104,104.0,13,13.0,7,7.0,7,7.0,7,7.0,113,113.0,22,22.0,22,22.0,22,0.0,-9,-9.0,28,28.0,28,28.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,1,0.000,0.0', 
b',42206,2017-11-05,3:30PM,92,MIA,Miami,Heat,102,LAC,Los Angeles,Clippers,Staples Center,102,LAC,Los Angeles,Clippers,56,56.0,25,25.0,44.6,31,31.0,9,9.0,29.0,87,87.0,34,34.0,39.1,30,30.0,24,24.0,80.0,24,24.0,35,35.0,60,60.0,16,16.0,101,101.0,15,15.0,11,11.0,4,4.0,6,6.0,104,104.0,24,24.0,22,22.0,22,1.0,-3,-3.0,26,26.0,26,26.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,1,0.000,0.0', 
b',42223,2017-11-07,8:30PM,102,LAC,Los Angeles,Clippers,106,SAS,San Antonio,Spurs,AT&T Center,102,LAC,Los Angeles,Clippers,52,52.0,31,31.0,59.6,30,30.0,11,11.0,36.7,82,82.0,42,42.0,51.2,17,17.0,12,12.0,70.6,17,17.0,31,31.0,48,48.0,20,20.0,107,107.0,17,17.0,6,6.0,4,4.0,3,3.0,120,120.0,19,19.0,19,19.0,19,0.0,-13,-13.0,21,21.0,21,21.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,1,0.000,0.0', 
b',42241,2017-11-10,9:00PM,102,LAC,Los Angeles,Clippers,96,OKL,Oklahoma City,Thunder,Chesapeake Energy Arena,102,LAC,Los Angeles,Clippers,54,54.0,27,27.0,50.0,30,30.0,12,12.0,40.0,84,84.0,39,39.0,46.4,30,30.0,21,21.0,70.0,23,23.0,30,30.0,55,55.0,13,13.0,111,111.0,18,18.0,4,4.0,2,2.0,7,7.0,120,120.0,32,32.0,30,30.0,30,1.0,-9,-9.0,29,29.0,29,29.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,1,0.000,0.0', 
