#Date/Time of Update: 2018-02-14 1:48:43 PM,#Game ID,#Game Date,#Game Time,#Away Team ID,#Away Team Abbr.,#Away Team City,#Away Team Name,#Home Team ID,#Home Team Abbr.,#Home Team City,#Home Team Name,#Location,#Team ID,#Team Abbr.,#Team City,#Team Name,#Fg2PtAtt,#Fg2PtAttPerGame,#Fg2PtMade,#Fg2PtMadePerGame,#Fg2PtPct,#Fg3PtAtt,#Fg3PtAttPerGame,#Fg3PtMade,#Fg3PtMadePerGame,#Fg3PtPct,#FgAtt,#FgAttPerGame,#FgMade,#FgMadePerGame,#FgPct,#FtAtt,#FtAttPerGame,#FtMade,#FtMadePerGame,#FtPct,#OffReb,#OffRebPerGame,#DefReb,#DefRebPerGame,#Reb,#RebPerGame,#Ast,#AstPerGame,#Pts,#PtsPerGame,#Tov,#TovPerGame,#Stl,#StlPerGame,#Blk,#BlkPerGame,#BlkAgainst,#BlkAgainstPerGame,#PtsAgainst,#PtsAgainstPerGame,#Fouls,#FoulsPerGame,#FoulPers,#FoulPersPerGame,#FoulTech,#FoulTechPerGame,#PlusMinus,#PlusMinusPerGame,#FoulsDrawn,#FoulsDrawnPerGame,#FoulPersDrawn,#FoulPersDrawnPerGame,#FoulTechDrawn,#FoulTechDrawnPerGame,#FoulFlag1,#FoulFlag1PerGame,#FoulFlag1Drawn,#FoulFlag1DrawnPerGame,#FoulFlag2,#FoulFlag2PerGame,#FoulFlag2Drawn,#FoulFlag2DrawnPerGame,#Ejections,#Wins,#Losses,#WinPct,#GamesBack', 
b',42085,2017-10-19,10:30PM,102,LAC,Los Angeles,Clippers,105,LAL,Los Angeles,Lakers,Staples Center,105,LAL,Los Angeles,Lakers,75,75.0,33,33.0,44.0,16,16.0,4,4.0,25.0,91,91.0,37,37.0,40.7,23,23.0,14,14.0,60.9,19,19.0,40,40.0,60,60.0,21,21.0,92,92.0,19,19.0,8,8.0,7,7.0,3,3.0,108,108.0,16,16.0,15,15.0,15,0.0,-16,-16.0,20,20.0,20,20.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,1,0.000,0.0', 
b',42095,2017-10-20,10:00PM,105,LAL,Los Angeles,Lakers,104,PHX,Phoenix,Suns,Talking Stick Resort Arena,105,LAL,Los Angeles,Lakers,68,68.0,36,36.0,52.9,26,26.0,12,12.0,46.2,94,94.0,48,48.0,51.1,33,33.0,24,24.0,72.7,11,11.0,40,40.0,51,51.0,22,22.0,132,132.0,19,19.0,8,8.0,3,3.0,9,9.0,130,130.0,32,32.0,31,31.0,31,1.0,2,2.0,25,25.0,25,25.0,1,1.0,0,0.0,0,0.0,0,0.0,0,0.0,0,1,0,1.000,0.0', 
b',42109,2017-10-22,9:30PM,110,NOP,New Orleans,Pelicans,105,LAL,Los Angeles,Lakers,Staples Center,105,LAL,Los Angeles,Lakers,63,63.0,35,35.0,55.6,27,27.0,9,9.0,33.3,90,90.0,44,44.0,48.9,20,20.0,15,15.0,75.0,12,12.0,30,30.0,43,43.0,27,27.0,112,112.0,17,17.0,7,7.0,6,6.0,5,5.0,119,119.0,24,24.0,24,24.0,24,0.0,-7,-7.0,20,20.0,20,20.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,1,0.000,0.0', 
b',43365,2017-10-25,10:30PM,94,WAS,Washington,Wizards,105,LAL,Los Angeles,Lakers,Staples Center,105,LAL,Los Angeles,Lakers,62,62.0,34,34.0,54.8,30,30.0,7,7.0,23.3,92,92.0,41,41.0,44.6,16,16.0,13,13.0,81.2,14,14.0,48,48.0,62,62.0,27,27.0,102,102.0,21,21.0,9,9.0,5,5.0,5,5.0,99,99.0,26,26.0,26,26.0,26,0.0,3,3.0,19,19.0,19,19.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,1,0,1.000,0.0', 
b',42144,2017-10-27,10:30PM,81,TOR,Toronto,Raptors,105,LAL,Los Angeles,Lakers,Staples Center,105,LAL,Los Angeles,Lakers,56,56.0,33,33.0,58.9,23,23.0,3,3.0,13.0,79,79.0,36,36.0,45.6,24,24.0,17,17.0,70.8,16,16.0,42,42.0,58,58.0,20,20.0,92,92.0,21,21.0,7,7.0,6,6.0,4,4.0,101,101.0,22,22.0,22,22.0,22,0.0,-9,-9.0,24,24.0,24,24.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,1,0.000,0.0', 
b',42151,2017-10-28,9:00PM,105,LAL,Los Angeles,Lakers,98,UTA,Utah,Jazz,Vivint Smart Home Arena,105,LAL,Los Angeles,Lakers,59,59.0,26,26.0,44.1,22,22.0,5,5.0,22.7,81,81.0,31,31.0,38.3,20,20.0,14,14.0,70.0,21,21.0,25,25.0,46,46.0,17,17.0,81,81.0,16,16.0,12,12.0,4,4.0,5,5.0,96,96.0,20,20.0,20,20.0,20,0.0,-15,-15.0,20,20.0,20,20.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,1,0.000,0.0', 
b',42173,2017-10-31,10:30PM,88,DET,Detroit,Pistons,105,LAL,Los Angeles,Lakers,Staples Center,105,LAL,Los Angeles,Lakers,65,65.0,33,33.0,50.8,26,26.0,12,12.0,46.2,91,91.0,45,45.0,49.4,14,14.0,11,11.0,78.6,15,15.0,42,42.0,57,57.0,30,30.0,113,113.0,14,14.0,9,9.0,5,5.0,3,3.0,93,93.0,14,14.0,14,14.0,14,0.0,20,20.0,11,11.0,11,11.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,1,0,1.000,0.0', 
b',42187,2017-11-02,10:30PM,105,LAL,Los Angeles,Lakers,97,POR,Portland,Trail Blazers,Moda Center,105,LAL,Los Angeles,Lakers,61,61.0,39,39.0,63.9,18,18.0,4,4.0,22.2,79,79.0,43,43.0,54.4,27,27.0,20,20.0,74.1,10,10.0,33,33.0,43,43.0,16,16.0,110,110.0,11,11.0,8,8.0,8,8.0,4,4.0,113,113.0,20,20.0,20,20.0,20,0.0,-3,-3.0,21,21.0,21,21.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,1,0.000,0.0', 
b',42199,2017-11-03,10:30PM,84,BRO,Brooklyn,Nets,105,LAL,Los Angeles,Lakers,Staples Center,105,LAL,Los Angeles,Lakers,73,73.0,39,39.0,53.4,21,21.0,9,9.0,42.9,94,94.0,48,48.0,51.1,27,27.0,19,19.0,70.4,14,14.0,50,50.0,64,64.0,26,26.0,124,124.0,16,16.0,10,10.0,7,7.0,5,5.0,112,112.0,29,29.0,29,29.0,29,0.0,12,12.0,22,22.0,22,22.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,1,0,1.000,0.0', 
b',42214,2017-11-05,9:30PM,107,MEM,Memphis,Grizzlies,105,LAL,Los Angeles,Lakers,Staples Center,105,LAL,Los Angeles,Lakers,58,58.0,31,31.0,53.4,27,27.0,9,9.0,33.3,85,85.0,40,40.0,47.1,23,23.0,18,18.0,78.3,15,15.0,40,40.0,55,55.0,25,25.0,107,107.0,16,16.0,5,5.0,4,4.0,7,7.0,102,102.0,17,17.0,16,16.0,16,0.0,5,5.0,22,22.0,22,22.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,1,0,1.000,0.0', 
