#Date/Time of Update: 2018-02-14 1:48:43 PM,#Game ID,#Game Date,#Game Time,#Away Team ID,#Away Team Abbr.,#Away Team City,#Away Team Name,#Home Team ID,#Home Team Abbr.,#Home Team City,#Home Team Name,#Location,#Team ID,#Team Abbr.,#Team City,#Team Name,#Fg2PtAtt,#Fg2PtAttPerGame,#Fg2PtMade,#Fg2PtMadePerGame,#Fg2PtPct,#Fg3PtAtt,#Fg3PtAttPerGame,#Fg3PtMade,#Fg3PtMadePerGame,#Fg3PtPct,#FgAtt,#FgAttPerGame,#FgMade,#FgMadePerGame,#FgPct,#FtAtt,#FtAttPerGame,#FtMade,#FtMadePerGame,#FtPct,#OffReb,#OffRebPerGame,#DefReb,#DefRebPerGame,#Reb,#RebPerGame,#Ast,#AstPerGame,#Pts,#PtsPerGame,#Tov,#TovPerGame,#Stl,#StlPerGame,#Blk,#BlkPerGame,#BlkAgainst,#BlkAgainstPerGame,#PtsAgainst,#PtsAgainstPerGame,#Fouls,#FoulsPerGame,#FoulPers,#FoulPersPerGame,#FoulTech,#FoulTechPerGame,#PlusMinus,#PlusMinusPerGame,#FoulsDrawn,#FoulsDrawnPerGame,#FoulPersDrawn,#FoulPersDrawnPerGame,#FoulTechDrawn,#FoulTechDrawnPerGame,#FoulFlag1,#FoulFlag1PerGame,#FoulFlag1Drawn,#FoulFlag1DrawnPerGame,#FoulFlag2,#FoulFlag2PerGame,#FoulFlag2Drawn,#FoulFlag2DrawnPerGame,#Ejections,#Wins,#Losses,#WinPct,#GamesBack', 
b',42077,2017-10-18,8:00PM,110,NOP,New Orleans,Pelicans,107,MEM,Memphis,Grizzlies,FedEx Forum,107,MEM,Memphis,Grizzlies,63,63.0,30,30.0,47.6,29,29.0,9,9.0,31.0,92,92.0,39,39.0,42.4,28,28.0,16,16.0,57.1,27,27.0,32,32.0,59,59.0,19,19.0,103,103.0,11,11.0,9,9.0,8,8.0,12,12.0,91,91.0,29,29.0,29,29.0,29,0.0,12,12.0,31,31.0,31,31.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,1,0,1.000,0.0', 
b',42098,2017-10-21,8:00PM,101,GSW,Golden State,Warriors,107,MEM,Memphis,Grizzlies,FedEx Forum,107,MEM,Memphis,Grizzlies,50,50.0,26,26.0,52.0,27,27.0,10,10.0,37.0,77,77.0,36,36.0,46.8,37,37.0,29,29.0,78.4,12,12.0,37,37.0,49,49.0,20,20.0,111,111.0,14,14.0,8,8.0,4,4.0,7,7.0,101,101.0,25,25.0,25,25.0,25,0.0,10,10.0,28,28.0,28,28.0,1,1.0,0,0.0,0,0.0,0,0.0,0,0.0,0,1,0,1.000,0.0', 
b',42113,2017-10-23,8:00PM,107,MEM,Memphis,Grizzlies,109,HOU,Houston,Rockets,Toyota Center,107,MEM,Memphis,Grizzlies,49,49.0,23,23.0,46.9,19,19.0,6,6.0,31.6,68,68.0,29,29.0,42.6,37,37.0,34,34.0,91.9,9,9.0,38,38.0,47,47.0,16,16.0,98,98.0,12,12.0,5,5.0,2,2.0,2,2.0,90,90.0,22,22.0,21,21.0,21,1.0,8,8.0,31,31.0,31,31.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,1,0,1.000,0.0', 
b',42130,2017-10-25,8:30PM,107,MEM,Memphis,Grizzlies,108,DAL,Dallas,Mavericks,American Airlines Center,107,MEM,Memphis,Grizzlies,41,41.0,21,21.0,51.2,31,31.0,12,12.0,38.7,72,72.0,33,33.0,45.8,24,24.0,16,16.0,66.7,13,13.0,34,34.0,48,48.0,14,14.0,94,94.0,17,17.0,7,7.0,2,2.0,4,4.0,103,103.0,23,23.0,22,22.0,22,0.0,-9,-9.0,20,20.0,20,20.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,1,0.000,0.0', 
b',42135,2017-10-26,8:00PM,108,DAL,Dallas,Mavericks,107,MEM,Memphis,Grizzlies,FedEx Forum,107,MEM,Memphis,Grizzlies,39,39.0,20,20.0,51.3,34,34.0,10,10.0,29.4,73,73.0,30,30.0,41.1,30,30.0,26,26.0,86.7,11,11.0,40,40.0,51,51.0,18,18.0,96,96.0,18,18.0,7,7.0,6,6.0,3,3.0,91,91.0,23,23.0,23,23.0,23,0.0,5,5.0,22,22.0,22,22.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,1,0,1.000,0.0', 
b',43367,2017-10-28,8:00PM,109,HOU,Houston,Rockets,107,MEM,Memphis,Grizzlies,FedEx Forum,107,MEM,Memphis,Grizzlies,52,52.0,26,26.0,50.0,33,33.0,14,14.0,42.4,85,85.0,40,40.0,47.1,12,12.0,9,9.0,75.0,10,10.0,39,39.0,49,49.0,26,26.0,103,103.0,9,9.0,10,10.0,6,6.0,3,3.0,89,89.0,21,21.0,20,20.0,20,1.0,14,14.0,23,23.0,23,23.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,1,0,1.000,0.0', 
b',42164,2017-10-30,8:00PM,93,CHA,Charlotte,Hornets,107,MEM,Memphis,Grizzlies,FedEx Forum,107,MEM,Memphis,Grizzlies,58,58.0,24,24.0,41.4,35,35.0,8,8.0,22.9,93,93.0,32,32.0,34.4,33,33.0,27,27.0,81.8,20,20.0,39,39.0,59,59.0,17,17.0,99,99.0,7,7.0,7,7.0,8,8.0,7,7.0,104,104.0,23,23.0,22,22.0,22,2.0,-5,-5.0,22,22.0,22,22.0,1,1.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,1,0.000,0.0', 
b',42182,2017-11-01,8:00PM,95,ORL,Orlando,Magic,107,MEM,Memphis,Grizzlies,FedEx Forum,107,MEM,Memphis,Grizzlies,52,52.0,29,29.0,55.8,30,30.0,10,10.0,33.3,82,82.0,39,39.0,47.6,16,16.0,11,11.0,68.8,12,12.0,30,30.0,42,42.0,21,21.0,99,99.0,13,13.0,12,12.0,3,3.0,8,8.0,101,101.0,17,17.0,16,16.0,16,2.0,-2,-2.0,22,22.0,22,22.0,1,1.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,1,0.000,0.0', 
b',42200,2017-11-04,3:30PM,107,MEM,Memphis,Grizzlies,102,LAC,Los Angeles,Clippers,Staples Center,107,MEM,Memphis,Grizzlies,53,53.0,27,27.0,50.9,31,31.0,13,13.0,41.9,84,84.0,40,40.0,47.6,24,24.0,20,20.0,83.3,19,19.0,30,30.0,49,49.0,21,21.0,113,113.0,11,11.0,8,8.0,7,7.0,7,7.0,104,104.0,28,28.0,28,28.0,28,0.0,9,9.0,22,22.0,22,22.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,1,0,1.000,0.0', 
b',42214,2017-11-05,9:30PM,107,MEM,Memphis,Grizzlies,105,LAL,Los Angeles,Lakers,Staples Center,107,MEM,Memphis,Grizzlies,50,50.0,29,29.0,58.0,37,37.0,11,11.0,29.7,87,87.0,40,40.0,46.0,14,14.0,11,11.0,78.6,10,10.0,35,35.0,45,45.0,23,23.0,102,102.0,12,12.0,6,6.0,7,7.0,4,4.0,107,107.0,22,22.0,22,22.0,22,0.0,-5,-5.0,16,16.0,16,16.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,1,0.000,0.0', 
