#Date/Time of Update: 2018-02-14 1:48:43 PM,#Game ID,#Game Date,#Game Time,#Away Team ID,#Away Team Abbr.,#Away Team City,#Away Team Name,#Home Team ID,#Home Team Abbr.,#Home Team City,#Home Team Name,#Location,#Team ID,#Team Abbr.,#Team City,#Team Name,#Fg2PtAtt,#Fg2PtAttPerGame,#Fg2PtMade,#Fg2PtMadePerGame,#Fg2PtPct,#Fg3PtAtt,#Fg3PtAttPerGame,#Fg3PtMade,#Fg3PtMadePerGame,#Fg3PtPct,#FgAtt,#FgAttPerGame,#FgMade,#FgMadePerGame,#FgPct,#FtAtt,#FtAttPerGame,#FtMade,#FtMadePerGame,#FtPct,#OffReb,#OffRebPerGame,#DefReb,#DefRebPerGame,#Reb,#RebPerGame,#Ast,#AstPerGame,#Pts,#PtsPerGame,#Tov,#TovPerGame,#Stl,#StlPerGame,#Blk,#BlkPerGame,#BlkAgainst,#BlkAgainstPerGame,#PtsAgainst,#PtsAgainstPerGame,#Fouls,#FoulsPerGame,#FoulPers,#FoulPersPerGame,#FoulTech,#FoulTechPerGame,#PlusMinus,#PlusMinusPerGame,#FoulsDrawn,#FoulsDrawnPerGame,#FoulPersDrawn,#FoulPersDrawnPerGame,#FoulTechDrawn,#FoulTechDrawnPerGame,#FoulFlag1,#FoulFlag1PerGame,#FoulFlag1Drawn,#FoulFlag1DrawnPerGame,#FoulFlag2,#FoulFlag2PerGame,#FoulFlag2Drawn,#FoulFlag2DrawnPerGame,#Ejections,#Wins,#Losses,#WinPct,#GamesBack', 
b',42075,2017-10-18,7:00PM,92,MIA,Miami,Heat,95,ORL,Orlando,Magic,Amway Center,92,MIA,Miami,Heat,72,72.0,36,36.0,50.0,30,30.0,8,8.0,26.7,102,102.0,44,44.0,43.1,17,17.0,13,13.0,76.5,20,20.0,35,35.0,56,56.0,27,27.0,109,109.0,13,13.0,6,6.0,4,4.0,10,10.0,116,116.0,20,20.0,20,20.0,20,0.0,-7,-7.0,18,18.0,18,18.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,1,0.000,0.0', 
b',42097,2017-10-21,8:00PM,87,IND,Indiana,Pacers,92,MIA,Miami,Heat,American Airlines Arena,92,MIA,Miami,Heat,53,53.0,31,31.0,58.5,34,34.0,14,14.0,41.2,87,87.0,45,45.0,51.7,14,14.0,8,8.0,57.1,12,12.0,39,39.0,53,53.0,24,24.0,112,112.0,14,14.0,6,6.0,11,11.0,4,4.0,108,108.0,20,20.0,19,19.0,19,1.0,4,4.0,18,18.0,18,18.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,1,0,1.000,0.0', 
b',42111,2017-10-23,7:30PM,91,ATL,Atlanta,Hawks,92,MIA,Miami,Heat,American Airlines Arena,92,MIA,Miami,Heat,48,48.0,25,25.0,52.1,37,37.0,14,14.0,37.8,85,85.0,39,39.0,45.9,18,18.0,12,12.0,66.7,16,16.0,33,33.0,49,49.0,21,21.0,104,104.0,19,19.0,12,12.0,6,6.0,1,1.0,93,93.0,21,21.0,19,19.0,19,2.0,11,11.0,17,17.0,17,17.0,0,0.0,0,0.0,1,1.0,0,0.0,0,0.0,0,1,0,1.000,0.0', 
b',42129,2017-10-25,8:00PM,106,SAS,San Antonio,Spurs,92,MIA,Miami,Heat,American Airlines Arena,92,MIA,Miami,Heat,54,54.0,28,28.0,51.8,26,26.0,9,9.0,34.6,80,80.0,37,37.0,46.2,18,18.0,17,17.0,94.4,5,5.0,28,28.0,34,34.0,19,19.0,100,100.0,9,9.0,6,6.0,2,2.0,3,3.0,117,117.0,25,25.0,25,25.0,25,0.0,-17,-17.0,20,20.0,20,20.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,1,0.000,0.0', 
b',42148,2017-10-28,8:00PM,82,BOS,Boston,Celtics,92,MIA,Miami,Heat,American Airlines Arena,92,MIA,Miami,Heat,48,48.0,27,27.0,56.2,31,31.0,7,7.0,22.6,79,79.0,34,34.0,43.0,16,16.0,15,15.0,93.8,14,14.0,35,35.0,49,49.0,17,17.0,90,90.0,19,19.0,6,6.0,9,9.0,5,5.0,96,96.0,23,23.0,23,23.0,23,0.0,-6,-6.0,14,14.0,14,14.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,1,0.000,0.0', 
b',43369,2017-10-30,7:00PM,100,MIN,Minnesota,Timberwolves,92,MIA,Miami,Heat,American Airlines Arena,92,MIA,Miami,Heat,66,66.0,42,42.0,63.6,27,27.0,7,7.0,25.9,93,93.0,49,49.0,52.7,25,25.0,17,17.0,68.0,20,20.0,40,40.0,61,61.0,17,17.0,122,122.0,24,24.0,8,8.0,5,5.0,4,4.0,125,125.0,28,28.0,28,28.0,28,0.0,-3,-3.0,25,25.0,25,25.0,0,0.0,0,0.0,1,1.0,0,0.0,0,0.0,0,0,1,0.000,0.0', 
b',42179,2017-11-01,7:30PM,89,CHI,Chicago,Bulls,92,MIA,Miami,Heat,American Airlines Arena,92,MIA,Miami,Heat,52,52.0,22,22.0,42.3,31,31.0,12,12.0,38.7,83,83.0,34,34.0,41.0,19,19.0,17,17.0,89.5,4,4.0,46,46.0,50,50.0,21,21.0,97,97.0,11,11.0,8,8.0,0,0.0,6,6.0,91,91.0,19,19.0,19,19.0,19,0.0,6,6.0,19,19.0,19,19.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,1,0,1.000,0.0', 
b',42197,2017-11-03,9:00PM,92,MIA,Miami,Heat,99,DEN,Denver,Nuggets,Pepsi Center,92,MIA,Miami,Heat,39,39.0,21,21.0,53.8,38,38.0,15,15.0,39.5,77,77.0,36,36.0,46.8,11,11.0,7,7.0,63.6,14,14.0,33,33.0,48,48.0,23,23.0,94,94.0,23,23.0,9,9.0,6,6.0,6,6.0,95,95.0,24,24.0,24,24.0,24,0.0,-1,-1.0,16,16.0,16,16.0,1,1.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,1,0.000,0.0', 
b',42206,2017-11-05,3:30PM,92,MIA,Miami,Heat,102,LAC,Los Angeles,Clippers,Staples Center,92,MIA,Miami,Heat,48,48.0,23,23.0,47.9,36,36.0,14,14.0,38.9,84,84.0,37,37.0,44.0,19,19.0,16,16.0,84.2,15,15.0,34,34.0,49,49.0,23,23.0,104,104.0,16,16.0,12,12.0,6,6.0,4,4.0,101,101.0,26,26.0,26,26.0,26,0.0,3,3.0,22,22.0,22,22.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,1,0,1.000,0.0', 
b',42217,2017-11-06,10:30PM,92,MIA,Miami,Heat,101,GSW,Golden State,Warriors,Oracle Arena,92,MIA,Miami,Heat,57,57.0,22,22.0,38.6,26,26.0,8,8.0,30.8,83,83.0,30,30.0,36.1,17,17.0,12,12.0,70.6,15,15.0,40,40.0,55,55.0,19,19.0,80,80.0,20,20.0,10,10.0,6,6.0,10,10.0,97,97.0,20,20.0,20,20.0,20,0.0,-17,-17.0,21,21.0,21,21.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,1,0.000,0.0', 
b',42231,2017-11-08,9:00PM,92,MIA,Miami,Heat,104,PHX,Phoenix,Suns,Talking Stick Resort Arena,92,MIA,Miami,Heat,51,51.0,31,31.0,60.8,30,30.0,12,12.0,40.0,81,81.0,43,43.0,53.1,35,35.0,28,28.0,80.0,14,14.0,45,45.0,60,60.0,21,21.0,126,126.0,14,14.0,5,5.0,4,4.0,2,2.0,115,115.0,25,25.0,25,25.0,25,0.0,11,11.0,29,29.0,29,29.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,1,0,1.000,0.0', 
b',42242,2017-11-10,9:00PM,92,MIA,Miami,Heat,98,UTA,Utah,Jazz,Vivint Smart Home Arena,92,MIA,Miami,Heat,52,52.0,20,20.0,38.5,25,25.0,10,10.0,40.0,77,77.0,30,30.0,39.0,18,18.0,14,14.0,77.8,13,13.0,43,43.0,57,57.0,10,10.0,84,84.0,20,20.0,9,9.0,6,6.0,7,7.0,74,74.0,20,20.0,20,20.0,20,0.0,10,10.0,20,20.0,20,20.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,1,0,1.000,0.0', 
b',42258,2017-11-12,4:00PM,92,MIA,Miami,Heat,88,DET,Detroit,Pistons,Palace of Auburn Hills,92,MIA,Miami,Heat,53,53.0,26,26.0,49.1,37,37.0,13,13.0,35.1,90,90.0,39,39.0,43.3,16,16.0,12,12.0,75.0,11,11.0,35,35.0,46,46.0,25,25.0,103,103.0,9,9.0,8,8.0,5,5.0,5,5.0,112,112.0,22,22.0,22,22.0,22,0.0,-9,-9.0,17,17.0,17,17.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,1,0.000,0.0', 
b',42274,2017-11-15,7:30PM,94,WAS,Washington,Wizards,92,MIA,Miami,Heat,American Airlines Arena,92,MIA,Miami,Heat,48,48.0,19,19.0,39.6,30,30.0,13,13.0,43.3,78,78.0,32,32.0,41.0,19,19.0,16,16.0,84.2,16,16.0,31,31.0,47,47.0,15,15.0,93,93.0,17,17.0,3,3.0,3,3.0,2,2.0,102,102.0,21,21.0,20,20.0,20,1.0,-9,-9.0,19,19.0,19,19.0,1,1.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,1,0.000,0.0', 
b',42286,2017-11-17,7:00PM,92,MIA,Miami,Heat,94,WAS,Washington,Wizards,Capital One Arena,92,MIA,Miami,Heat,48,48.0,24,24.0,50.0,35,35.0,10,10.0,28.6,83,83.0,34,34.0,41.0,18,18.0,13,13.0,72.2,12,12.0,43,43.0,55,55.0,21,21.0,91,91.0,15,15.0,6,6.0,7,7.0,4,4.0,88,88.0,19,19.0,19,19.0,19,0.0,3,3.0,17,17.0,17,17.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,1,0,1.000,0.0', 
b',42304,2017-11-19,5:00PM,87,IND,Indiana,Pacers,92,MIA,Miami,Heat,American Airlines Arena,92,MIA,Miami,Heat,46,46.0,22,22.0,47.8,37,37.0,13,13.0,35.1,83,83.0,35,35.0,42.2,14,14.0,12,12.0,85.7,16,16.0,25,25.0,41,41.0,21,21.0,95,95.0,15,15.0,8,8.0,2,2.0,7,7.0,120,120.0,12,12.0,11,11.0,11,1.0,-25,-25.0,14,14.0,14,14.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,1,0.000,0.0', 
b',42325,2017-11-22,7:30PM,82,BOS,Boston,Celtics,92,MIA,Miami,Heat,American Airlines Arena,92,MIA,Miami,Heat,53,53.0,30,30.0,56.6,28,28.0,10,10.0,35.7,81,81.0,40,40.0,49.4,16,16.0,14,14.0,87.5,10,10.0,42,42.0,52,52.0,20,20.0,104,104.0,16,16.0,3,3.0,4,4.0,4,4.0,98,98.0,23,23.0,22,22.0,22,1.0,6,6.0,19,19.0,19,19.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,1,0,1.000,0.0', 
b',42339,2017-11-24,8:00PM,92,MIA,Miami,Heat,100,MIN,Minnesota,Timberwolves,Target Center,92,MIA,Miami,Heat,41,41.0,19,19.0,46.3,39,39.0,19,19.0,48.7,80,80.0,38,38.0,47.5,16,16.0,14,14.0,87.5,12,12.0,35,35.0,47,47.0,29,29.0,109,109.0,13,13.0,4,4.0,4,4.0,3,3.0,97,97.0,24,24.0,24,24.0,24,0.0,12,12.0,16,16.0,16,16.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,1,0,1.000,0.0', 
b',42356,2017-11-26,3:30PM,92,MIA,Miami,Heat,89,CHI,Chicago,Bulls,KeyBank Center,92,MIA,Miami,Heat,43,43.0,21,21.0,48.8,32,32.0,13,13.0,40.6,75,75.0,34,34.0,45.3,23,23.0,19,19.0,82.6,4,4.0,44,44.0,48,48.0,19,19.0,100,100.0,12,12.0,9,9.0,5,5.0,2,2.0,93,93.0,14,14.0,14,14.0,14,0.0,7,7.0,18,18.0,18,18.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,1,0,1.000,0.0', 
b',42367,2017-11-28,7:00PM,92,MIA,Miami,Heat,86,CLE,Cleveland,Cavaliers,Quicken Loans Arena,92,MIA,Miami,Heat,53,53.0,27,27.0,50.9,31,31.0,10,10.0,32.3,84,84.0,37,37.0,44.0,20,20.0,13,13.0,65.0,12,12.0,36,36.0,48,48.0,24,24.0,97,97.0,15,15.0,7,7.0,5,5.0,2,2.0,108,108.0,19,19.0,19,19.0,19,0.0,-11,-11.0,17,17.0,17,17.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,1,0.000,0.0', 
b',42375,2017-11-29,7:30PM,92,MIA,Miami,Heat,83,NYK,New York,Knicks,Madison Square Garden,92,MIA,Miami,Heat,46,46.0,22,22.0,47.8,38,38.0,10,10.0,26.3,84,84.0,32,32.0,38.1,20,20.0,12,12.0,60.0,15,15.0,23,23.0,38,38.0,21,21.0,86,86.0,15,15.0,13,13.0,4,4.0,5,5.0,115,115.0,21,21.0,20,20.0,20,1.0,-29,-29.0,20,20.0,20,20.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,1,0.000,0.0', 
b',42391,2017-12-01,8:00PM,93,CHA,Charlotte,Hornets,92,MIA,Miami,Heat,American Airlines Arena,92,MIA,Miami,Heat,45,45.0,25,25.0,55.6,35,35.0,14,14.0,40.0,80,80.0,39,39.0,48.8,19,19.0,13,13.0,68.4,16,16.0,32,32.0,48,48.0,25,25.0,105,105.0,21,21.0,8,8.0,4,4.0,5,5.0,100,100.0,25,25.0,24,24.0,24,1.0,5,5.0,24,24.0,24,24.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,1,0,1.000,0.0', 
b',42406,2017-12-03,7:00PM,101,GSW,Golden State,Warriors,92,MIA,Miami,Heat,American Airlines Arena,92,MIA,Miami,Heat,44,44.0,19,19.0,43.2,37,37.0,14,14.0,37.8,81,81.0,33,33.0,40.7,17,17.0,15,15.0,88.2,11,11.0,26,26.0,37,37.0,17,17.0,95,95.0,11,11.0,5,5.0,4,4.0,4,4.0,123,123.0,15,15.0,15,15.0,15,0.0,-28,-28.0,14,14.0,14,14.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,1,0.000,0.0', 
b',42430,2017-12-06,8:30PM,92,MIA,Miami,Heat,106,SAS,San Antonio,Spurs,AT&T Center,92,MIA,Miami,Heat,38,38.0,21,21.0,55.3,34,34.0,18,18.0,52.9,72,72.0,39,39.0,54.2,12,12.0,9,9.0,75.0,11,11.0,26,26.0,37,37.0,28,28.0,105,105.0,18,18.0,7,7.0,4,4.0,7,7.0,117,117.0,17,17.0,17,17.0,17,0.0,-12,-12.0,14,14.0,14,14.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,1,0.000,0.0', 
b',42445,2017-12-09,6:00PM,92,MIA,Miami,Heat,84,BRO,Brooklyn,Nets,Barclays Center,92,MIA,Miami,Heat,63,63.0,34,34.0,54.0,27,27.0,8,8.0,29.6,90,90.0,42,42.0,46.7,14,14.0,9,9.0,64.3,16,16.0,39,39.0,55,55.0,15,15.0,101,101.0,5,5.0,6,6.0,8,8.0,3,3.0,89,89.0,18,18.0,17,17.0,17,1.0,12,12.0,17,17.0,17,17.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,1,0,1.000,0.0', 
b',42461,2017-12-11,8:00PM,92,MIA,Miami,Heat,107,MEM,Memphis,Grizzlies,FedEx Forum,92,MIA,Miami,Heat,39,39.0,23,23.0,59.0,27,27.0,14,14.0,51.8,66,66.0,37,37.0,56.1,24,24.0,19,19.0,79.2,7,7.0,35,35.0,42,42.0,24,24.0,107,107.0,13,13.0,8,8.0,8,8.0,1,1.0,82,82.0,23,23.0,22,22.0,22,0.0,25,25.0,22,22.0,22,22.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,1,0,1.000,0.0', 
b',42477,2017-12-13,7:30PM,97,POR,Portland,Trail Blazers,92,MIA,Miami,Heat,American Airlines Arena,92,MIA,Miami,Heat,42,42.0,21,21.0,50.0,30,30.0,13,13.0,43.3,72,72.0,34,34.0,47.2,23,23.0,14,14.0,60.9,19,19.0,29,29.0,48,48.0,19,19.0,95,95.0,15,15.0,6,6.0,1,1.0,2,2.0,102,102.0,21,21.0,21,21.0,21,0.0,-7,-7.0,21,21.0,21,21.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,1,0.000,0.0', 
b',42487,2017-12-15,7:00PM,92,MIA,Miami,Heat,93,CHA,Charlotte,Hornets,Spectrum Center,92,MIA,Miami,Heat,47,47.0,28,28.0,59.6,31,31.0,11,11.0,35.5,78,78.0,39,39.0,50.0,17,17.0,15,15.0,88.2,9,9.0,36,36.0,46,46.0,25,25.0,104,104.0,16,16.0,10,10.0,8,8.0,1,1.0,98,98.0,23,23.0,23,23.0,23,0.0,6,6.0,13,13.0,13,13.0,1,1.0,0,0.0,0,0.0,0,0.0,0,0.0,0,1,0,1.000,0.0', 
b',42501,2017-12-16,8:00PM,102,LAC,Los Angeles,Clippers,92,MIA,Miami,Heat,American Airlines Arena,92,MIA,Miami,Heat,47,47.0,19,19.0,40.4,35,35.0,12,12.0,34.3,82,82.0,31,31.0,37.8,21,21.0,16,16.0,76.2,17,17.0,29,29.0,46,46.0,22,22.0,90,90.0,8,8.0,10,10.0,8,8.0,5,5.0,85,85.0,15,15.0,15,15.0,15,0.0,5,5.0,22,22.0,22,22.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,1,0,1.000,0.0', 
