#Date/Time of Update: 2018-02-14 1:48:43 PM,#Game ID,#Game Date,#Game Time,#Away Team ID,#Away Team Abbr.,#Away Team City,#Away Team Name,#Home Team ID,#Home Team Abbr.,#Home Team City,#Home Team Name,#Location,#Team ID,#Team Abbr.,#Team City,#Team Name,#Fg2PtAtt,#Fg2PtAttPerGame,#Fg2PtMade,#Fg2PtMadePerGame,#Fg2PtPct,#Fg3PtAtt,#Fg3PtAttPerGame,#Fg3PtMade,#Fg3PtMadePerGame,#Fg3PtPct,#FgAtt,#FgAttPerGame,#FgMade,#FgMadePerGame,#FgPct,#FtAtt,#FtAttPerGame,#FtMade,#FtMadePerGame,#FtPct,#OffReb,#OffRebPerGame,#DefReb,#DefRebPerGame,#Reb,#RebPerGame,#Ast,#AstPerGame,#Pts,#PtsPerGame,#Tov,#TovPerGame,#Stl,#StlPerGame,#Blk,#BlkPerGame,#BlkAgainst,#BlkAgainstPerGame,#PtsAgainst,#PtsAgainstPerGame,#Fouls,#FoulsPerGame,#FoulPers,#FoulPersPerGame,#FoulTech,#FoulTechPerGame,#PlusMinus,#PlusMinusPerGame,#FoulsDrawn,#FoulsDrawnPerGame,#FoulPersDrawn,#FoulPersDrawnPerGame,#FoulTechDrawn,#FoulTechDrawnPerGame,#FoulFlag1,#FoulFlag1PerGame,#FoulFlag1Drawn,#FoulFlag1DrawnPerGame,#FoulFlag2,#FoulFlag2PerGame,#FoulFlag2Drawn,#FoulFlag2DrawnPerGame,#Ejections,#Wins,#Losses,#WinPct,#GamesBack', 
b',42076,2017-10-18,7:30PM,90,MIL,Milwaukee,Bucks,82,BOS,Boston,Celtics,TD Garden,90,MIL,Milwaukee,Bucks,55,55.0,31,31.0,56.4,21,21.0,7,7.0,33.3,76,76.0,38,38.0,50.0,30,30.0,25,25.0,83.3,10,10.0,41,41.0,51,51.0,19,19.0,108,108.0,15,15.0,6,6.0,4,4.0,2,2.0,100,100.0,23,23.0,22,22.0,22,0.0,8,8.0,27,27.0,27,27.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,1,0,1.000,0.0', 
b',42087,2017-10-20,7:00PM,86,CLE,Cleveland,Cavaliers,90,MIL,Milwaukee,Bucks,BMO Harris Bradley Center,90,MIL,Milwaukee,Bucks,47,47.0,27,27.0,57.4,35,35.0,11,11.0,31.4,82,82.0,38,38.0,46.3,12,12.0,10,10.0,83.3,11,11.0,24,24.0,35,35.0,23,23.0,97,97.0,14,14.0,8,8.0,2,2.0,3,3.0,116,116.0,18,18.0,17,17.0,17,0.0,-19,-19.0,10,10.0,10,10.0,0,0.0,1,1.0,0,0.0,0,0.0,0,0.0,0,0,1,0.000,0.0', 
b',42103,2017-10-21,8:30PM,97,POR,Portland,Trail Blazers,90,MIL,Milwaukee,Bucks,BMO Harris Bradley Center,90,MIL,Milwaukee,Bucks,62,62.0,35,35.0,56.4,18,18.0,7,7.0,38.9,80,80.0,42,42.0,52.5,30,30.0,22,22.0,73.3,13,13.0,28,28.0,41,41.0,22,22.0,113,113.0,14,14.0,9,9.0,7,7.0,6,6.0,110,110.0,24,24.0,23,23.0,23,0.0,3,3.0,22,22.0,22,22.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,1,0,1.000,0.0', 
b',42112,2017-10-23,8:00PM,93,CHA,Charlotte,Hornets,90,MIL,Milwaukee,Bucks,BMO Harris Bradley Center,90,MIL,Milwaukee,Bucks,59,59.0,31,31.0,52.5,26,26.0,9,9.0,34.6,85,85.0,40,40.0,47.1,16,16.0,14,14.0,87.5,8,8.0,39,39.0,47,47.0,24,24.0,103,103.0,13,13.0,8,8.0,4,4.0,5,5.0,94,94.0,27,27.0,27,27.0,27,0.0,9,9.0,21,21.0,21,21.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,1,0,1.000,0.0', 
b',42136,2017-10-26,8:00PM,82,BOS,Boston,Celtics,90,MIL,Milwaukee,Bucks,BMO Harris Bradley Center,90,MIL,Milwaukee,Bucks,52,52.0,24,24.0,46.2,25,25.0,11,11.0,44.0,77,77.0,35,35.0,45.4,14,14.0,8,8.0,57.1,8,8.0,35,35.0,44,44.0,22,22.0,89,89.0,17,17.0,6,6.0,3,3.0,4,4.0,96,96.0,21,21.0,20,20.0,20,1.0,-7,-7.0,14,14.0,14,14.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,1,0.000,0.0', 
b',42154,2017-10-29,3:30PM,90,MIL,Milwaukee,Bucks,91,ATL,Atlanta,Hawks,Philips Arena,90,MIL,Milwaukee,Bucks,55,55.0,31,31.0,56.4,26,26.0,13,13.0,50.0,81,81.0,44,44.0,54.3,21,21.0,16,16.0,76.2,7,7.0,40,40.0,47,47.0,30,30.0,117,117.0,14,14.0,9,9.0,3,3.0,2,2.0,106,106.0,27,27.0,27,27.0,27,0.0,11,11.0,21,21.0,21,21.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,1,0,1.000,0.0', 
b',42172,2017-10-31,8:00PM,96,OKL,Oklahoma City,Thunder,90,MIL,Milwaukee,Bucks,BMO Harris Bradley Center,90,MIL,Milwaukee,Bucks,46,46.0,23,23.0,50.0,30,30.0,9,9.0,30.0,76,76.0,32,32.0,42.1,22,22.0,18,18.0,81.8,9,9.0,28,28.0,37,37.0,24,24.0,91,91.0,14,14.0,8,8.0,4,4.0,3,3.0,110,110.0,23,23.0,22,22.0,22,1.0,-19,-19.0,20,20.0,20,20.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,1,0.000,0.0', 
b',42176,2017-11-01,7:00PM,90,MIL,Milwaukee,Bucks,93,CHA,Charlotte,Hornets,Spectrum Center,90,MIL,Milwaukee,Bucks,55,55.0,26,26.0,47.3,36,36.0,19,19.0,52.8,91,91.0,45,45.0,49.4,15,15.0,12,12.0,80.0,15,15.0,33,33.0,48,48.0,29,29.0,121,121.0,14,14.0,3,3.0,3,3.0,3,3.0,126,126.0,26,26.0,25,25.0,25,0.0,-5,-5.0,18,18.0,18,18.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,1,0.000,0.0', 
b',42188,2017-11-03,7:00PM,90,MIL,Milwaukee,Bucks,88,DET,Detroit,Pistons,Palace of Auburn Hills,90,MIL,Milwaukee,Bucks,58,58.0,29,29.0,50.0,25,25.0,10,10.0,40.0,83,83.0,39,39.0,47.0,9,9.0,8,8.0,88.9,11,11.0,31,31.0,42,42.0,27,27.0,96,96.0,13,13.0,6,6.0,6,6.0,4,4.0,105,105.0,27,27.0,24,24.0,24,3.0,-9,-9.0,11,11.0,11,11.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,1,0.000,0.0', 
b',42219,2017-11-07,7:00PM,90,MIL,Milwaukee,Bucks,86,CLE,Cleveland,Cavaliers,Quicken Loans Arena,90,MIL,Milwaukee,Bucks,53,53.0,34,34.0,64.2,30,30.0,13,13.0,43.3,83,83.0,47,47.0,56.6,16,16.0,12,12.0,75.0,11,11.0,29,29.0,40,40.0,29,29.0,119,119.0,17,17.0,6,6.0,8,8.0,4,4.0,124,124.0,32,32.0,31,31.0,31,2.0,-5,-5.0,16,16.0,16,16.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,1,0.000,0.0', 
b',42244,2017-11-10,9:00PM,90,MIL,Milwaukee,Bucks,106,SAS,San Antonio,Spurs,AT&T Center,90,MIL,Milwaukee,Bucks,71,71.0,36,36.0,50.7,18,18.0,5,5.0,27.8,89,89.0,41,41.0,46.1,14,14.0,7,7.0,50.0,20,20.0,38,38.0,58,58.0,27,27.0,94,94.0,13,13.0,10,10.0,7,7.0,6,6.0,87,87.0,13,13.0,13,13.0,13,0.0,7,7.0,15,15.0,15,15.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,1,0,1.000,0.0', 
b',42250,2017-11-11,8:30PM,105,LAL,Los Angeles,Lakers,90,MIL,Milwaukee,Bucks,BMO Harris Bradley Center,90,MIL,Milwaukee,Bucks,63,63.0,29,29.0,46.0,23,23.0,6,6.0,26.1,86,86.0,35,35.0,40.7,26,26.0,22,22.0,84.6,12,12.0,35,35.0,47,47.0,16,16.0,98,98.0,11,11.0,11,11.0,4,4.0,10,10.0,90,90.0,27,27.0,27,27.0,27,0.0,8,8.0,22,22.0,22,22.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,1,0,1.000,0.0', 
