#Date/Time of Update: 2018-02-14 1:48:43 PM,#Game ID,#Game Date,#Game Time,#Away Team ID,#Away Team Abbr.,#Away Team City,#Away Team Name,#Home Team ID,#Home Team Abbr.,#Home Team City,#Home Team Name,#Location,#Team ID,#Team Abbr.,#Team City,#Team Name,#Fg2PtAtt,#Fg2PtAttPerGame,#Fg2PtMade,#Fg2PtMadePerGame,#Fg2PtPct,#Fg3PtAtt,#Fg3PtAttPerGame,#Fg3PtMade,#Fg3PtMadePerGame,#Fg3PtPct,#FgAtt,#FgAttPerGame,#FgMade,#FgMadePerGame,#FgPct,#FtAtt,#FtAttPerGame,#FtMade,#FtMadePerGame,#FtPct,#OffReb,#OffRebPerGame,#DefReb,#DefRebPerGame,#Reb,#RebPerGame,#Ast,#AstPerGame,#Pts,#PtsPerGame,#Tov,#TovPerGame,#Stl,#StlPerGame,#Blk,#BlkPerGame,#BlkAgainst,#BlkAgainstPerGame,#PtsAgainst,#PtsAgainstPerGame,#Fouls,#FoulsPerGame,#FoulPers,#FoulPersPerGame,#FoulTech,#FoulTechPerGame,#PlusMinus,#PlusMinusPerGame,#FoulsDrawn,#FoulsDrawnPerGame,#FoulPersDrawn,#FoulPersDrawnPerGame,#FoulTechDrawn,#FoulTechDrawnPerGame,#FoulFlag1,#FoulFlag1PerGame,#FoulFlag1Drawn,#FoulFlag1DrawnPerGame,#FoulFlag2,#FoulFlag2PerGame,#FoulFlag2Drawn,#FoulFlag2DrawnPerGame,#Ejections,#Wins,#Losses,#WinPct,#GamesBack', 
b',42077,2017-10-18,8:00PM,110,NOP,New Orleans,Pelicans,107,MEM,Memphis,Grizzlies,FedEx Forum,110,NOP,New Orleans,Pelicans,54,54.0,23,23.0,42.6,25,25.0,7,7.0,28.0,79,79.0,30,30.0,38.0,29,29.0,24,24.0,82.8,21,21.0,38,38.0,60,60.0,15,15.0,91,91.0,18,18.0,4,4.0,12,12.0,8,8.0,103,103.0,33,33.0,31,31.0,31,1.0,-12,-12.0,29,29.0,29,29.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,1,0.000,0.0', 
b',42094,2017-10-20,9:30PM,101,GSW,Golden State,Warriors,110,NOP,New Orleans,Pelicans,Smoothie King Center,110,NOP,New Orleans,Pelicans,62,62.0,29,29.0,46.8,36,36.0,16,16.0,44.4,98,98.0,45,45.0,45.9,22,22.0,14,14.0,63.6,20,20.0,36,36.0,57,57.0,28,28.0,120,120.0,16,16.0,8,8.0,2,2.0,8,8.0,128,128.0,20,20.0,19,19.0,19,1.0,-8,-8.0,23,23.0,23,23.0,1,1.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,1,0.000,0.0', 
b',42109,2017-10-22,9:30PM,110,NOP,New Orleans,Pelicans,105,LAL,Los Angeles,Lakers,Staples Center,110,NOP,New Orleans,Pelicans,51,51.0,37,37.0,72.6,32,32.0,10,10.0,31.2,83,83.0,47,47.0,56.6,21,21.0,15,15.0,71.4,11,11.0,39,39.0,50,50.0,26,26.0,119,119.0,18,18.0,14,14.0,5,5.0,6,6.0,112,112.0,20,20.0,20,20.0,20,0.0,7,7.0,24,24.0,24,24.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,1,0,1.000,0.0', 
b',42122,2017-10-24,10:00PM,110,NOP,New Orleans,Pelicans,97,POR,Portland,Trail Blazers,Moda Center,110,NOP,New Orleans,Pelicans,46,46.0,21,21.0,45.6,30,30.0,9,9.0,30.0,76,76.0,30,30.0,39.5,32,32.0,24,24.0,75.0,7,7.0,40,40.0,48,48.0,17,17.0,93,93.0,17,17.0,5,5.0,7,7.0,7,7.0,103,103.0,27,27.0,26,26.0,26,0.0,-10,-10.0,22,22.0,22,22.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,1,0.000,0.0', 
b',42138,2017-10-26,10:30PM,110,NOP,New Orleans,Pelicans,103,SAC,Sacramento,Kings,Sleep Train Arena,110,NOP,New Orleans,Pelicans,54,54.0,29,29.0,53.7,32,32.0,13,13.0,40.6,86,86.0,42,42.0,48.8,23,23.0,17,17.0,73.9,16,16.0,39,39.0,55,55.0,22,22.0,114,114.0,15,15.0,5,5.0,3,3.0,5,5.0,106,106.0,26,26.0,24,24.0,24,1.0,8,8.0,17,17.0,17,17.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,1,0,1.000,0.0', 
b',42146,2017-10-28,7:00PM,86,CLE,Cleveland,Cavaliers,110,NOP,New Orleans,Pelicans,Smoothie King Center,110,NOP,New Orleans,Pelicans,60,60.0,36,36.0,60.0,33,33.0,13,13.0,39.4,93,93.0,49,49.0,52.7,16,16.0,12,12.0,75.0,14,14.0,39,39.0,53,53.0,33,33.0,123,123.0,11,11.0,10,10.0,4,4.0,2,2.0,101,101.0,21,21.0,20,20.0,20,1.0,22,22.0,19,19.0,19,19.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,1,0,1.000,0.0', 
b',42165,2017-10-30,8:00PM,95,ORL,Orlando,Magic,110,NOP,New Orleans,Pelicans,Smoothie King Center,110,NOP,New Orleans,Pelicans,57,57.0,32,32.0,56.1,28,28.0,7,7.0,25.0,85,85.0,39,39.0,45.9,18,18.0,14,14.0,77.8,11,11.0,35,35.0,47,47.0,30,30.0,99,99.0,19,19.0,9,9.0,5,5.0,1,1.0,115,115.0,23,23.0,23,23.0,23,0.0,-16,-16.0,18,18.0,18,18.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,1,0.000,0.0', 
b',42181,2017-11-01,8:00PM,100,MIN,Minnesota,Timberwolves,110,NOP,New Orleans,Pelicans,Smoothie King Center,110,NOP,New Orleans,Pelicans,53,53.0,28,28.0,52.8,31,31.0,8,8.0,25.8,84,84.0,36,36.0,42.9,21,21.0,18,18.0,85.7,15,15.0,30,30.0,45,45.0,27,27.0,98,98.0,19,19.0,13,13.0,4,4.0,3,3.0,104,104.0,24,24.0,24,24.0,24,0.0,-6,-6.0,21,21.0,21,21.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,1,0.000,0.0', 
b',42194,2017-11-03,8:30PM,110,NOP,New Orleans,Pelicans,108,DAL,Dallas,Mavericks,American Airlines Center,110,NOP,New Orleans,Pelicans,60,60.0,29,29.0,48.3,29,29.0,7,7.0,24.1,89,89.0,36,36.0,40.4,26,26.0,20,20.0,76.9,20,20.0,46,46.0,67,67.0,23,23.0,99,99.0,12,12.0,9,9.0,4,4.0,7,7.0,94,94.0,24,24.0,22,22.0,22,1.0,5,5.0,24,24.0,24,24.0,1,1.0,1,1.0,0,0.0,0,0.0,0,0.0,0,1,0,1.000,0.0', 
b',43372,2017-11-04,8:00PM,110,NOP,New Orleans,Pelicans,89,CHI,Chicago,Bulls,KeyBank Center,110,NOP,New Orleans,Pelicans,56,56.0,26,26.0,46.4,31,31.0,9,9.0,29.0,87,87.0,35,35.0,40.2,22,22.0,17,17.0,77.3,12,12.0,49,49.0,61,61.0,23,23.0,96,96.0,13,13.0,9,9.0,4,4.0,5,5.0,90,90.0,9,9.0,9,9.0,9,0.0,6,6.0,19,19.0,19,19.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,1,0,1.000,0.0', 
