#Date/Time of Update: 2018-02-14 1:48:43 PM,#Game ID,#Game Date,#Game Time,#Away Team ID,#Away Team Abbr.,#Away Team City,#Away Team Name,#Home Team ID,#Home Team Abbr.,#Home Team City,#Home Team Name,#Location,#Team ID,#Team Abbr.,#Team City,#Team Name,#Fg2PtAtt,#Fg2PtAttPerGame,#Fg2PtMade,#Fg2PtMadePerGame,#Fg2PtPct,#Fg3PtAtt,#Fg3PtAttPerGame,#Fg3PtMade,#Fg3PtMadePerGame,#Fg3PtPct,#FgAtt,#FgAttPerGame,#FgMade,#FgMadePerGame,#FgPct,#FtAtt,#FtAttPerGame,#FtMade,#FtMadePerGame,#FtPct,#OffReb,#OffRebPerGame,#DefReb,#DefRebPerGame,#Reb,#RebPerGame,#Ast,#AstPerGame,#Pts,#PtsPerGame,#Tov,#TovPerGame,#Stl,#StlPerGame,#Blk,#BlkPerGame,#BlkAgainst,#BlkAgainstPerGame,#PtsAgainst,#PtsAgainstPerGame,#Fouls,#FoulsPerGame,#FoulPers,#FoulPersPerGame,#FoulTech,#FoulTechPerGame,#PlusMinus,#PlusMinusPerGame,#FoulsDrawn,#FoulsDrawnPerGame,#FoulPersDrawn,#FoulPersDrawnPerGame,#FoulTechDrawn,#FoulTechDrawnPerGame,#FoulFlag1,#FoulFlag1PerGame,#FoulFlag1Drawn,#FoulFlag1DrawnPerGame,#FoulFlag2,#FoulFlag2PerGame,#FoulFlag2Drawn,#FoulFlag2DrawnPerGame,#Ejections,#Wins,#Losses,#WinPct,#GamesBack', 
b',42084,2017-10-19,8:00PM,83,NYK,New York,Knicks,96,OKL,Oklahoma City,Thunder,Chesapeake Energy Arena,83,NYK,New York,Knicks,55,55.0,25,25.0,45.4,24,24.0,7,7.0,29.2,79,79.0,32,32.0,40.5,20,20.0,13,13.0,65.0,19,19.0,34,34.0,53,53.0,19,19.0,84,84.0,25,25.0,8,8.0,4,4.0,7,7.0,105,105.0,25,25.0,23,23.0,23,2.0,-21,-21.0,22,22.0,22,22.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,1,0.000,0.0', 
b',42101,2017-10-21,8:00PM,88,DET,Detroit,Pistons,83,NYK,New York,Knicks,Madison Square Garden,83,NYK,New York,Knicks,51,51.0,29,29.0,56.9,30,30.0,8,8.0,26.7,81,81.0,37,37.0,45.7,31,31.0,25,25.0,80.6,21,21.0,30,30.0,51,51.0,20,20.0,107,107.0,12,12.0,6,6.0,2,2.0,2,2.0,111,111.0,22,22.0,21,21.0,21,0.0,-4,-4.0,25,25.0,25,25.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,1,0.000,0.0', 
b',42120,2017-10-24,7:30PM,83,NYK,New York,Knicks,82,BOS,Boston,Celtics,TD Garden,83,NYK,New York,Knicks,73,73.0,35,35.0,48.0,12,12.0,1,1.0,8.3,85,85.0,36,36.0,42.4,25,25.0,16,16.0,64.0,19,19.0,32,32.0,51,51.0,20,20.0,89,89.0,14,14.0,8,8.0,2,2.0,7,7.0,110,110.0,17,17.0,17,17.0,17,0.0,-21,-21.0,24,24.0,24,24.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,1,0.000,0.0', 
b',42141,2017-10-27,7:30PM,84,BRO,Brooklyn,Nets,83,NYK,New York,Knicks,Madison Square Garden,83,NYK,New York,Knicks,71,71.0,35,35.0,49.3,27,27.0,9,9.0,33.3,98,98.0,44,44.0,44.9,17,17.0,10,10.0,58.8,27,27.0,41,41.0,68,68.0,19,19.0,107,107.0,11,11.0,7,7.0,6,6.0,1,1.0,86,86.0,20,20.0,19,19.0,19,1.0,21,21.0,20,20.0,20,20.0,1,1.0,0,0.0,0,0.0,0,0.0,0,0.0,0,1,0,1.000,0.0', 
b',42159,2017-10-29,7:00PM,83,NYK,New York,Knicks,86,CLE,Cleveland,Cavaliers,Quicken Loans Arena,83,NYK,New York,Knicks,61,61.0,29,29.0,47.5,28,28.0,13,13.0,46.4,89,89.0,42,42.0,47.2,21,21.0,17,17.0,81.0,16,16.0,41,41.0,57,57.0,27,27.0,114,114.0,14,14.0,9,9.0,6,6.0,5,5.0,95,95.0,26,26.0,26,26.0,26,0.0,19,19.0,23,23.0,23,23.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,1,0,1.000,0.0', 
b',42162,2017-10-30,7:30PM,99,DEN,Denver,Nuggets,83,NYK,New York,Knicks,Madison Square Garden,83,NYK,New York,Knicks,50,50.0,28,28.0,56.0,32,32.0,13,13.0,40.6,82,82.0,41,41.0,50.0,23,23.0,21,21.0,91.3,18,18.0,40,40.0,59,59.0,27,27.0,116,116.0,22,22.0,8,8.0,10,10.0,5,5.0,110,110.0,27,27.0,27,27.0,27,0.0,6,6.0,22,22.0,22,22.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,1,0,1.000,0.0', 
b',42180,2017-11-01,8:00PM,109,HOU,Houston,Rockets,83,NYK,New York,Knicks,Madison Square Garden,83,NYK,New York,Knicks,63,63.0,31,31.0,49.2,27,27.0,8,8.0,29.6,90,90.0,39,39.0,43.3,13,13.0,11,11.0,84.6,14,14.0,37,37.0,51,51.0,23,23.0,97,97.0,19,19.0,8,8.0,1,1.0,4,4.0,119,119.0,18,18.0,18,18.0,18,0.0,-22,-22.0,20,20.0,20,20.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,1,0.000,0.0', 
b',42193,2017-11-03,7:30PM,104,PHX,Phoenix,Suns,83,NYK,New York,Knicks,Madison Square Garden,83,NYK,New York,Knicks,61,61.0,37,37.0,60.7,26,26.0,8,8.0,30.8,87,87.0,45,45.0,51.7,25,25.0,22,22.0,88.0,14,14.0,41,41.0,55,55.0,24,24.0,120,120.0,12,12.0,5,5.0,7,7.0,3,3.0,107,107.0,25,25.0,24,24.0,24,0.0,13,13.0,25,25.0,25,25.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,1,0,1.000,0.0', 
b',42211,2017-11-05,7:30PM,87,IND,Indiana,Pacers,83,NYK,New York,Knicks,Madison Square Garden,83,NYK,New York,Knicks,65,65.0,38,38.0,58.5,23,23.0,6,6.0,26.1,88,88.0,44,44.0,50.0,19,19.0,14,14.0,73.7,15,15.0,37,37.0,52,52.0,24,24.0,108,108.0,12,12.0,8,8.0,7,7.0,2,2.0,101,101.0,23,23.0,21,21.0,21,0.0,7,7.0,17,17.0,17,17.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,1,0,1.000,0.0', 
b',42221,2017-11-07,7:30PM,93,CHA,Charlotte,Hornets,83,NYK,New York,Knicks,Madison Square Garden,83,NYK,New York,Knicks,50,50.0,33,33.0,66.0,25,25.0,12,12.0,48.0,75,75.0,45,45.0,60.0,21,21.0,16,16.0,76.2,10,10.0,30,30.0,41,41.0,29,29.0,118,118.0,16,16.0,5,5.0,5,5.0,2,2.0,113,113.0,20,20.0,19,19.0,19,1.0,5,5.0,22,22.0,22,22.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,1,0,1.000,0.0', 
