#Date/Time of Update: 2018-02-14 1:48:43 PM,#Game ID,#Game Date,#Game Time,#Away Team ID,#Away Team Abbr.,#Away Team City,#Away Team Name,#Home Team ID,#Home Team Abbr.,#Home Team City,#Home Team Name,#Location,#Team ID,#Team Abbr.,#Team City,#Team Name,#Fg2PtAtt,#Fg2PtAttPerGame,#Fg2PtMade,#Fg2PtMadePerGame,#Fg2PtPct,#Fg3PtAtt,#Fg3PtAttPerGame,#Fg3PtMade,#Fg3PtMadePerGame,#Fg3PtPct,#FgAtt,#FgAttPerGame,#FgMade,#FgMadePerGame,#FgPct,#FtAtt,#FtAttPerGame,#FtMade,#FtMadePerGame,#FtPct,#OffReb,#OffRebPerGame,#DefReb,#DefRebPerGame,#Reb,#RebPerGame,#Ast,#AstPerGame,#Pts,#PtsPerGame,#Tov,#TovPerGame,#Stl,#StlPerGame,#Blk,#BlkPerGame,#BlkAgainst,#BlkAgainstPerGame,#PtsAgainst,#PtsAgainstPerGame,#Fouls,#FoulsPerGame,#FoulPers,#FoulPersPerGame,#FoulTech,#FoulTechPerGame,#PlusMinus,#PlusMinusPerGame,#FoulsDrawn,#FoulsDrawnPerGame,#FoulPersDrawn,#FoulPersDrawnPerGame,#FoulTechDrawn,#FoulTechDrawnPerGame,#FoulFlag1,#FoulFlag1PerGame,#FoulFlag1Drawn,#FoulFlag1DrawnPerGame,#FoulFlag2,#FoulFlag2PerGame,#FoulFlag2Drawn,#FoulFlag2DrawnPerGame,#Ejections,#Wins,#Losses,#WinPct,#GamesBack', 
b',42075,2017-10-18,7:00PM,92,MIA,Miami,Heat,95,ORL,Orlando,Magic,Amway Center,95,ORL,Orlando,Magic,69,69.0,35,35.0,50.7,21,21.0,8,8.0,38.1,90,90.0,43,43.0,47.8,29,29.0,22,22.0,75.9,18,18.0,41,41.0,60,60.0,22,22.0,116,116.0,14,14.0,8,8.0,10,10.0,4,4.0,109,109.0,18,18.0,18,18.0,18,0.0,7,7.0,20,20.0,20,20.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,1,0,1.000,0.0', 
b',42091,2017-10-20,7:30PM,95,ORL,Orlando,Magic,84,BRO,Brooklyn,Nets,Barclays Center,95,ORL,Orlando,Magic,56,56.0,27,27.0,48.2,33,33.0,18,18.0,54.6,89,89.0,45,45.0,50.6,15,15.0,13,13.0,86.7,12,12.0,33,33.0,45,45.0,30,30.0,121,121.0,23,23.0,9,9.0,3,3.0,6,6.0,126,126.0,27,27.0,27,27.0,27,0.0,-5,-5.0,17,17.0,17,17.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,1,0.000,0.0', 
b',42099,2017-10-21,8:00PM,95,ORL,Orlando,Magic,86,CLE,Cleveland,Cavaliers,Quicken Loans Arena,95,ORL,Orlando,Magic,55,55.0,23,23.0,41.8,35,35.0,17,17.0,48.6,90,90.0,40,40.0,44.4,20,20.0,17,17.0,85.0,18,18.0,40,40.0,58,58.0,28,28.0,114,114.0,12,12.0,7,7.0,6,6.0,7,7.0,93,93.0,28,28.0,28,28.0,28,0.0,21,21.0,14,14.0,14,14.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,1,0,1.000,0.0', 
b',42118,2017-10-24,7:00PM,84,BRO,Brooklyn,Nets,95,ORL,Orlando,Magic,Amway Center,95,ORL,Orlando,Magic,60,60.0,33,33.0,55.0,23,23.0,8,8.0,34.8,83,83.0,41,41.0,49.4,40,40.0,35,35.0,87.5,11,11.0,39,39.0,50,50.0,20,20.0,125,125.0,11,11.0,8,8.0,5,5.0,4,4.0,121,121.0,25,25.0,23,23.0,23,2.0,4,4.0,27,27.0,27,27.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,1,0,1.000,0.0', 
b',42140,2017-10-27,7:00PM,106,SAS,San Antonio,Spurs,95,ORL,Orlando,Magic,Amway Center,95,ORL,Orlando,Magic,61,61.0,37,37.0,60.7,23,23.0,11,11.0,47.8,84,84.0,48,48.0,57.1,14,14.0,7,7.0,50.0,11,11.0,40,40.0,51,51.0,22,22.0,114,114.0,18,18.0,9,9.0,7,7.0,8,8.0,87,87.0,25,25.0,24,24.0,24,0.0,27,27.0,15,15.0,15,15.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,1,0,1.000,0.0', 
b',42156,2017-10-29,6:00PM,95,ORL,Orlando,Magic,93,CHA,Charlotte,Hornets,Spectrum Center,95,ORL,Orlando,Magic,64,64.0,30,30.0,46.9,33,33.0,11,11.0,33.3,97,97.0,41,41.0,42.3,26,26.0,20,20.0,76.9,14,14.0,31,31.0,45,45.0,28,28.0,113,113.0,11,11.0,10,10.0,5,5.0,7,7.0,120,120.0,20,20.0,20,20.0,20,0.0,-7,-7.0,24,24.0,24,24.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,1,0.000,0.0', 
b',42165,2017-10-30,8:00PM,95,ORL,Orlando,Magic,110,NOP,New Orleans,Pelicans,Smoothie King Center,95,ORL,Orlando,Magic,51,51.0,27,27.0,52.9,34,34.0,16,16.0,47.1,85,85.0,43,43.0,50.6,18,18.0,13,13.0,72.2,10,10.0,39,39.0,50,50.0,27,27.0,115,115.0,16,16.0,10,10.0,1,1.0,5,5.0,99,99.0,18,18.0,18,18.0,18,0.0,16,16.0,23,23.0,23,23.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,1,0,1.000,0.0', 
b',42182,2017-11-01,8:00PM,95,ORL,Orlando,Magic,107,MEM,Memphis,Grizzlies,FedEx Forum,95,ORL,Orlando,Magic,46,46.0,25,25.0,54.4,29,29.0,13,13.0,44.8,75,75.0,38,38.0,50.7,14,14.0,12,12.0,85.7,9,9.0,36,36.0,45,45.0,25,25.0,101,101.0,24,24.0,6,6.0,8,8.0,3,3.0,99,99.0,23,23.0,22,22.0,22,2.0,2,2.0,16,16.0,16,16.0,1,1.0,0,0.0,0,0.0,0,0.0,0,0.0,0,1,0,1.000,0.0', 
b',42191,2017-11-03,7:00PM,89,CHI,Chicago,Bulls,95,ORL,Orlando,Magic,Amway Center,95,ORL,Orlando,Magic,51,51.0,25,25.0,49.0,35,35.0,10,10.0,28.6,86,86.0,35,35.0,40.7,5,5.0,3,3.0,60.0,11,11.0,32,32.0,43,43.0,23,23.0,83,83.0,16,16.0,6,6.0,2,2.0,2,2.0,105,105.0,11,11.0,11,11.0,11,0.0,-22,-22.0,13,13.0,13,13.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,1,0.000,0.0', 
b',42208,2017-11-05,6:00PM,82,BOS,Boston,Celtics,95,ORL,Orlando,Magic,Amway Center,95,ORL,Orlando,Magic,62,62.0,27,27.0,43.6,29,29.0,6,6.0,20.7,91,91.0,33,33.0,36.3,18,18.0,16,16.0,88.9,13,13.0,39,39.0,52,52.0,18,18.0,88,88.0,13,13.0,4,4.0,4,4.0,1,1.0,104,104.0,19,19.0,19,19.0,19,0.0,-16,-16.0,21,21.0,21,21.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,1,0.000,0.0', 
