#Date/Time of Update: 2018-02-14 1:48:43 PM,#Game ID,#Game Date,#Game Time,#Away Team ID,#Away Team Abbr.,#Away Team City,#Away Team Name,#Home Team ID,#Home Team Abbr.,#Home Team City,#Home Team Name,#Location,#Team ID,#Team Abbr.,#Team City,#Team Name,#Fg2PtAtt,#Fg2PtAttPerGame,#Fg2PtMade,#Fg2PtMadePerGame,#Fg2PtPct,#Fg3PtAtt,#Fg3PtAttPerGame,#Fg3PtMade,#Fg3PtMadePerGame,#Fg3PtPct,#FgAtt,#FgAttPerGame,#FgMade,#FgMadePerGame,#FgPct,#FtAtt,#FtAttPerGame,#FtMade,#FtMadePerGame,#FtPct,#OffReb,#OffRebPerGame,#DefReb,#DefRebPerGame,#Reb,#RebPerGame,#Ast,#AstPerGame,#Pts,#PtsPerGame,#Tov,#TovPerGame,#Stl,#StlPerGame,#Blk,#BlkPerGame,#BlkAgainst,#BlkAgainstPerGame,#PtsAgainst,#PtsAgainstPerGame,#Fouls,#FoulsPerGame,#FoulPers,#FoulPersPerGame,#FoulTech,#FoulTechPerGame,#PlusMinus,#PlusMinusPerGame,#FoulsDrawn,#FoulsDrawnPerGame,#FoulPersDrawn,#FoulPersDrawnPerGame,#FoulTechDrawn,#FoulTechDrawnPerGame,#FoulFlag1,#FoulFlag1PerGame,#FoulFlag1Drawn,#FoulFlag1DrawnPerGame,#FoulFlag2,#FoulFlag2PerGame,#FoulFlag2Drawn,#FoulFlag2DrawnPerGame,#Ejections,#Wins,#Losses,#WinPct,#GamesBack', 
b',42073,2017-10-18,7:00PM,85,PHI,Philadelphia,76ers,94,WAS,Washington,Wizards,Capital One Arena,85,PHI,Philadelphia,76ers,59,59.0,28,28.0,47.5,35,35.0,15,15.0,42.9,94,94.0,43,43.0,45.7,19,19.0,14,14.0,73.7,18,18.0,39,39.0,57,57.0,25,25.0,115,115.0,17,17.0,6,6.0,6,6.0,10,10.0,120,120.0,28,28.0,28,28.0,28,0.0,-5,-5.0,20,20.0,20,20.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,1,0.000,0.0', 
b',42090,2017-10-20,7:00PM,82,BOS,Boston,Celtics,85,PHI,Philadelphia,76ers,Wells Fargo Center,85,PHI,Philadelphia,76ers,60,60.0,25,25.0,41.7,32,32.0,10,10.0,31.2,92,92.0,35,35.0,38.0,16,16.0,12,12.0,75.0,20,20.0,36,36.0,56,56.0,20,20.0,92,92.0,16,16.0,7,7.0,4,4.0,5,5.0,102,102.0,31,31.0,30,30.0,30,1.0,-10,-10.0,24,24.0,24,24.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,1,0.000,0.0', 
b',42096,2017-10-21,7:30PM,85,PHI,Philadelphia,76ers,81,TOR,Toronto,Raptors,Air Canada Center,85,PHI,Philadelphia,76ers,58,58.0,24,24.0,41.4,24,24.0,8,8.0,33.3,82,82.0,32,32.0,39.0,36,36.0,22,22.0,61.1,20,20.0,38,38.0,58,58.0,18,18.0,94,94.0,20,20.0,5,5.0,4,4.0,10,10.0,128,128.0,26,26.0,26,26.0,26,0.0,-34,-34.0,29,29.0,29,29.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,1,0.000,0.0', 
b',42110,2017-10-23,7:00PM,85,PHI,Philadelphia,76ers,88,DET,Detroit,Pistons,Palace of Auburn Hills,85,PHI,Philadelphia,76ers,51,51.0,26,26.0,51.0,24,24.0,9,9.0,37.5,75,75.0,35,35.0,46.7,24,24.0,18,18.0,75.0,15,15.0,42,42.0,57,57.0,25,25.0,97,97.0,21,21.0,11,11.0,0,0.0,2,2.0,86,86.0,24,24.0,24,24.0,24,0.0,11,11.0,21,21.0,21,21.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,1,0,1.000,0.0', 
b',42126,2017-10-25,7:00PM,109,HOU,Houston,Rockets,85,PHI,Philadelphia,76ers,Wells Fargo Center,85,PHI,Philadelphia,76ers,61,61.0,31,31.0,50.8,36,36.0,12,12.0,33.3,97,97.0,43,43.0,44.3,10,10.0,6,6.0,60.0,24,24.0,33,33.0,57,57.0,29,29.0,104,104.0,14,14.0,14,14.0,7,7.0,13,13.0,105,105.0,19,19.0,19,19.0,19,0.0,-1,-1.0,13,13.0,13,13.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,1,0.000,0.0', 
b',42150,2017-10-28,8:30PM,85,PHI,Philadelphia,76ers,108,DAL,Dallas,Mavericks,American Airlines Center,85,PHI,Philadelphia,76ers,52,52.0,27,27.0,51.9,35,35.0,16,16.0,45.7,87,87.0,43,43.0,49.4,14,14.0,10,10.0,71.4,13,13.0,32,32.0,48,48.0,25,25.0,112,112.0,13,13.0,10,10.0,1,1.0,2,2.0,110,110.0,21,21.0,21,21.0,21,0.0,2,2.0,15,15.0,15,15.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,1,0,1.000,0.0', 
b',42166,2017-10-30,8:00PM,85,PHI,Philadelphia,76ers,109,HOU,Houston,Rockets,Toyota Center,85,PHI,Philadelphia,76ers,56,56.0,34,34.0,60.7,24,24.0,10,10.0,41.7,80,80.0,44,44.0,55.0,24,24.0,17,17.0,70.8,15,15.0,42,42.0,57,57.0,27,27.0,115,115.0,19,19.0,10,10.0,4,4.0,3,3.0,107,107.0,32,32.0,31,31.0,31,0.0,8,8.0,23,23.0,23,23.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,1,0,1.000,0.0', 
b',42175,2017-11-01,7:00PM,91,ATL,Atlanta,Hawks,85,PHI,Philadelphia,76ers,Wells Fargo Center,85,PHI,Philadelphia,76ers,64,64.0,33,33.0,51.6,35,35.0,13,13.0,37.1,99,99.0,46,46.0,46.5,25,25.0,14,14.0,56.0,25,25.0,41,41.0,66,66.0,36,36.0,119,119.0,17,17.0,10,10.0,4,4.0,4,4.0,109,109.0,26,26.0,26,26.0,26,0.0,10,10.0,28,28.0,28,28.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,1,0,1.000,0.0', 
b',42190,2017-11-03,7:00PM,87,IND,Indiana,Pacers,85,PHI,Philadelphia,76ers,Wells Fargo Center,85,PHI,Philadelphia,76ers,56,56.0,28,28.0,50.0,36,36.0,18,18.0,50.0,92,92.0,46,46.0,50.0,14,14.0,11,11.0,78.6,15,15.0,40,40.0,55,55.0,34,34.0,121,121.0,18,18.0,7,7.0,9,9.0,6,6.0,110,110.0,20,20.0,20,20.0,20,0.0,11,11.0,18,18.0,18,18.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,1,0,1.000,0.0', 
b',42225,2017-11-07,9:00PM,85,PHI,Philadelphia,76ers,98,UTA,Utah,Jazz,Vivint Smart Home Arena,85,PHI,Philadelphia,76ers,54,54.0,22,22.0,40.7,27,27.0,12,12.0,44.4,81,81.0,34,34.0,42.0,30,30.0,24,24.0,80.0,16,16.0,52,52.0,68,68.0,23,23.0,104,104.0,22,22.0,5,5.0,6,6.0,6,6.0,97,97.0,37,37.0,35,35.0,35,1.0,7,7.0,22,22.0,22,22.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,1,0,1.000,0.0', 
b',42236,2017-11-09,10:00PM,85,PHI,Philadelphia,76ers,103,SAC,Sacramento,Kings,Sleep Train Arena,85,PHI,Philadelphia,76ers,50,50.0,22,22.0,44.0,37,37.0,15,15.0,40.5,87,87.0,37,37.0,42.5,27,27.0,19,19.0,70.4,19,19.0,43,43.0,62,62.0,23,23.0,108,108.0,17,17.0,6,6.0,5,5.0,5,5.0,109,109.0,29,29.0,28,28.0,28,0.0,-1,-1.0,19,19.0,19,19.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,1,0.000,0.0', 
