#Date/Time of Update: 2018-02-14 1:48:43 PM,#Game ID,#Game Date,#Game Time,#Away Team ID,#Away Team Abbr.,#Away Team City,#Away Team Name,#Home Team ID,#Home Team Abbr.,#Home Team City,#Home Team Name,#Location,#Team ID,#Team Abbr.,#Team City,#Team Name,#Fg2PtAtt,#Fg2PtAttPerGame,#Fg2PtMade,#Fg2PtMadePerGame,#Fg2PtPct,#Fg3PtAtt,#Fg3PtAttPerGame,#Fg3PtMade,#Fg3PtMadePerGame,#Fg3PtPct,#FgAtt,#FgAttPerGame,#FgMade,#FgMadePerGame,#FgPct,#FtAtt,#FtAttPerGame,#FtMade,#FtMadePerGame,#FtPct,#OffReb,#OffRebPerGame,#DefReb,#DefRebPerGame,#Reb,#RebPerGame,#Ast,#AstPerGame,#Pts,#PtsPerGame,#Tov,#TovPerGame,#Stl,#StlPerGame,#Blk,#BlkPerGame,#BlkAgainst,#BlkAgainstPerGame,#PtsAgainst,#PtsAgainstPerGame,#Fouls,#FoulsPerGame,#FoulPers,#FoulPersPerGame,#FoulTech,#FoulTechPerGame,#PlusMinus,#PlusMinusPerGame,#FoulsDrawn,#FoulsDrawnPerGame,#FoulPersDrawn,#FoulPersDrawnPerGame,#FoulTechDrawn,#FoulTechDrawnPerGame,#FoulFlag1,#FoulFlag1PerGame,#FoulFlag1Drawn,#FoulFlag1DrawnPerGame,#FoulFlag2,#FoulFlag2PerGame,#FoulFlag2Drawn,#FoulFlag2DrawnPerGame,#Ejections,#Wins,#Losses,#WinPct,#GamesBack', 
b',42082,2017-10-18,10:00PM,97,POR,Portland,Trail Blazers,104,PHX,Phoenix,Suns,Talking Stick Resort Arena,104,PHX,Phoenix,Suns,62,62.0,21,21.0,33.9,27,27.0,7,7.0,25.9,89,89.0,28,28.0,31.5,18,18.0,13,13.0,72.2,20,20.0,25,25.0,45,45.0,10,10.0,76,76.0,16,16.0,9,9.0,8,8.0,7,7.0,124,124.0,22,22.0,22,22.0,22,0.0,-48,-48.0,20,20.0,20,20.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,1,0.000,0.0', 
b',42095,2017-10-20,10:00PM,105,LAL,Los Angeles,Lakers,104,PHX,Phoenix,Suns,Talking Stick Resort Arena,104,PHX,Phoenix,Suns,63,63.0,31,31.0,49.2,29,29.0,14,14.0,48.3,92,92.0,45,45.0,48.9,38,38.0,26,26.0,68.4,17,17.0,43,43.0,62,62.0,17,17.0,130,130.0,20,20.0,8,8.0,9,9.0,3,3.0,132,132.0,29,29.0,25,25.0,25,3.0,-2,-2.0,31,31.0,31,31.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,1,0.000,0.0', 
b',42106,2017-10-21,10:30PM,104,PHX,Phoenix,Suns,102,LAC,Los Angeles,Clippers,Staples Center,104,PHX,Phoenix,Suns,47,47.0,21,21.0,44.7,24,24.0,6,6.0,25.0,71,71.0,27,27.0,38.0,38,38.0,28,28.0,73.7,12,12.0,33,33.0,45,45.0,19,19.0,88,88.0,19,19.0,8,8.0,3,3.0,2,2.0,130,130.0,28,28.0,27,27.0,27,0.0,-42,-42.0,32,32.0,32,32.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,1,0.000,0.0', 
b',42117,2017-10-23,10:00PM,103,SAC,Sacramento,Kings,104,PHX,Phoenix,Suns,Talking Stick Resort Arena,104,PHX,Phoenix,Suns,47,47.0,32,32.0,68.1,30,30.0,10,10.0,33.3,77,77.0,42,42.0,54.6,27,27.0,23,23.0,85.2,13,13.0,41,41.0,54,54.0,20,20.0,117,117.0,21,21.0,6,6.0,5,5.0,2,2.0,115,115.0,25,25.0,25,25.0,25,0.0,2,2.0,25,25.0,25,25.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,1,0,1.000,0.0', 
b',42131,2017-10-25,10:00PM,98,UTA,Utah,Jazz,104,PHX,Phoenix,Suns,Talking Stick Resort Arena,104,PHX,Phoenix,Suns,77,77.0,36,36.0,46.8,19,19.0,6,6.0,31.6,96,96.0,42,42.0,43.8,9,9.0,7,7.0,77.8,19,19.0,40,40.0,59,59.0,18,18.0,97,97.0,16,16.0,8,8.0,5,5.0,10,10.0,88,88.0,26,26.0,25,25.0,25,1.0,9,9.0,19,19.0,19,19.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,1,0,1.000,0.0', 
b',42152,2017-10-28,10:00PM,104,PHX,Phoenix,Suns,97,POR,Portland,Trail Blazers,Moda Center,104,PHX,Phoenix,Suns,61,61.0,28,28.0,45.9,26,26.0,9,9.0,34.6,87,87.0,37,37.0,42.5,30,30.0,24,24.0,80.0,14,14.0,36,36.0,50,50.0,21,21.0,107,107.0,17,17.0,12,12.0,7,7.0,7,7.0,114,114.0,23,23.0,23,23.0,23,0.0,-7,-7.0,26,26.0,26,26.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,1,0.000,0.0', 
b',42171,2017-10-31,7:30PM,104,PHX,Phoenix,Suns,84,BRO,Brooklyn,Nets,Barclays Center,104,PHX,Phoenix,Suns,74,74.0,35,35.0,47.3,22,22.0,10,10.0,45.4,96,96.0,45,45.0,46.9,24,24.0,22,22.0,91.7,14,14.0,56,56.0,70,70.0,18,18.0,122,122.0,18,18.0,5,5.0,5,5.0,4,4.0,114,114.0,29,29.0,26,26.0,26,3.0,8,8.0,22,22.0,22,22.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,1,0,1.000,0.0', 
b',42177,2017-11-01,7:00PM,104,PHX,Phoenix,Suns,94,WAS,Washington,Wizards,Capital One Arena,104,PHX,Phoenix,Suns,59,59.0,32,32.0,54.2,24,24.0,9,9.0,37.5,83,83.0,41,41.0,49.4,38,38.0,31,31.0,81.6,16,16.0,36,36.0,52,52.0,23,23.0,122,122.0,9,9.0,5,5.0,5,5.0,4,4.0,116,116.0,25,25.0,24,24.0,24,0.0,6,6.0,28,28.0,28,28.0,1,1.0,0,0.0,0,0.0,0,0.0,0,0.0,0,1,0,1.000,0.0', 
b',42193,2017-11-03,7:30PM,104,PHX,Phoenix,Suns,83,NYK,New York,Knicks,Madison Square Garden,104,PHX,Phoenix,Suns,65,65.0,25,25.0,38.5,32,32.0,9,9.0,28.1,97,97.0,34,34.0,35.0,37,37.0,30,30.0,81.1,29,29.0,31,31.0,60,60.0,17,17.0,107,107.0,10,10.0,7,7.0,3,3.0,7,7.0,120,120.0,25,25.0,25,25.0,25,0.0,-13,-13.0,24,24.0,24,24.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,1,0.000,0.0', 
b',42209,2017-11-05,7:00PM,104,PHX,Phoenix,Suns,106,SAS,San Antonio,Spurs,AT&T Center,104,PHX,Phoenix,Suns,58,58.0,29,29.0,50.0,23,23.0,8,8.0,34.8,81,81.0,37,37.0,45.7,22,22.0,13,13.0,59.1,16,16.0,35,35.0,53,53.0,23,23.0,95,95.0,18,18.0,5,5.0,4,4.0,4,4.0,112,112.0,16,16.0,16,16.0,16,0.0,-17,-17.0,19,19.0,19,19.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,1,0.000,0.0', 
b',42216,2017-11-06,9:00PM,84,BRO,Brooklyn,Nets,104,PHX,Phoenix,Suns,Talking Stick Resort Arena,104,PHX,Phoenix,Suns,61,61.0,24,24.0,39.3,25,25.0,6,6.0,24.0,86,86.0,30,30.0,34.9,35,35.0,26,26.0,74.3,24,24.0,41,41.0,65,65.0,13,13.0,92,92.0,17,17.0,8,8.0,7,7.0,4,4.0,98,98.0,30,30.0,29,29.0,29,0.0,-6,-6.0,30,30.0,30,30.0,1,1.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,1,0.000,0.0', 
b',42231,2017-11-08,9:00PM,92,MIA,Miami,Heat,104,PHX,Phoenix,Suns,Talking Stick Resort Arena,104,PHX,Phoenix,Suns,59,59.0,28,28.0,47.5,29,29.0,12,12.0,41.4,88,88.0,40,40.0,45.4,30,30.0,23,23.0,76.7,9,9.0,30,30.0,40,40.0,20,20.0,115,115.0,11,11.0,4,4.0,2,2.0,4,4.0,126,126.0,29,29.0,29,29.0,29,0.0,-11,-11.0,25,25.0,25,25.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,1,0.000,0.0', 
b',42243,2017-11-10,9:00PM,95,ORL,Orlando,Magic,104,PHX,Phoenix,Suns,Talking Stick Resort Arena,104,PHX,Phoenix,Suns,70,70.0,39,39.0,55.7,24,24.0,5,5.0,20.8,94,94.0,44,44.0,46.8,25,25.0,19,19.0,76.0,16,16.0,33,33.0,51,51.0,13,13.0,112,112.0,15,15.0,8,8.0,5,5.0,5,5.0,128,128.0,33,33.0,29,29.0,29,4.0,-16,-16.0,20,20.0,20,20.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,1,0.000,0.0', 
b',42256,2017-11-11,9:00PM,100,MIN,Minnesota,Timberwolves,104,PHX,Phoenix,Suns,Talking Stick Resort Arena,104,PHX,Phoenix,Suns,60,60.0,36,36.0,60.0,26,26.0,10,10.0,38.5,86,86.0,46,46.0,53.5,24,24.0,16,16.0,66.7,16,16.0,40,40.0,57,57.0,21,21.0,118,118.0,18,18.0,4,4.0,10,10.0,4,4.0,110,110.0,25,25.0,25,25.0,25,0.0,8,8.0,21,21.0,21,21.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,1,0,1.000,0.0', 
b',42265,2017-11-13,9:00PM,105,LAL,Los Angeles,Lakers,104,PHX,Phoenix,Suns,Talking Stick Resort Arena,104,PHX,Phoenix,Suns,69,69.0,30,30.0,43.5,26,26.0,7,7.0,26.9,95,95.0,37,37.0,39.0,20,20.0,12,12.0,60.0,23,23.0,45,45.0,68,68.0,15,15.0,93,93.0,15,15.0,6,6.0,4,4.0,6,6.0,100,100.0,18,18.0,17,17.0,17,2.0,-7,-7.0,20,20.0,20,20.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,1,0.000,0.0', 
b',42285,2017-11-16,10:30PM,109,HOU,Houston,Rockets,104,PHX,Phoenix,Suns,Talking Stick Resort Arena,104,PHX,Phoenix,Suns,74,74.0,37,37.0,50.0,30,30.0,10,10.0,33.3,104,104.0,47,47.0,45.2,21,21.0,12,12.0,57.1,26,26.0,36,36.0,62,62.0,28,28.0,116,116.0,14,14.0,9,9.0,5,5.0,9,9.0,142,142.0,24,24.0,22,22.0,22,1.0,-26,-26.0,20,20.0,20,20.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,1,0.000,0.0', 
b',42296,2017-11-17,10:30PM,104,PHX,Phoenix,Suns,105,LAL,Los Angeles,Lakers,Staples Center,104,PHX,Phoenix,Suns,70,70.0,35,35.0,50.0,32,32.0,13,13.0,40.6,102,102.0,48,48.0,47.1,19,19.0,13,13.0,68.4,18,18.0,38,38.0,56,56.0,28,28.0,122,122.0,14,14.0,10,10.0,5,5.0,9,9.0,113,113.0,24,24.0,22,22.0,22,2.0,9,9.0,20,20.0,20,20.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,1,0,1.000,0.0', 
b',42308,2017-11-19,8:00PM,89,CHI,Chicago,Bulls,104,PHX,Phoenix,Suns,Talking Stick Resort Arena,104,PHX,Phoenix,Suns,62,62.0,38,38.0,61.3,27,27.0,7,7.0,25.9,89,89.0,45,45.0,50.6,22,22.0,16,16.0,72.7,13,13.0,44,44.0,57,57.0,32,32.0,113,113.0,11,11.0,5,5.0,4,4.0,1,1.0,105,105.0,16,16.0,16,16.0,16,1.0,8,8.0,21,21.0,21,21.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,1,0,1.000,0.0', 
