#Date/Time of Update: 2018-02-14 1:48:43 PM,#Game ID,#Game Date,#Game Time,#Away Team ID,#Away Team Abbr.,#Away Team City,#Away Team Name,#Home Team ID,#Home Team Abbr.,#Home Team City,#Home Team Name,#Location,#Team ID,#Team Abbr.,#Team City,#Team Name,#Fg2PtAtt,#Fg2PtAttPerGame,#Fg2PtMade,#Fg2PtMadePerGame,#Fg2PtPct,#Fg3PtAtt,#Fg3PtAttPerGame,#Fg3PtMade,#Fg3PtMadePerGame,#Fg3PtPct,#FgAtt,#FgAttPerGame,#FgMade,#FgMadePerGame,#FgPct,#FtAtt,#FtAttPerGame,#FtMade,#FtMadePerGame,#FtPct,#OffReb,#OffRebPerGame,#DefReb,#DefRebPerGame,#Reb,#RebPerGame,#Ast,#AstPerGame,#Pts,#PtsPerGame,#Tov,#TovPerGame,#Stl,#StlPerGame,#Blk,#BlkPerGame,#BlkAgainst,#BlkAgainstPerGame,#PtsAgainst,#PtsAgainstPerGame,#Fouls,#FoulsPerGame,#FoulPers,#FoulPersPerGame,#FoulTech,#FoulTechPerGame,#PlusMinus,#PlusMinusPerGame,#FoulsDrawn,#FoulsDrawnPerGame,#FoulPersDrawn,#FoulPersDrawnPerGame,#FoulTechDrawn,#FoulTechDrawnPerGame,#FoulFlag1,#FoulFlag1PerGame,#FoulFlag1Drawn,#FoulFlag1DrawnPerGame,#FoulFlag2,#FoulFlag2PerGame,#FoulFlag2Drawn,#FoulFlag2DrawnPerGame,#Ejections,#Wins,#Losses,#WinPct,#GamesBack', 
b',42082,2017-10-18,10:00PM,97,POR,Portland,Trail Blazers,104,PHX,Phoenix,Suns,Talking Stick Resort Arena,97,POR,Portland,Trail Blazers,66,66.0,30,30.0,45.4,24,24.0,14,14.0,58.3,90,90.0,44,44.0,48.9,28,28.0,22,22.0,78.6,27,27.0,45,45.0,73,73.0,22,22.0,124,124.0,16,16.0,8,8.0,7,7.0,8,8.0,76,76.0,20,20.0,20,20.0,20,0.0,48,48.0,22,22.0,22,22.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,1,0,1.000,0.0', 
b',42088,2017-10-20,7:00PM,97,POR,Portland,Trail Blazers,87,IND,Indiana,Pacers,Bankers Life Fieldhouse,97,POR,Portland,Trail Blazers,76,76.0,37,37.0,48.7,19,19.0,9,9.0,47.4,95,95.0,46,46.0,48.4,17,17.0,13,13.0,76.5,18,18.0,40,40.0,58,58.0,19,19.0,114,114.0,9,9.0,5,5.0,6,6.0,4,4.0,96,96.0,26,26.0,26,26.0,26,0.0,18,18.0,18,18.0,18,18.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,1,0,1.000,0.0', 
b',42103,2017-10-21,8:30PM,97,POR,Portland,Trail Blazers,90,MIL,Milwaukee,Bucks,BMO Harris Bradley Center,97,POR,Portland,Trail Blazers,53,53.0,23,23.0,43.4,27,27.0,11,11.0,40.7,80,80.0,34,34.0,42.5,35,35.0,31,31.0,88.6,22,22.0,32,32.0,54,54.0,18,18.0,110,110.0,16,16.0,10,10.0,6,6.0,7,7.0,113,113.0,23,23.0,22,22.0,22,1.0,-3,-3.0,23,23.0,23,23.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,1,0.000,0.0', 
b',42122,2017-10-24,10:00PM,110,NOP,New Orleans,Pelicans,97,POR,Portland,Trail Blazers,Moda Center,97,POR,Portland,Trail Blazers,59,59.0,23,23.0,39.0,29,29.0,10,10.0,34.5,88,88.0,33,33.0,37.5,33,33.0,27,27.0,81.8,21,21.0,46,46.0,67,67.0,17,17.0,103,103.0,19,19.0,7,7.0,7,7.0,7,7.0,93,93.0,23,23.0,23,23.0,23,0.0,10,10.0,26,26.0,26,26.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,1,0,1.000,0.0', 
b',42137,2017-10-26,10:00PM,102,LAC,Los Angeles,Clippers,97,POR,Portland,Trail Blazers,Moda Center,97,POR,Portland,Trail Blazers,58,58.0,21,21.0,36.2,31,31.0,14,14.0,45.2,89,89.0,35,35.0,39.3,22,22.0,19,19.0,86.4,23,23.0,31,31.0,54,54.0,19,19.0,103,103.0,9,9.0,5,5.0,4,4.0,5,5.0,104,104.0,26,26.0,26,26.0,26,0.0,-1,-1.0,19,19.0,19,19.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,1,0.000,0.0', 
b',42152,2017-10-28,10:00PM,104,PHX,Phoenix,Suns,97,POR,Portland,Trail Blazers,Moda Center,97,POR,Portland,Trail Blazers,65,65.0,29,29.0,44.6,26,26.0,11,11.0,42.3,91,91.0,40,40.0,44.0,28,28.0,23,23.0,82.1,20,20.0,42,42.0,62,62.0,27,27.0,114,114.0,14,14.0,8,8.0,7,7.0,7,7.0,107,107.0,26,26.0,26,26.0,26,0.0,7,7.0,23,23.0,23,23.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,1,0,1.000,0.0', 
b',42168,2017-10-30,10:00PM,81,TOR,Toronto,Raptors,97,POR,Portland,Trail Blazers,Moda Center,97,POR,Portland,Trail Blazers,54,54.0,23,23.0,42.6,26,26.0,8,8.0,30.8,80,80.0,31,31.0,38.8,19,19.0,15,15.0,79.0,13,13.0,34,34.0,47,47.0,13,13.0,85,85.0,13,13.0,5,5.0,7,7.0,9,9.0,99,99.0,15,15.0,15,15.0,15,0.0,-14,-14.0,14,14.0,14,14.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,1,0.000,0.0', 
b',43370,2017-11-01,9:00PM,97,POR,Portland,Trail Blazers,98,UTA,Utah,Jazz,Vivint Smart Home Arena,97,POR,Portland,Trail Blazers,59,59.0,28,28.0,47.5,34,34.0,9,9.0,26.5,93,93.0,37,37.0,39.8,27,27.0,20,20.0,74.1,15,15.0,46,46.0,61,61.0,17,17.0,103,103.0,17,17.0,8,8.0,8,8.0,8,8.0,112,112.0,26,26.0,25,25.0,25,1.0,-9,-9.0,21,21.0,21,21.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,1,0.000,0.0', 
b',42187,2017-11-02,10:30PM,105,LAL,Los Angeles,Lakers,97,POR,Portland,Trail Blazers,Moda Center,97,POR,Portland,Trail Blazers,64,64.0,31,31.0,48.4,22,22.0,9,9.0,40.9,86,86.0,40,40.0,46.5,27,27.0,24,24.0,88.9,15,15.0,33,33.0,49,49.0,22,22.0,113,113.0,12,12.0,7,7.0,4,4.0,8,8.0,110,110.0,21,21.0,21,21.0,21,0.0,3,3.0,20,20.0,20,20.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,1,0,1.000,0.0', 
b',42213,2017-11-05,9:00PM,96,OKL,Oklahoma City,Thunder,97,POR,Portland,Trail Blazers,Moda Center,97,POR,Portland,Trail Blazers,54,54.0,30,30.0,55.6,20,20.0,7,7.0,35.0,74,74.0,37,37.0,50.0,28,28.0,22,22.0,78.6,14,14.0,41,41.0,56,56.0,20,20.0,103,103.0,21,21.0,6,6.0,7,7.0,2,2.0,99,99.0,20,20.0,20,20.0,20,0.0,4,4.0,27,27.0,27,27.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,1,0,1.000,0.0', 
