#Date/Time of Update: 2018-02-14 1:48:43 PM,#Game ID,#Game Date,#Game Time,#Away Team ID,#Away Team Abbr.,#Away Team City,#Away Team Name,#Home Team ID,#Home Team Abbr.,#Home Team City,#Home Team Name,#Location,#Team ID,#Team Abbr.,#Team City,#Team Name,#Fg2PtAtt,#Fg2PtAttPerGame,#Fg2PtMade,#Fg2PtMadePerGame,#Fg2PtPct,#Fg3PtAtt,#Fg3PtAttPerGame,#Fg3PtMade,#Fg3PtMadePerGame,#Fg3PtPct,#FgAtt,#FgAttPerGame,#FgMade,#FgMadePerGame,#FgPct,#FtAtt,#FtAttPerGame,#FtMade,#FtMadePerGame,#FtPct,#OffReb,#OffRebPerGame,#DefReb,#DefRebPerGame,#Reb,#RebPerGame,#Ast,#AstPerGame,#Pts,#PtsPerGame,#Tov,#TovPerGame,#Stl,#StlPerGame,#Blk,#BlkPerGame,#BlkAgainst,#BlkAgainstPerGame,#PtsAgainst,#PtsAgainstPerGame,#Fouls,#FoulsPerGame,#FoulPers,#FoulPersPerGame,#FoulTech,#FoulTechPerGame,#PlusMinus,#PlusMinusPerGame,#FoulsDrawn,#FoulsDrawnPerGame,#FoulPersDrawn,#FoulPersDrawnPerGame,#FoulTechDrawn,#FoulTechDrawnPerGame,#FoulFlag1,#FoulFlag1PerGame,#FoulFlag1Drawn,#FoulFlag1DrawnPerGame,#FoulFlag2,#FoulFlag2PerGame,#FoulFlag2Drawn,#FoulFlag2DrawnPerGame,#Ejections,#Wins,#Losses,#WinPct,#GamesBack', 
b',42081,2017-10-18,10:00PM,109,HOU,Houston,Rockets,103,SAC,Sacramento,Kings,Sleep Train Arena,103,SAC,Sacramento,Kings,65,65.0,34,34.0,52.3,23,23.0,8,8.0,34.8,88,88.0,42,42.0,47.7,10,10.0,8,8.0,80.0,14,14.0,35,35.0,49,49.0,19,19.0,100,100.0,17,17.0,5,5.0,4,4.0,3,3.0,105,105.0,20,20.0,20,20.0,20,0.0,-5,-5.0,14,14.0,14,14.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,1,0.000,0.0', 
b',42093,2017-10-20,8:30PM,103,SAC,Sacramento,Kings,108,DAL,Dallas,Mavericks,American Airlines Center,103,SAC,Sacramento,Kings,64,64.0,27,27.0,42.2,23,23.0,10,10.0,43.5,87,87.0,37,37.0,42.5,13,13.0,9,9.0,69.2,22,22.0,40,40.0,63,63.0,20,20.0,93,93.0,14,14.0,8,8.0,3,3.0,7,7.0,88,88.0,18,18.0,18,18.0,18,0.0,5,5.0,13,13.0,13,13.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,1,0,1.000,0.0', 
b',42104,2017-10-21,9:00PM,103,SAC,Sacramento,Kings,99,DEN,Denver,Nuggets,Pepsi Center,103,SAC,Sacramento,Kings,62,62.0,23,23.0,37.1,23,23.0,8,8.0,34.8,85,85.0,31,31.0,36.5,13,13.0,9,9.0,69.2,14,14.0,31,31.0,47,47.0,15,15.0,79,79.0,13,13.0,6,6.0,3,3.0,2,2.0,96,96.0,22,22.0,21,21.0,21,1.0,-17,-17.0,19,19.0,19,19.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,1,0.000,0.0', 
b',42117,2017-10-23,10:00PM,103,SAC,Sacramento,Kings,104,PHX,Phoenix,Suns,Talking Stick Resort Arena,103,SAC,Sacramento,Kings,77,77.0,34,34.0,44.2,22,22.0,9,9.0,40.9,99,99.0,43,43.0,43.4,29,29.0,20,20.0,69.0,24,24.0,26,26.0,50,50.0,19,19.0,115,115.0,9,9.0,13,13.0,2,2.0,5,5.0,117,117.0,25,25.0,25,25.0,25,0.0,-2,-2.0,25,25.0,25,25.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,1,0.000,0.0', 
b',42138,2017-10-26,10:30PM,110,NOP,New Orleans,Pelicans,103,SAC,Sacramento,Kings,Sleep Train Arena,103,SAC,Sacramento,Kings,61,61.0,31,31.0,50.8,20,20.0,7,7.0,35.0,81,81.0,38,38.0,46.9,25,25.0,23,23.0,92.0,6,6.0,34,34.0,40,40.0,25,25.0,106,106.0,12,12.0,7,7.0,5,5.0,3,3.0,114,114.0,21,21.0,17,17.0,17,1.0,-8,-8.0,24,24.0,24,24.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,1,0.000,0.0', 
b',42158,2017-10-29,6:00PM,94,WAS,Washington,Wizards,103,SAC,Sacramento,Kings,Sleep Train Arena,103,SAC,Sacramento,Kings,60,60.0,26,26.0,43.3,22,22.0,6,6.0,27.3,82,82.0,32,32.0,39.0,16,16.0,13,13.0,81.2,16,16.0,33,33.0,50,50.0,13,13.0,83,83.0,17,17.0,8,8.0,2,2.0,3,3.0,110,110.0,20,20.0,20,20.0,20,0.0,-27,-27.0,18,18.0,18,18.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,1,0.000,0.0', 
b',42170,2017-10-31,7:00PM,103,SAC,Sacramento,Kings,87,IND,Indiana,Pacers,Bankers Life Fieldhouse,103,SAC,Sacramento,Kings,74,74.0,35,35.0,47.3,14,14.0,2,2.0,14.3,88,88.0,37,37.0,42.0,14,14.0,7,7.0,50.0,19,19.0,37,37.0,57,57.0,15,15.0,83,83.0,14,14.0,8,8.0,5,5.0,7,7.0,101,101.0,19,19.0,18,18.0,18,0.0,-18,-18.0,17,17.0,17,17.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,1,0.000,0.0', 
b',42178,2017-11-01,7:30PM,103,SAC,Sacramento,Kings,82,BOS,Boston,Celtics,TD Garden,103,SAC,Sacramento,Kings,61,61.0,29,29.0,47.5,20,20.0,6,6.0,30.0,81,81.0,35,35.0,43.2,12,12.0,10,10.0,83.3,11,11.0,23,23.0,34,34.0,24,24.0,86,86.0,15,15.0,10,10.0,5,5.0,3,3.0,113,113.0,18,18.0,18,18.0,18,0.0,-27,-27.0,19,19.0,19,19.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,1,0.000,0.0', 
b',42201,2017-11-04,7:00PM,103,SAC,Sacramento,Kings,88,DET,Detroit,Pistons,Palace of Auburn Hills,103,SAC,Sacramento,Kings,55,55.0,30,30.0,54.6,21,21.0,10,10.0,47.6,76,76.0,40,40.0,52.6,13,13.0,9,9.0,69.2,8,8.0,30,30.0,38,38.0,24,24.0,99,99.0,17,17.0,6,6.0,1,1.0,3,3.0,108,108.0,24,24.0,23,23.0,23,1.0,-9,-9.0,19,19.0,19,19.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,1,0.000,0.0', 
b',42226,2017-11-07,10:00PM,96,OKL,Oklahoma City,Thunder,103,SAC,Sacramento,Kings,Sleep Train Arena,103,SAC,Sacramento,Kings,55,55.0,28,28.0,50.9,24,24.0,9,9.0,37.5,79,79.0,37,37.0,46.8,12,12.0,11,11.0,91.7,6,6.0,44,44.0,50,50.0,21,21.0,94,94.0,23,23.0,6,6.0,5,5.0,2,2.0,86,86.0,25,25.0,24,24.0,24,1.0,8,8.0,17,17.0,17,17.0,1,1.0,0,0.0,1,1.0,0,0.0,0,0.0,0,1,0,1.000,0.0', 
