#Date/Time of Update: 2018-02-14 1:48:43 PM,#Game ID,#Game Date,#Game Time,#Away Team ID,#Away Team Abbr.,#Away Team City,#Away Team Name,#Home Team ID,#Home Team Abbr.,#Home Team City,#Home Team Name,#Location,#Team ID,#Team Abbr.,#Team City,#Team Name,#Fg2PtAtt,#Fg2PtAttPerGame,#Fg2PtMade,#Fg2PtMadePerGame,#Fg2PtPct,#Fg3PtAtt,#Fg3PtAttPerGame,#Fg3PtMade,#Fg3PtMadePerGame,#Fg3PtPct,#FgAtt,#FgAttPerGame,#FgMade,#FgMadePerGame,#FgPct,#FtAtt,#FtAttPerGame,#FtMade,#FtMadePerGame,#FtPct,#OffReb,#OffRebPerGame,#DefReb,#DefRebPerGame,#Reb,#RebPerGame,#Ast,#AstPerGame,#Pts,#PtsPerGame,#Tov,#TovPerGame,#Stl,#StlPerGame,#Blk,#BlkPerGame,#BlkAgainst,#BlkAgainstPerGame,#PtsAgainst,#PtsAgainstPerGame,#Fouls,#FoulsPerGame,#FoulPers,#FoulPersPerGame,#FoulTech,#FoulTechPerGame,#PlusMinus,#PlusMinusPerGame,#FoulsDrawn,#FoulsDrawnPerGame,#FoulPersDrawn,#FoulPersDrawnPerGame,#FoulTechDrawn,#FoulTechDrawnPerGame,#FoulFlag1,#FoulFlag1PerGame,#FoulFlag1Drawn,#FoulFlag1DrawnPerGame,#FoulFlag2,#FoulFlag2PerGame,#FoulFlag2Drawn,#FoulFlag2DrawnPerGame,#Ejections,#Wins,#Losses,#WinPct,#GamesBack', 
b',42080,2017-10-18,9:30PM,100,MIN,Minnesota,Timberwolves,106,SAS,San Antonio,Spurs,AT&T Center,106,SAS,San Antonio,Spurs,68,68.0,33,33.0,48.5,21,21.0,8,8.0,38.1,89,89.0,41,41.0,46.1,19,19.0,17,17.0,89.5,18,18.0,38,38.0,56,56.0,22,22.0,107,107.0,11,11.0,8,8.0,11,11.0,4,4.0,99,99.0,18,18.0,18,18.0,18,0.0,8,8.0,16,16.0,16,16.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,1,0,1.000,0.0', 
b',42102,2017-10-21,8:00PM,106,SAS,San Antonio,Spurs,89,CHI,Chicago,Bulls,KeyBank Center,106,SAS,San Antonio,Spurs,81,81.0,37,37.0,45.7,12,12.0,1,1.0,8.3,93,93.0,38,38.0,40.9,16,16.0,10,10.0,62.5,21,21.0,42,42.0,63,63.0,25,25.0,87,87.0,11,11.0,8,8.0,3,3.0,5,5.0,77,77.0,14,14.0,14,14.0,14,0.0,10,10.0,15,15.0,15,15.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,1,0,1.000,0.0', 
b',42115,2017-10-23,8:30PM,81,TOR,Toronto,Raptors,106,SAS,San Antonio,Spurs,AT&T Center,106,SAS,San Antonio,Spurs,70,70.0,35,35.0,50.0,20,20.0,5,5.0,25.0,90,90.0,40,40.0,44.4,23,23.0,16,16.0,69.6,25,25.0,40,40.0,65,65.0,19,19.0,101,101.0,20,20.0,4,4.0,12,12.0,4,4.0,97,97.0,23,23.0,22,22.0,22,1.0,4,4.0,30,30.0,30,30.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,1,0,1.000,0.0', 
b',42129,2017-10-25,8:00PM,106,SAS,San Antonio,Spurs,92,MIA,Miami,Heat,American Airlines Arena,106,SAS,San Antonio,Spurs,59,59.0,32,32.0,54.2,17,17.0,10,10.0,58.8,76,76.0,42,42.0,55.3,30,30.0,23,23.0,76.7,13,13.0,38,38.0,51,51.0,18,18.0,117,117.0,15,15.0,6,6.0,3,3.0,2,2.0,100,100.0,20,20.0,20,20.0,20,0.0,17,17.0,25,25.0,25,25.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,1,0,1.000,0.0', 
b',42140,2017-10-27,7:00PM,106,SAS,San Antonio,Spurs,95,ORL,Orlando,Magic,Amway Center,106,SAS,San Antonio,Spurs,65,65.0,26,26.0,40.0,24,24.0,4,4.0,16.7,89,89.0,30,30.0,33.7,27,27.0,23,23.0,85.2,22,22.0,32,32.0,55,55.0,19,19.0,87,87.0,17,17.0,8,8.0,8,8.0,7,7.0,114,114.0,15,15.0,15,15.0,15,0.0,-27,-27.0,24,24.0,24,24.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,1,0.000,0.0', 
b',42155,2017-10-29,4:30PM,106,SAS,San Antonio,Spurs,87,IND,Indiana,Pacers,Bankers Life Fieldhouse,106,SAS,San Antonio,Spurs,62,62.0,27,27.0,43.6,28,28.0,9,9.0,32.1,90,90.0,36,36.0,40.0,18,18.0,13,13.0,72.2,19,19.0,32,32.0,51,51.0,19,19.0,94,94.0,15,15.0,12,12.0,8,8.0,3,3.0,97,97.0,11,11.0,11,11.0,11,0.0,-3,-3.0,20,20.0,20,20.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,1,0.000,0.0', 
b',42163,2017-10-30,7:30PM,106,SAS,San Antonio,Spurs,82,BOS,Boston,Celtics,TD Garden,106,SAS,San Antonio,Spurs,61,61.0,24,24.0,39.3,26,26.0,12,12.0,46.2,87,87.0,36,36.0,41.4,20,20.0,10,10.0,50.0,18,18.0,30,30.0,49,49.0,24,24.0,94,94.0,11,11.0,8,8.0,4,4.0,6,6.0,108,108.0,14,14.0,14,14.0,14,0.0,-14,-14.0,22,22.0,22,22.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,1,0.000,0.0', 
b',42186,2017-11-02,8:00PM,101,GSW,Golden State,Warriors,106,SAS,San Antonio,Spurs,AT&T Center,106,SAS,San Antonio,Spurs,63,63.0,27,27.0,42.9,24,24.0,7,7.0,29.2,87,87.0,34,34.0,39.1,23,23.0,17,17.0,73.9,21,21.0,34,34.0,55,55.0,19,19.0,92,92.0,16,16.0,6,6.0,7,7.0,11,11.0,112,112.0,12,12.0,10,10.0,10,2.0,-20,-20.0,20,20.0,20,20.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,1,0.000,0.0', 
b',42195,2017-11-03,8:30PM,93,CHA,Charlotte,Hornets,106,SAS,San Antonio,Spurs,AT&T Center,106,SAS,San Antonio,Spurs,56,56.0,30,30.0,53.6,27,27.0,9,9.0,33.3,83,83.0,39,39.0,47.0,26,26.0,21,21.0,80.8,11,11.0,40,40.0,51,51.0,31,31.0,108,108.0,15,15.0,7,7.0,6,6.0,1,1.0,101,101.0,26,26.0,26,26.0,26,0.0,7,7.0,20,20.0,20,20.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,1,0,1.000,0.0', 
b',42209,2017-11-05,7:00PM,104,PHX,Phoenix,Suns,106,SAS,San Antonio,Spurs,AT&T Center,106,SAS,San Antonio,Spurs,66,66.0,33,33.0,50.0,22,22.0,11,11.0,50.0,88,88.0,44,44.0,50.0,18,18.0,13,13.0,72.2,14,14.0,35,35.0,49,49.0,21,21.0,112,112.0,9,9.0,9,9.0,4,4.0,4,4.0,95,95.0,19,19.0,19,19.0,19,0.0,17,17.0,16,16.0,16,16.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,1,0,1.000,0.0', 
