#Date/Time of Update: 2018-02-14 1:48:43 PM,#Game ID,#Game Date,#Game Time,#Away Team ID,#Away Team Abbr.,#Away Team City,#Away Team Name,#Home Team ID,#Home Team Abbr.,#Home Team City,#Home Team Name,#Location,#Team ID,#Team Abbr.,#Team City,#Team Name,#Fg2PtAtt,#Fg2PtAttPerGame,#Fg2PtMade,#Fg2PtMadePerGame,#Fg2PtPct,#Fg3PtAtt,#Fg3PtAttPerGame,#Fg3PtMade,#Fg3PtMadePerGame,#Fg3PtPct,#FgAtt,#FgAttPerGame,#FgMade,#FgMadePerGame,#FgPct,#FtAtt,#FtAttPerGame,#FtMade,#FtMadePerGame,#FtPct,#OffReb,#OffRebPerGame,#DefReb,#DefRebPerGame,#Reb,#RebPerGame,#Ast,#AstPerGame,#Pts,#PtsPerGame,#Tov,#TovPerGame,#Stl,#StlPerGame,#Blk,#BlkPerGame,#BlkAgainst,#BlkAgainstPerGame,#PtsAgainst,#PtsAgainstPerGame,#Fouls,#FoulsPerGame,#FoulPers,#FoulPersPerGame,#FoulTech,#FoulTechPerGame,#PlusMinus,#PlusMinusPerGame,#FoulsDrawn,#FoulsDrawnPerGame,#FoulPersDrawn,#FoulPersDrawnPerGame,#FoulTechDrawn,#FoulTechDrawnPerGame,#FoulFlag1,#FoulFlag1PerGame,#FoulFlag1Drawn,#FoulFlag1DrawnPerGame,#FoulFlag2,#FoulFlag2PerGame,#FoulFlag2Drawn,#FoulFlag2DrawnPerGame,#Ejections,#Wins,#Losses,#WinPct,#GamesBack', 
b',42083,2017-10-19,7:30PM,89,CHI,Chicago,Bulls,81,TOR,Toronto,Raptors,Air Canada Center,81,TOR,Toronto,Raptors,54,54.0,26,26.0,48.2,29,29.0,13,13.0,44.8,83,83.0,39,39.0,47.0,28,28.0,26,26.0,92.9,16,16.0,37,37.0,53,53.0,26,26.0,117,117.0,17,17.0,10,10.0,4,4.0,2,2.0,101,101.0,20,20.0,20,20.0,20,1.0,16,16.0,23,23.0,23,23.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,1,0,1.000,0.0', 
b',42096,2017-10-21,7:30PM,85,PHI,Philadelphia,76ers,81,TOR,Toronto,Raptors,Air Canada Center,81,TOR,Toronto,Raptors,45,45.0,29,29.0,64.4,44,44.0,13,13.0,29.6,89,89.0,42,42.0,47.2,37,37.0,31,31.0,83.8,15,15.0,44,44.0,59,59.0,23,23.0,128,128.0,13,13.0,5,5.0,10,10.0,4,4.0,94,94.0,29,29.0,29,29.0,29,0.0,34,34.0,26,26.0,26,26.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,1,0,1.000,0.0', 
b',42115,2017-10-23,8:30PM,81,TOR,Toronto,Raptors,106,SAS,San Antonio,Spurs,AT&T Center,81,TOR,Toronto,Raptors,43,43.0,24,24.0,55.8,37,37.0,10,10.0,27.0,80,80.0,34,34.0,42.5,24,24.0,19,19.0,79.2,11,11.0,32,32.0,43,43.0,17,17.0,97,97.0,14,14.0,11,11.0,4,4.0,12,12.0,101,101.0,31,31.0,30,30.0,30,1.0,-4,-4.0,22,22.0,22,22.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,1,0.000,0.0', 
b',42132,2017-10-25,10:30PM,81,TOR,Toronto,Raptors,101,GSW,Golden State,Warriors,Oracle Arena,81,TOR,Toronto,Raptors,60,60.0,35,35.0,58.3,34,34.0,8,8.0,23.5,94,94.0,43,43.0,45.7,19,19.0,18,18.0,94.7,19,19.0,28,28.0,48,48.0,30,30.0,112,112.0,16,16.0,10,10.0,6,6.0,7,7.0,117,117.0,16,16.0,16,16.0,16,0.0,-5,-5.0,15,15.0,15,15.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,1,0.000,0.0', 
b',42144,2017-10-27,10:30PM,81,TOR,Toronto,Raptors,105,LAL,Los Angeles,Lakers,Staples Center,81,TOR,Toronto,Raptors,64,64.0,33,33.0,51.6,29,29.0,7,7.0,24.1,93,93.0,40,40.0,43.0,20,20.0,14,14.0,70.0,17,17.0,34,34.0,51,51.0,27,27.0,101,101.0,12,12.0,12,12.0,4,4.0,6,6.0,92,92.0,24,24.0,24,24.0,24,0.0,9,9.0,22,22.0,22,22.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,1,0,1.000,0.0', 
b',42168,2017-10-30,10:00PM,81,TOR,Toronto,Raptors,97,POR,Portland,Trail Blazers,Moda Center,81,TOR,Toronto,Raptors,63,63.0,31,31.0,49.2,24,24.0,8,8.0,33.3,87,87.0,39,39.0,44.8,17,17.0,13,13.0,76.5,18,18.0,40,40.0,58,58.0,17,17.0,99,99.0,9,9.0,10,10.0,9,9.0,7,7.0,85,85.0,15,15.0,14,14.0,14,0.0,14,14.0,15,15.0,15,15.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,1,0,1.000,0.0', 
b',42184,2017-11-01,9:00PM,81,TOR,Toronto,Raptors,99,DEN,Denver,Nuggets,Pepsi Center,81,TOR,Toronto,Raptors,54,54.0,31,31.0,57.4,31,31.0,11,11.0,35.5,85,85.0,42,42.0,49.4,25,25.0,16,16.0,64.0,15,15.0,31,31.0,46,46.0,20,20.0,111,111.0,13,13.0,7,7.0,4,4.0,4,4.0,129,129.0,25,25.0,25,25.0,25,0.0,-18,-18.0,20,20.0,20,20.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,1,0.000,0.0', 
b',42196,2017-11-03,9:00PM,81,TOR,Toronto,Raptors,98,UTA,Utah,Jazz,Vivint Smart Home Arena,81,TOR,Toronto,Raptors,41,41.0,27,27.0,65.8,30,30.0,11,11.0,36.7,71,71.0,38,38.0,53.5,28,28.0,22,22.0,78.6,11,11.0,35,35.0,46,46.0,20,20.0,109,109.0,16,16.0,9,9.0,4,4.0,5,5.0,100,100.0,29,29.0,28,28.0,28,1.0,9,9.0,24,24.0,24,24.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,1,0,1.000,0.0', 
b',42207,2017-11-05,6:00PM,94,WAS,Washington,Wizards,81,TOR,Toronto,Raptors,Air Canada Center,81,TOR,Toronto,Raptors,56,56.0,32,32.0,57.1,24,24.0,5,5.0,20.8,80,80.0,37,37.0,46.2,27,27.0,17,17.0,63.0,14,14.0,30,30.0,44,44.0,17,17.0,96,96.0,13,13.0,7,7.0,8,8.0,3,3.0,107,107.0,26,26.0,24,24.0,24,2.0,-11,-11.0,26,26.0,26,26.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,1,0.000,0.0', 
b',42222,2017-11-07,7:30PM,89,CHI,Chicago,Bulls,81,TOR,Toronto,Raptors,Air Canada Center,81,TOR,Toronto,Raptors,56,56.0,31,31.0,55.4,25,25.0,13,13.0,52.0,81,81.0,44,44.0,54.3,24,24.0,18,18.0,75.0,12,12.0,32,32.0,44,44.0,22,22.0,119,119.0,15,15.0,5,5.0,0,0.0,2,2.0,114,114.0,22,22.0,22,22.0,22,0.0,5,5.0,23,23.0,23,23.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,1,0,1.000,0.0', 
b',42234,2017-11-09,7:30PM,110,NOP,New Orleans,Pelicans,81,TOR,Toronto,Raptors,Air Canada Center,81,TOR,Toronto,Raptors,56,56.0,29,29.0,51.8,42,42.0,16,16.0,38.1,98,98.0,45,45.0,45.9,23,23.0,16,16.0,69.6,22,22.0,39,39.0,61,61.0,27,27.0,122,122.0,12,12.0,8,8.0,4,4.0,4,4.0,118,118.0,26,26.0,24,24.0,24,2.0,4,4.0,20,20.0,20,20.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,1,0,1.000,0.0', 
b',42257,2017-11-12,3:30PM,81,TOR,Toronto,Raptors,82,BOS,Boston,Celtics,TD Garden,81,TOR,Toronto,Raptors,45,45.0,22,22.0,48.9,24,24.0,10,10.0,41.7,69,69.0,32,32.0,46.4,23,23.0,20,20.0,87.0,7,7.0,33,33.0,40,40.0,18,18.0,94,94.0,17,17.0,8,8.0,8,8.0,2,2.0,95,95.0,22,22.0,20,20.0,20,0.0,-1,-1.0,18,18.0,18,18.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,1,0.000,0.0', 
b',42271,2017-11-14,8:00PM,81,TOR,Toronto,Raptors,109,HOU,Houston,Rockets,Toyota Center,81,TOR,Toronto,Raptors,49,49.0,27,27.0,55.1,30,30.0,14,14.0,46.7,79,79.0,41,41.0,51.9,42,42.0,33,33.0,78.6,11,11.0,31,31.0,42,42.0,28,28.0,129,129.0,13,13.0,11,11.0,4,4.0,4,4.0,113,113.0,31,31.0,30,30.0,30,0.0,16,16.0,27,27.0,27,27.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,1,0,1.000,0.0', 
b',42279,2017-11-15,8:00PM,81,TOR,Toronto,Raptors,110,NOP,New Orleans,Pelicans,Smoothie King Center,81,TOR,Toronto,Raptors,42,42.0,29,29.0,69.0,34,34.0,16,16.0,47.1,76,76.0,45,45.0,59.2,20,20.0,19,19.0,95.0,9,9.0,32,32.0,41,41.0,27,27.0,125,125.0,21,21.0,8,8.0,6,6.0,3,3.0,116,116.0,20,20.0,20,20.0,20,0.0,9,9.0,21,21.0,21,21.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,1,0,1.000,0.0', 
b',42289,2017-11-17,7:30PM,83,NYK,New York,Knicks,81,TOR,Toronto,Raptors,Air Canada Center,81,TOR,Toronto,Raptors,52,52.0,35,35.0,67.3,26,26.0,9,9.0,34.6,78,78.0,44,44.0,56.4,11,11.0,10,10.0,90.9,5,5.0,43,43.0,48,48.0,29,29.0,107,107.0,12,12.0,4,4.0,11,11.0,4,4.0,84,84.0,19,19.0,19,19.0,19,0.0,23,23.0,12,12.0,12,12.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,1,0,1.000,0.0', 
b',42305,2017-11-19,3:30PM,94,WAS,Washington,Wizards,81,TOR,Toronto,Raptors,Air Canada Center,81,TOR,Toronto,Raptors,51,51.0,30,30.0,58.8,39,39.0,10,10.0,25.6,90,90.0,40,40.0,44.4,14,14.0,10,10.0,71.4,17,17.0,38,38.0,55,55.0,20,20.0,100,100.0,7,7.0,8,8.0,7,7.0,3,3.0,91,91.0,20,20.0,19,19.0,19,0.0,9,9.0,12,12.0,12,12.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,1,0,1.000,0.0', 
b',42327,2017-11-22,7:30PM,81,TOR,Toronto,Raptors,83,NYK,New York,Knicks,Madison Square Garden,81,TOR,Toronto,Raptors,49,49.0,23,23.0,46.9,38,38.0,14,14.0,36.8,87,87.0,37,37.0,42.5,18,18.0,12,12.0,66.7,20,20.0,31,31.0,51,51.0,21,21.0,100,100.0,15,15.0,4,4.0,10,10.0,7,7.0,108,108.0,23,23.0,23,23.0,23,0.0,-8,-8.0,19,19.0,19,19.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,1,0.000,0.0', 
b',42340,2017-11-24,8:00PM,81,TOR,Toronto,Raptors,87,IND,Indiana,Pacers,Bankers Life Fieldhouse,81,TOR,Toronto,Raptors,51,51.0,31,31.0,60.8,30,30.0,9,9.0,30.0,81,81.0,40,40.0,49.4,20,20.0,15,15.0,75.0,13,13.0,36,36.0,49,49.0,17,17.0,104,104.0,18,18.0,14,14.0,4,4.0,3,3.0,107,107.0,21,21.0,20,20.0,20,0.0,-3,-3.0,18,18.0,18,18.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,1,0.000,0.0', 
b',42349,2017-11-25,7:30PM,81,TOR,Toronto,Raptors,91,ATL,Atlanta,Hawks,Philips Arena,81,TOR,Toronto,Raptors,52,52.0,33,33.0,63.5,32,32.0,13,13.0,40.6,84,84.0,46,46.0,54.8,9,9.0,7,7.0,77.8,14,14.0,36,36.0,51,51.0,31,31.0,112,112.0,16,16.0,10,10.0,3,3.0,1,1.0,78,78.0,22,22.0,22,22.0,22,0.0,34,34.0,15,15.0,15,15.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,1,0,1.000,0.0', 
b',42376,2017-11-29,7:30PM,93,CHA,Charlotte,Hornets,81,TOR,Toronto,Raptors,Air Canada Center,81,TOR,Toronto,Raptors,66,66.0,38,38.0,57.6,32,32.0,14,14.0,43.8,98,98.0,52,52.0,53.1,11,11.0,8,8.0,72.7,18,18.0,31,31.0,49,49.0,24,24.0,126,126.0,9,9.0,6,6.0,2,2.0,2,2.0,113,113.0,23,23.0,23,23.0,23,0.0,13,13.0,17,17.0,17,17.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,1,0,1.000,0.0', 
