#Date/Time of Update: 2018-02-14 1:48:43 PM,#Game ID,#Game Date,#Game Time,#Away Team ID,#Away Team Abbr.,#Away Team City,#Away Team Name,#Home Team ID,#Home Team Abbr.,#Home Team City,#Home Team Name,#Location,#Team ID,#Team Abbr.,#Team City,#Team Name,#Fg2PtAtt,#Fg2PtAttPerGame,#Fg2PtMade,#Fg2PtMadePerGame,#Fg2PtPct,#Fg3PtAtt,#Fg3PtAttPerGame,#Fg3PtMade,#Fg3PtMadePerGame,#Fg3PtPct,#FgAtt,#FgAttPerGame,#FgMade,#FgMadePerGame,#FgPct,#FtAtt,#FtAttPerGame,#FtMade,#FtMadePerGame,#FtPct,#OffReb,#OffRebPerGame,#DefReb,#DefRebPerGame,#Reb,#RebPerGame,#Ast,#AstPerGame,#Pts,#PtsPerGame,#Tov,#TovPerGame,#Stl,#StlPerGame,#Blk,#BlkPerGame,#BlkAgainst,#BlkAgainstPerGame,#PtsAgainst,#PtsAgainstPerGame,#Fouls,#FoulsPerGame,#FoulPers,#FoulPersPerGame,#FoulTech,#FoulTechPerGame,#PlusMinus,#PlusMinusPerGame,#FoulsDrawn,#FoulsDrawnPerGame,#FoulPersDrawn,#FoulPersDrawnPerGame,#FoulTechDrawn,#FoulTechDrawnPerGame,#FoulFlag1,#FoulFlag1PerGame,#FoulFlag1Drawn,#FoulFlag1DrawnPerGame,#FoulFlag2,#FoulFlag2PerGame,#FoulFlag2Drawn,#FoulFlag2DrawnPerGame,#Ejections,#Wins,#Losses,#WinPct,#GamesBack', 
b',42079,2017-10-18,9:00PM,99,DEN,Denver,Nuggets,98,UTA,Utah,Jazz,Vivint Smart Home Arena,98,UTA,Utah,Jazz,57,57.0,32,32.0,56.1,24,24.0,9,9.0,37.5,81,81.0,41,41.0,50.6,16,16.0,15,15.0,93.8,9,9.0,31,31.0,40,40.0,28,28.0,106,106.0,15,15.0,9,9.0,5,5.0,3,3.0,96,96.0,18,18.0,18,18.0,18,0.0,10,10.0,18,18.0,18,18.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,1,0,1.000,0.0', 
b',42092,2017-10-20,8:00PM,98,UTA,Utah,Jazz,100,MIN,Minnesota,Timberwolves,Target Center,98,UTA,Utah,Jazz,55,55.0,28,28.0,50.9,22,22.0,9,9.0,40.9,77,77.0,37,37.0,48.0,17,17.0,14,14.0,82.4,9,9.0,33,33.0,42,42.0,23,23.0,97,97.0,19,19.0,10,10.0,8,8.0,2,2.0,100,100.0,22,22.0,21,21.0,21,1.0,-3,-3.0,17,17.0,17,17.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,1,0.000,0.0', 
b',42105,2017-10-21,9:00PM,96,OKL,Oklahoma City,Thunder,98,UTA,Utah,Jazz,Vivint Smart Home Arena,98,UTA,Utah,Jazz,48,48.0,29,29.0,60.4,29,29.0,9,9.0,31.0,77,77.0,38,38.0,49.4,14,14.0,11,11.0,78.6,10,10.0,35,35.0,45,45.0,22,22.0,96,96.0,18,18.0,11,11.0,4,4.0,4,4.0,87,87.0,21,21.0,21,21.0,21,0.0,9,9.0,16,16.0,16,16.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,1,0,1.000,0.0', 
b',42123,2017-10-24,10:30PM,98,UTA,Utah,Jazz,102,LAC,Los Angeles,Clippers,Staples Center,98,UTA,Utah,Jazz,51,51.0,27,27.0,52.9,28,28.0,7,7.0,25.0,79,79.0,34,34.0,43.0,11,11.0,9,9.0,81.8,11,11.0,36,36.0,47,47.0,20,20.0,84,84.0,18,18.0,7,7.0,7,7.0,4,4.0,102,102.0,23,23.0,23,23.0,23,0.0,-18,-18.0,16,16.0,16,16.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,1,0.000,0.0', 
b',42131,2017-10-25,10:00PM,98,UTA,Utah,Jazz,104,PHX,Phoenix,Suns,Talking Stick Resort Arena,98,UTA,Utah,Jazz,52,52.0,26,26.0,50.0,25,25.0,6,6.0,24.0,77,77.0,32,32.0,41.6,25,25.0,18,18.0,72.0,12,12.0,37,37.0,49,49.0,20,20.0,88,88.0,24,24.0,8,8.0,10,10.0,5,5.0,97,97.0,19,19.0,19,19.0,19,0.0,-9,-9.0,25,25.0,25,25.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,1,0.000,0.0', 
b',42151,2017-10-28,9:00PM,105,LAL,Los Angeles,Lakers,98,UTA,Utah,Jazz,Vivint Smart Home Arena,98,UTA,Utah,Jazz,48,48.0,24,24.0,50.0,31,31.0,13,13.0,41.9,79,79.0,37,37.0,46.8,13,13.0,9,9.0,69.2,21,21.0,35,35.0,56,56.0,18,18.0,96,96.0,21,21.0,9,9.0,5,5.0,4,4.0,81,81.0,22,22.0,20,20.0,20,1.0,15,15.0,20,20.0,20,20.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,1,0,1.000,0.0', 
b',42167,2017-10-30,9:00PM,108,DAL,Dallas,Mavericks,98,UTA,Utah,Jazz,Vivint Smart Home Arena,98,UTA,Utah,Jazz,45,45.0,22,22.0,48.9,35,35.0,16,16.0,45.7,80,80.0,38,38.0,47.5,15,15.0,12,12.0,80.0,10,10.0,30,30.0,40,40.0,25,25.0,104,104.0,14,14.0,16,16.0,8,8.0,2,2.0,89,89.0,17,17.0,17,17.0,17,0.0,15,15.0,16,16.0,16,16.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,1,0,1.000,0.0', 
b',43370,2017-11-01,9:00PM,97,POR,Portland,Trail Blazers,98,UTA,Utah,Jazz,Vivint Smart Home Arena,98,UTA,Utah,Jazz,61,61.0,21,21.0,34.4,29,29.0,13,13.0,44.8,90,90.0,34,34.0,37.8,36,36.0,31,31.0,86.1,15,15.0,48,48.0,63,63.0,16,16.0,112,112.0,14,14.0,9,9.0,8,8.0,8,8.0,103,103.0,23,23.0,21,21.0,21,2.0,9,9.0,25,25.0,25,25.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,1,0,1.000,0.0', 
b',42196,2017-11-03,9:00PM,81,TOR,Toronto,Raptors,98,UTA,Utah,Jazz,Vivint Smart Home Arena,98,UTA,Utah,Jazz,57,57.0,27,27.0,47.4,23,23.0,8,8.0,34.8,80,80.0,35,35.0,43.8,24,24.0,22,22.0,91.7,12,12.0,28,28.0,40,40.0,11,11.0,100,100.0,13,13.0,9,9.0,5,5.0,4,4.0,109,109.0,24,24.0,24,24.0,24,0.0,-9,-9.0,28,28.0,28,28.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,1,0.000,0.0', 
b',42210,2017-11-05,7:00PM,98,UTA,Utah,Jazz,109,HOU,Houston,Rockets,Toyota Center,98,UTA,Utah,Jazz,54,54.0,25,25.0,46.3,34,34.0,13,13.0,38.2,88,88.0,38,38.0,43.2,24,24.0,21,21.0,87.5,14,14.0,27,27.0,41,41.0,22,22.0,110,110.0,14,14.0,7,7.0,3,3.0,7,7.0,137,137.0,19,19.0,18,18.0,18,1.0,-27,-27.0,24,24.0,24,24.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,1,0.000,0.0', 
