#Date/Time of Update: 2018-02-14 1:48:43 PM,#Game ID,#Game Date,#Game Time,#Away Team ID,#Away Team Abbr.,#Away Team City,#Away Team Name,#Home Team ID,#Home Team Abbr.,#Home Team City,#Home Team Name,#Location,#Team ID,#Team Abbr.,#Team City,#Team Name,#Fg2PtAtt,#Fg2PtAttPerGame,#Fg2PtMade,#Fg2PtMadePerGame,#Fg2PtPct,#Fg3PtAtt,#Fg3PtAttPerGame,#Fg3PtMade,#Fg3PtMadePerGame,#Fg3PtPct,#FgAtt,#FgAttPerGame,#FgMade,#FgMadePerGame,#FgPct,#FtAtt,#FtAttPerGame,#FtMade,#FtMadePerGame,#FtPct,#OffReb,#OffRebPerGame,#DefReb,#DefRebPerGame,#Reb,#RebPerGame,#Ast,#AstPerGame,#Pts,#PtsPerGame,#Tov,#TovPerGame,#Stl,#StlPerGame,#Blk,#BlkPerGame,#BlkAgainst,#BlkAgainstPerGame,#PtsAgainst,#PtsAgainstPerGame,#Fouls,#FoulsPerGame,#FoulPers,#FoulPersPerGame,#FoulTech,#FoulTechPerGame,#PlusMinus,#PlusMinusPerGame,#FoulsDrawn,#FoulsDrawnPerGame,#FoulPersDrawn,#FoulPersDrawnPerGame,#FoulTechDrawn,#FoulTechDrawnPerGame,#FoulFlag1,#FoulFlag1PerGame,#FoulFlag1Drawn,#FoulFlag1DrawnPerGame,#FoulFlag2,#FoulFlag2PerGame,#FoulFlag2Drawn,#FoulFlag2DrawnPerGame,#Ejections,#Wins,#Losses,#WinPct,#GamesBack', 
b',42073,2017-10-18,7:00PM,85,PHI,Philadelphia,76ers,94,WAS,Washington,Wizards,Capital One Arena,94,WAS,Washington,Wizards,75,75.0,36,36.0,48.0,22,22.0,6,6.0,27.3,97,97.0,42,42.0,43.3,38,38.0,30,30.0,79.0,23,23.0,38,38.0,62,62.0,21,21.0,120,120.0,9,9.0,8,8.0,10,10.0,6,6.0,115,115.0,20,20.0,20,20.0,20,0.0,5,5.0,28,28.0,28,28.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,1,0,1.000,0.0', 
b',42086,2017-10-20,7:00PM,88,DET,Detroit,Pistons,94,WAS,Washington,Wizards,Capital One Arena,94,WAS,Washington,Wizards,58,58.0,34,34.0,58.6,17,17.0,6,6.0,35.3,75,75.0,40,40.0,53.3,35,35.0,29,29.0,82.9,12,12.0,35,35.0,47,47.0,25,25.0,115,115.0,16,16.0,12,12.0,7,7.0,1,1.0,111,111.0,18,18.0,18,18.0,18,0.0,4,4.0,32,32.0,32,32.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,1,0,1.000,0.0', 
b',42116,2017-10-23,9:00PM,94,WAS,Washington,Wizards,99,DEN,Denver,Nuggets,Pepsi Center,94,WAS,Washington,Wizards,54,54.0,28,28.0,51.8,30,30.0,9,9.0,30.0,84,84.0,37,37.0,44.0,28,28.0,26,26.0,92.9,12,12.0,31,31.0,43,43.0,24,24.0,109,109.0,15,15.0,13,13.0,3,3.0,2,2.0,104,104.0,24,24.0,24,24.0,24,0.0,5,5.0,22,22.0,22,22.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,1,0,1.000,0.0', 
b',43365,2017-10-25,10:30PM,94,WAS,Washington,Wizards,105,LAL,Los Angeles,Lakers,Staples Center,94,WAS,Washington,Wizards,69,69.0,33,33.0,47.8,26,26.0,6,6.0,23.1,95,95.0,39,39.0,41.0,23,23.0,15,15.0,65.2,16,16.0,40,40.0,56,56.0,20,20.0,99,99.0,13,13.0,11,11.0,5,5.0,5,5.0,102,102.0,20,20.0,19,19.0,19,1.0,-3,-3.0,26,26.0,26,26.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,1,0.000,0.0', 
b',42145,2017-10-27,10:30PM,94,WAS,Washington,Wizards,101,GSW,Golden State,Warriors,Oracle Arena,94,WAS,Washington,Wizards,64,64.0,28,28.0,43.8,33,33.0,15,15.0,45.4,97,97.0,43,43.0,44.3,22,22.0,16,16.0,72.7,21,21.0,29,29.0,52,52.0,30,30.0,117,117.0,14,14.0,7,7.0,6,6.0,13,13.0,120,120.0,22,22.0,21,21.0,21,1.0,-3,-3.0,20,20.0,20,20.0,1,1.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,1,0.000,0.0', 
b',42158,2017-10-29,6:00PM,94,WAS,Washington,Wizards,103,SAC,Sacramento,Kings,Sleep Train Arena,94,WAS,Washington,Wizards,51,51.0,23,23.0,45.1,34,34.0,17,17.0,50.0,85,85.0,40,40.0,47.1,20,20.0,13,13.0,65.0,19,19.0,36,36.0,55,55.0,28,28.0,110,110.0,15,15.0,9,9.0,3,3.0,2,2.0,83,83.0,18,18.0,18,18.0,18,0.0,27,27.0,20,20.0,20,20.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,1,0,1.000,0.0', 
b',42177,2017-11-01,7:00PM,104,PHX,Phoenix,Suns,94,WAS,Washington,Wizards,Capital One Arena,94,WAS,Washington,Wizards,62,62.0,31,31.0,50.0,30,30.0,10,10.0,33.3,92,92.0,41,41.0,44.6,30,30.0,24,24.0,80.0,21,21.0,33,33.0,54,54.0,20,20.0,116,116.0,12,12.0,5,5.0,4,4.0,5,5.0,122,122.0,29,29.0,28,28.0,28,2.0,-6,-6.0,24,24.0,24,24.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,1,0.000,0.0', 
b',42189,2017-11-03,7:00PM,86,CLE,Cleveland,Cavaliers,94,WAS,Washington,Wizards,Capital One Arena,94,WAS,Washington,Wizards,56,56.0,34,34.0,60.7,28,28.0,11,11.0,39.3,84,84.0,45,45.0,53.6,31,31.0,21,21.0,67.7,20,20.0,28,28.0,48,48.0,25,25.0,122,122.0,16,16.0,5,5.0,2,2.0,4,4.0,130,130.0,25,25.0,24,24.0,24,0.0,-8,-8.0,27,27.0,27,27.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,1,0.000,0.0', 
b',42207,2017-11-05,6:00PM,94,WAS,Washington,Wizards,81,TOR,Toronto,Raptors,Air Canada Center,94,WAS,Washington,Wizards,62,62.0,29,29.0,46.8,23,23.0,11,11.0,47.8,85,85.0,40,40.0,47.1,23,23.0,16,16.0,69.6,22,22.0,39,39.0,61,61.0,19,19.0,107,107.0,17,17.0,9,9.0,3,3.0,8,8.0,96,96.0,27,27.0,27,27.0,27,1.0,11,11.0,24,24.0,24,24.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,1,0,1.000,0.0', 
b',42220,2017-11-07,7:00PM,108,DAL,Dallas,Mavericks,94,WAS,Washington,Wizards,Capital One Arena,94,WAS,Washington,Wizards,50,50.0,22,22.0,44.0,25,25.0,10,10.0,40.0,75,75.0,32,32.0,42.7,32,32.0,25,25.0,78.1,8,8.0,37,37.0,45,45.0,21,21.0,99,99.0,15,15.0,5,5.0,5,5.0,8,8.0,113,113.0,20,20.0,19,19.0,19,1.0,-14,-14.0,23,23.0,23,23.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,1,0.000,0.0', 
